dataset,unique_hit_view,input_category_name,true_category_name,count
pog,IUxUI,Women's Knit Sweaters and Pullovers,Women's Casual Shoes and Sneakers,1
pog,IUxUI,Women's Casual Shoes and Sneakers,Women's Cropped Denim Jeans,1
pog,IUxUI,Women's Fashion Shoulder and Crossbody Bags,Women's Casual Shoes and Sneakers,1
pog,IUxUI,Women's Long-Sleeved Blouses and Shirts,Women's Casual Shoes and Sneakers,1
pog,IUxUI,Women's Fashion Berets and Bucket Hats,Women's Cropped Denim Jeans,1
pog,IUxUI,Women's Padded Puffer Jackets,Women's Cropped Denim Jeans,1
pog,IUxUI,Women's Fashion Shoulder and Crossbody Bags,Women's Chiffon and Floral Dresses,1
pog,IUxUI,Women's Fashion Heeled Sandals,Women's Chiffon and Floral Dresses,1
pog_dense,BIxIB,Women's Leather Crossbody Bags,Women's Dress Pumps and Heels,3
pog_dense,BIxIB,Women's Chiffon Summer Dresses,Women's Leather Crossbody Bags,3
pog_dense,BIxIB,Women's Dress Pumps and Heels,Women's Leather Crossbody Bags,3
pog_dense,BIxIB,Women's Fashion Drop Earrings,Women's High-Waist Mid-Length Skirts,2
pog_dense,BIxIB,Women's Chiffon Blouses and Shirts,Women's High-Waist Mid-Length Skirts,2
pog_dense,BIxIB,Women's Leather Crossbody Bags,Women's Fashion Sun Hats,2
pog_dense,BIxIB,Women's Chiffon Summer Dresses,Women's Mules and Outdoor Slides,1
pog_dense,BIxIB,Women's Fashion Drop Earrings,Women's Mules and Outdoor Slides,1
pog_dense,BIxIB,Women's Leather Crossbody Bags,Women's Mid-Length Trench Coats,1
pog_dense,BIxIB,Women's Fashion Ankle Boots,Women's Mid-Length Trench Coats,1
pog_dense,BIxIB,Women's High-Waist Cropped Jeans,Women's Dress Pumps and Heels,1
pog_dense,BIxIB,Women's Chiffon Summer Dresses,Women's Dress Pumps and Heels,1
pog_dense,BIxIB,Women's Dress Pumps and Heels,Women's Sterling Silver Stud Earrings,1
pog_dense,BIxIB,Women's Leather Crossbody Bags,Women's Sterling Silver Stud Earrings,1
pog_dense,BIxIB,Women's Leather Crossbody Bags,Women's Oversized Pullover Sweaters,1
pog_dense,BIxIB,Women's Fashion Ankle Boots,Women's Oversized Pullover Sweaters,1
pog_dense,BIxIB,Women's Leather Crossbody Bags,Women's Fashion Ankle Boots,1
pog_dense,BIxIB,Women's Chiffon Summer Dresses,Women's Fashion Ankle Boots,1
pog_dense,BIxIB,Women's Fashion Ankle Boots,Women's Leather Crossbody Bags,1
pog_dense,BIxIB,Women's Fashion Sun Hats,Women's Leather Crossbody Bags,1
pog_dense,BIxIB,Women's Fashion Sun Hats,Women's Fashion Ankle Boots,1
pog_dense,BIxIB,Women's Padded Puffer Jackets,Women's Fashion Ankle Boots,1
pog_dense,BIxIB,Women's Leather Crossbody Bags,Women's Chiffon Summer Dresses,1
pog_dense,BIxIB,Women's Fashion Drop Earrings,Women's Chiffon Summer Dresses,1
pog_dense,BIxIB,Women's Leather Crossbody Bags,Women's High-Waist Mid-Length Skirts,1
pog_dense,BIxIB,Women's PU Leather Biker Jackets,Women's Fashion Sun Hats,1
pog_dense,BIxIB,Women's High Waist Casual Trousers,Women's Casual Short Sleeve T-Shirts,1
pog_dense,BIxIB,Women's Dress Pumps and Heels,Women's Casual Short Sleeve T-Shirts,1
pog_dense,BIxIB,Women's Fashion Ankle Boots,Women's Fashion Sun Hats,1
pog_dense,BIxIB,Women's Fashion Drop Earrings,Women's Ankle Strap Heeled Sandals,1
pog_dense,IBxBI,Women's Dress Pumps and Heels,Women's Leather Crossbody Bags,5
pog_dense,IBxBI,Women's Leather Crossbody Bags,Women's Dress Pumps and Heels,4
pog_dense,IBxBI,Women's Fashion Drop Earrings,Women's Leather Crossbody Bags,3
pog_dense,IBxBI,Women's Fashion Sun Hats,Women's Leather Crossbody Bags,2
pog_dense,IBxBI,Women's Fashion Drop Earrings,Women's Ankle Strap Heeled Sandals,2
pog_dense,IBxBI,Women's Chiffon Summer Dresses,Women's Dress Pumps and Heels,2
pog_dense,IBxBI,Women's Fashion Sun Hats,Women's Dress Pumps and Heels,2
pog_dense,IBxBI,Women's Fashion Ankle Boots,Women's Fashion Sun Hats,2
pog_dense,IBxBI,Women's Leather Crossbody Bags,Women's Fashion Ankle Boots,2
pog_dense,IBxBI,Sterling Silver Crystal Bracelets,Women's Leather Crossbody Bags,1
pog_dense,IBxBI,Women's Leather Crossbody Bags,Women's Ankle Strap Heeled Sandals,1
pog_dense,IBxBI,Women's Fashion Drop Earrings,Daniel Wellington Women's Quartz Watches,1
pog_dense,IBxBI,Women's Chiffon Summer Dresses,Daniel Wellington Women's Quartz Watches,1
pog_dense,IBxBI,Women's Leather Crossbody Bags,Women's Chiffon Summer Dresses,1
pog_dense,IBxBI,Women's Dress Pumps and Heels,Women's Chiffon Summer Dresses,1
pog_dense,IBxBI,Women's Sterling Silver Stud Earrings,Women's Leather Crossbody Bags,1
pog_dense,IBxBI,Women's Fashion Quartz Watches,Women's Leather Crossbody Bags,1
pog_dense,IBxBI,Women's Dress Pumps and Heels,Women's High Waist Casual Trousers,1
pog_dense,IBxBI,Women's Leather Crossbody Bags,Women's High Waist Casual Trousers,1
pog_dense,IBxBI,Women's Leather Crossbody Bags,Women's Fashion Sun Hats,1
pog_dense,IBxBI,Women's Dress Pumps and Heels,Women's High-Waist Mid-Length Skirts,1
pog_dense,IBxBI,Women's Fashion Sun Hats,Women's High-Waist Mid-Length Skirts,1
pog_dense,IBxBI,Feminine Chiffon Blouses and Tops,Women's Sterling Silver Stud Earrings,1
pog_dense,IBxBI,Women's Dress Pumps and Heels,Women's Sterling Silver Stud Earrings,1
pog_dense,IBxBI,Women's Ankle Strap Heeled Sandals,Women's Fashion Drop Earrings,1
pog_dense,IBxBI,Women's Chiffon Summer Dresses,Women's Fashion Drop Earrings,1
pog_dense,IBxBI,Women's Dress Pumps and Heels,Women's High-Waist Cropped Jeans,1
pog_dense,IBxBI,Women's Casual Short Sleeve T-Shirts,Women's High-Waist Cropped Jeans,1
pog_dense,IBxBI,Women's Dress Pumps and Heels,Women's Fashion Sun Hats,1
pog_dense,IBxBI,Women's High-Waist Mid-Length Skirts,Women's Fashion Sun Hats,1
pog_dense,IUxUI,Women's Leather Crossbody Bags,Women's Dress Pumps and Heels,2
pog_dense,IUxUI,Women's Dress Pumps and Heels,Women's Leather Crossbody Bags,2
pog_dense,IUxUI,Women's Chiffon Summer Dresses,Women's Fashion Sun Hats,1
pog_dense,IUxUI,Women's Fashion Ankle Boots,Women's Fashion Sun Hats,1
pog_dense,IUxUI,Women's Leather Crossbody Bags,Women's High Waist Casual Trousers,1
pog_dense,IUxUI,Women's Fashion Ankle Boots,Women's High Waist Casual Trousers,1
pog_dense,IUxUI,Women's Korean Style Hoodies and Sweatshirts,Women's Dress Pumps and Heels,1
pog_dense,IUxUI,Sterling Silver Crystal Bracelets,Women's Sterling Silver Stud Earrings,1
pog_dense,IUxUI,Women's Dress Pumps and Heels,Women's Sterling Silver Stud Earrings,1
pog_dense,IUxUI,Women's Fashion Drop Earrings,Women's Leather Crossbody Bags,1
pog_dense,IUxUI,Women's Leather Crossbody Bags,Women's Chiffon Summer Dresses,1
pog_dense,IUxUI,Women's Dress Pumps and Heels,Women's Chiffon Summer Dresses,1
pog_dense,IUxUI,Women's Fashion Ankle Boots,Women's High-Waist Cropped Jeans,1
pog_dense,IUxUI,Women's Fashion Sun Hats,Women's High-Waist Cropped Jeans,1
pog_dense,IUxUI,Women's Fashion Drop Earrings,Women's Chiffon Summer Dresses,1
pog_dense,IUxUI,Women's Knit Sweaters and Cardigans,Women's Chiffon Summer Dresses,1
pog_dense,IUxUI,Women's Korean Style Hoodies and Sweatshirts,Women's Leather Crossbody Bags,1
pog_dense,IUxUI,Women's Leather Crossbody Bags,Women's Fashion Sun Hats,1
pog_dense,IUxUI,Women's Short Fleece and Sherpa Jackets,Women's Fashion Sun Hats,1
pog_dense,IUxUI,Women's Chiffon Summer Dresses,Women's Leather Crossbody Bags,1
pog_dense,IUxUI,Women's Fashion Ankle Boots,Women's Leather Crossbody Bags,1
pog_dense,IUxUI,Women's Chiffon Summer Dresses,Women's Dress Pumps and Heels,1
pog_dense,IUxUI,Women's Fashion Sun Hats,Women's Fashion Drop Earrings,1
pog_dense,IUxUI,Women's Leather Crossbody Bags,Women's Fashion Drop Earrings,1
