dataset,unique_hit_view,bundle_id,true_indice,true_category,true_category_name,input_indices,input_category_names,candidate_indices,same_gt_category_candidates,num_input_items,num_distinct_input_categories,rank_IBxBI,rank_IUxUI,rank_BIxIB,input_text,target_text
pog,IUxUI,16824,27240,fc528592c3858f90196fbfacc814f235,Women's High-Waist Fashion Skirts,[38091],Women's Mid-Length Woolen Coats,"[20980, 27240, 42702, 155, 11829, 30469, 43475, 23209, 8661, 13435]",1,1,1,4,1,6,1. 双面羊绒大衣女中长款2019新款流行阿尔巴卡羊驼绒羊毛呢外套 [Additional context: This item is frequently co-purchased with: 英伦风双排扣西装外套女中长款宽松休闲网红小西服春秋装2019新款; 梅子熟了文艺高腰波点网纱半身裙复古chic超仙少女裙2019春装新款; 画风 浅蓝色牛仔外套女宽松bf男友风牛仔衣短外套夹克2019春新款.],A. 蛋挞家/omont 学院风宽松加绒圆领套头卫衣女百搭白色显瘦短款冬; B. 双面穿！蕾丝裙纱裙 高腰丝绒大摆裙半身裙 网纱百褶A字裙女半裙; C. 方格简约 晚安树先生原创手表-简约 湖绿色 文艺 森系 设计 礼物 [Additional context: This item is frequently co-purchased with: 逸阳2019新款春款牛仔裤女小脚显瘦女士春季高腰紧身百搭铅笔长裤; 伊芙丽2019春装无袖西装马夹单排扣宽松背心外套中长款黑色马甲女; ZK黑色无袖西装外套坎肩马夹女外穿中长款马甲背心韩版2019春新款.]; D. LOSEA 鳄鱼纹小包包女2018新款铂金凯莉包小手提包百搭单肩斜挎包 [Additional context: This item is frequently co-purchased with: LOSEA 宽肩带斜挎包包女2018新款时尚菱格小方包女复古百搭单肩包; 真皮女包2019新款时尚韩版百搭手提包女气质女神大气单肩斜挎包女; 白色软牛皮单肩包简约百搭小托特包通勤斜跨包文艺小清新真皮女包.]; E. 洛凡诗2019夏季新款印花宽松显瘦大码吊带真丝连衣裙中长款a字裙; F. 韩都衣舍2018韩版女春装新款纯色系带打底衫九分袖T恤AA12491瑭; G. 马克华菲男装夏季新款潮流外穿休闲短裤男清凉透气时尚沙滩裤; H. 季初季铆钉抽带水桶包女2018新款时尚牛皮单肩包真皮斜挎女手提包; I. (古天乐)小白鞋女春季新款百搭韩版原宿ulzzang星星小脏鞋板鞋 [Additional context: This item is frequently co-purchased with: 半袖上衣2019夏新款新品丅恤韩版衣服短袖T恤纯棉女装衣服ins潮; 因由短袖t恤女2019春季新款黑色纯棉修身半袖圆领套头上衣休闲潮; 中长款白衬衫女长袖高腰韩版宽松2019春气质仙女范收腰显瘦衬衣.]; J. 秋冬羊毛呢外套男风衣羊绒大衣男长款过膝加厚韩版宽松呢子大衣潮
pog,BIxIB,14238,37931,a6cd655d1645f38869be793d5fb194cb,Women's Cropped Denim Jeans,"[19932, 20755]",Women's Fashion Shoulder and Crossbody Bags; Women's Casual Shoes and Sneakers,"[41650, 30622, 40086, 43223, 20480, 4085, 679, 653, 37931, 2940]",2,2,2,3,2,1,1. aza小包包新款潮女包ins时尚简约大气百搭chic迷你手提单肩斜挎包; 2. 哈森 春休闲水钻皮带扣套脚方根平底深口单鞋女 HL77413,A. 尼班诗2018夏装新款蓝色修身直筒显瘦磨破高腰牛仔裤女短裤霖; B. 梅子熟了复古温柔风森系阔腿裤文艺宽松高腰休闲裤女2018早秋新款; C. BAO STYLE◆气质韩国星星长款流苏耳环女 个性耳饰百搭耳坠简约潮; D. 2019夏季新款韩版宽松雪纺衬衫女短袖休闲小心机衬衣大码红色上衣; E. 2019夏季新款一字平底安娜字母时尚外穿拖鞋网红ins沙滩凉拖鞋女D; F. 布语原创森系立体花柳枝复古手提斜跨口金包甜美可爱蕾丝包旗袍包; G. MG小象2017新款冬季女装韩版千鸟格短款呢子大衣加厚修身毛呢外套; H. 余潇潇2018冬装新款粉色中长款3色毛呢外套呢子大衣女原宿风; I. 韩都衣舍2019新款女装春韩版高腰休闲弹力小脚牛仔裤GQ8832耒; J. 恩家汇 毛呢阔腿裤女九分裤2018秋冬新款宽松垂直感高腰休闲裤子
pog,IBxBI,1665,13718,b608ccb44928992e75009892971acd46,Women's Fashion Berets and Bucket Hats,[46256],Women's Casual Shoes and Sneakers,"[38022, 46423, 38301, 13718, 6855, 12723, 29244, 30865, 3488, 5426]",1,1,1,1,4,3,1. TATA/他她秋撞色系带方跟小黑皮鞋女单鞋2HC84CM7 [Additional context: This item is frequently included in outfits with: 晶咕家韩版网纱金丝绒半身裙秋冬女装中长款纱裙a型高腰百褶裙子; 晶咕定制2018春装新款牛仔衬衫女长袖中长款韩版蓝色宽松衬衣外套.],A. DOUDOU STORE 车厘子~ 超仙气质春夏款！樱桃耳饰网红耳环耳坠 [Additional context: This item is frequently included in outfits with: 心蓝家网红v领基础T恤短袖女打底衫150小个子矮搭配155穿搭显高xs; 小优家包包 马鞍包菱格迷你小包包女包新款2019斜挎包百搭链条包; 波点雪纺连衣裙a字女夏季超仙2019新款chic爱心黑色吊带裙中长款.]; B. 马丁靴女英伦风2018新款短靴女棉靴真皮尖头平底靴子女休闲中筒靴 [Additional context: This item is frequently included in outfits with: 三彩2017冬装新品真毛领呢大衣圆领长袖羊毛呢外套女S640303D00; 三彩2017冬装 高腰修身复古格纹百褶裙半身裙女D743270Q40.]; C. 2018春秋冬新款女鞋漆皮平底短筒松紧口英伦风短靴子百搭马丁靴潮; D. 韩国秋冬天贝雷帽复古画家帽羊毛帽子女韩版冬季休闲百搭蓓蕾帽潮 [Additional context: This item is frequently included in outfits with: 2019新款秋冬哑光仿羊皮裤女加绒弹力修身显瘦腿高腰黑色打底长裤; 2018新款马丁靴女英伦风短靴粗跟加绒军靴女靴子女秋冬高跟中筒靴; 小鹿要飞秋冬新款大毛领单排扣红色毛呢外套女中长款过膝呢子大衣.]; E. 范思蓝恩裤子女2018春新款阔腿裤绑带宽松休闲裤高腰百搭韩版长裤 [Additional context: This item is frequently included in outfits with: 2018新款马丁靴女内增高震地王英伦风冬季百搭超高跟厚底短靴子; 范思蓝恩羊毛呢外套女冬装新款韩版宽松显瘦中长款灰色双面呢大衣.]; F. MASOOMAKE复古系带厚底靴子女2018新款 磨砂加绒平底短靴子女棉鞋 [Additional context: This item is frequently included in outfits with: 【南风】牛皮手提包女2019新款时尚百搭包包女包大包大容量斜挎包; JHXC 韩版宽松加绒卫裤女秋冬显瘦哈伦裤小脚运动裤休闲裤长裤潮; 冬装2018新款时髦女装闺蜜装韩版宽松休闲百搭中长款毛绒外套女冬.]; G. 【尾货清仓】水桶包女简约牛皮圆环手拎包菜篮子链条斜挎包潮; H. 毛毛绒包包女2017新款潮 韩版百搭斜挎单肩手提拿迷你小猫包清新 [Additional context: This item is frequently included in outfits with: 2018冬季新款羊皮毛一体雪地靴女中筒真皮防水防滑保暖扣棉鞋女靴; 施华洛世奇TOUGH 花朵小清新可爱简约耳钉耳环耳饰女 送女友礼物.]; I. 小狍2018新款西装领毛呢外套女韩版显瘦风衣中长款妮子大衣女 [Additional context: This item is frequently included in outfits with: Sense1991毛毛鞋女一脚蹬平底懒人鞋羊毛穆勒鞋春季单鞋|88522; 秋冬季文艺复古贝雷帽女貂绒帽可调节兔毛画家帽潮纯色毛绒蓓蕾帽; 黑色加绒打底裤九分女小脚裤2017秋冬弹力魔术裤紧身外穿铅笔裤子.]; J. 羊毛加绒黑色打底裤女外穿秋装2018新款紧身裤子极简显瘦小脚裤潮 [Additional context: This item is frequently included in outfits with: 【南风】水桶包女秋天斜挎包包女2018新款时尚休闲单肩包斜挎女包; 傲麦磨砂皮小短靴女2018新款秋裸靴粗跟鞋子女冬加绒马丁靴女短筒.]
pog,BIxIB,10188,10048,fc528592c3858f90196fbfacc814f235,Women's High-Waist Fashion Skirts,[3774],Women's Fashion Shoulder and Crossbody Bags,"[18887, 25662, 5437, 10048, 17443, 29038, 34774, 12320, 1860, 3589]",1,1,1,8,2,1,1. 2019新款豆腐包box锁扣小方包真皮都挺好同款包单肩斜挎小ck女包,A. MG小象条纹针织衫女装宽松圆领内搭上衣春新款学生小清新套头毛衣; B. 潮羽毛复古长款女士百搭优雅饰品耳环韩国气质蝴蝶仙高级感小众; C. 大叔家2018秋冬季新款圆头长筒靴低跟显瘦过膝靴弹力靴平底长靴女; D. 花衫集原创设计自制女装-复古华丽条纹丝绒A字喇叭裙春秋半裙短; E. YUANIRIS苑思比古董珠宝感黑色透明滴油湖水绿宝石开口女时尚手镯; F. 现货LIVAS柔软的丹宁合身巨显瘦，修身好版型小脚裤 中高腰牛仔裤; G. 张大奕 破洞牛仔裤春季2018新款女时尚磨破水洗韩版直筒裤子女潮; H. 2018秋冬新款亚光pu裤紧身小脚裤单排扣皮裤女高腰外穿修身裤子; I. 周大奇 灰色卫衣2019新款春秋女长袖韩版宽松连帽卫衣女学生字母; J. 【直播】初语春秋不规则下摆性感V领条纹吊带连衣裙女无袖背心裙
pog,IUxUI,9504,29802,83fb64f0af37f88a42f311549fb261cb,Men's Slim Fit Denim Jeans,"[27162, 39303]",Men's Thickened Workwear Cotton Jackets; Men's Long-Sleeved Casual and Formal Shirts,"[13757, 11113, 15840, 45795, 42417, 29802, 44170, 35261, 22673, 36688]",1,2,2,2,1,2,1. 劳尔冬季原创简约黑色中长款棉衣日系宽松休闲加厚棉服外套男装; 2. LMTNZD夏季原创休闲灰牛仔衬衫日系宽松复古做旧条纹潮衬衣男上衣,A. 稻草人女包 手提包2018新款 单肩托特包欧美时尚妈妈袋大包包正品; B. GXG毛呢大衣男装冬季男士黑色简约绅士气质流行休闲长款时尚外套; C. M码 叶叶铢衣 伶俐柠檬中国风中长款女装棉麻风衣外套30327现货; D. 羊皮女手机包小香菱格2018新款迷你冬真皮链条竖款多功能斜挎小包; E. 包头半拖鞋女2019夏季新款网红无后跟懒人外出拖鞋女时尚外穿平底 [Additional context: This item is frequently co-purchased with: 芦夫人鞋子女2019春夏乐福鞋一脚蹬平底英伦真皮鞋单鞋百搭小白鞋; V领复古温柔网纱很仙的连衣裙女高腰春夏chic网红两件套吊带裙子; 2019春季新款韩版真皮浅口单鞋百搭方头女鞋两穿一脚蹬平底奶奶鞋.]; F. 黑色牛仔裤男士宽松加肥加大码束脚裤男潮牌春夏款小脚哈伦长裤子; G. 小胡子店2019新款ins工装裤男潮牌束脚休闲裤子小脚九分裤哈伦裤 [Additional context: This item is frequently co-purchased with: 高腰黑色半身裙2019春夏新款中长款开叉绑带不规则OL职业A字裙女; 撞色弹力短靴女粗跟2018韩版新款气质尖头显瘦针织弹力靴切尔西靴; 梅子熟了小清新格子半身裙 复古chic不规则中长款裙子女2019春装.]; H. 【仅余1件】官方UnlogicalPoem毛巾绣拼接织锦加绒卫衣2色; I. 万搭单品！细巧木耳花边领加厚针织衫长袖修身打底套头毛衣女秋装; J. 抽绳松紧腰侧缝链条显瘦阔腿喇叭裤长裤子
pog,BIxIB,7095,44163,022ab423f035b47ac0af5046c51ed093,Women's Pullover Knit Sweaters,[28519],Women's High-Waist Fashion Skirts,"[37005, 11465, 40408, 7472, 47292, 40896, 26985, 38929, 44163, 48582]",1,1,1,3,3,1,1. 小鹿要飞 新款秋冬双层白色网纱半身裙女小清新仙女裙打底长裙子,A. 包包女包新款2019时尚夏款百搭ins网红小ck宽肩带真皮斜挎小包潮; B. 夕蒙小个子中长款呢子赫本大衣女过膝秋冬加厚2018流行毛呢外套; C. 草帽女夏小清新海边度假沙滩帽英伦防晒平顶礼帽太阳帽网红遮阳帽; D. 巴掌家欧洲2018新款冬季毛呢外套女中长款女装格子双面呢流行大衣; E. 云上 棉衣女立领宽松棉袄M6293; F. 衣品天成毛边牛仔短裤女2019夏装新款学生潮chic百搭显瘦时尚短裤; G. 大叔家拼接针织袜子靴女2018新款秋冬英伦圆头粗跟弹力显瘦短靴潮; H. KIZZME新款女包撞色牛皮马鞍包韩版复古简约单肩斜挎包包; I. 100%羊毛套头毛衣女2018新款针织上衣慵懒风粗毛线高领纯色羊毛衫; J. 两面可穿秋冬针织半身裙女高腰包臀裙蕾丝长裙网纱A字裙春夏裙子
pog,IBxBI,15060,30993,83fb64f0af37f88a42f311549fb261cb,Men's Slim Fit Denim Jeans,[28081],Classic Canvas High and Low Top Sneakers,"[46475, 44835, 21614, 13202, 10978, 13455, 30993, 21154, 23750, 2034]",1,1,1,1,8,8,1. Converse/匡威高帮经典帆布鞋常青款101009 101013 102307 101010,A. 西西小可港味复古休闲裤女2019新款春学生韩版宽松高腰毛呢短裤子 [Additional context: This item is frequently included in outfits with: 很仙的毛衣外套女新年红色上衣洋气2019早春装新款慵懒风针织开衫; 大叔家2018新款韩版秋冬季拉链骑士靴女百搭显瘦高筒靴加绒皮靴女.]; B. 万里马欧美秋冬新款女包真皮手提包时尚女士包包单肩斜挎包杀手包 [Additional context: This item is frequently included in outfits with: 2019新款切尔西短靴女春秋单靴粗跟真皮鞋春款百搭尖头裸靴马丁靴; 逸阳女裤2018新款正品清仓春高腰牛仔裤女长裤大码弹力小脚铅笔裤; 韩都衣舍2018秋装新款女韩版v领休闲宽松显瘦毛衣针织衫MM7643煜.]; C. 钱夫人CHINSTUDIO 港风pp home字母套头连帽加绒卫衣女冬宽松外套; D. 原创ulzzang荷包蛋口金包 ins包包女chic 手提迷你小包包斜挎包 [Additional context: This item is frequently included in outfits with: 忆奴娇 时光易浅 S925纯银饰品水晶耳环 中长款蓝色水滴耳坠耳饰; 颈链女短款韩国个性气质项圈性感网红锁骨项链脖子饰品choker颈带.]; E. 秋季韩版磨砂皮男士休闲马丁靴短靴大头皮鞋厚底英伦增高工装男鞋; F. 半高领毛衣女修身春秋2019新款韩版套头针织衫内搭线衣加厚打底衫; G. NOTHOMME日系简约小直筒宽松牛仔长裤男款锥形裤浅蓝水洗ifashion [Additional context: This item is frequently included in outfits with: 邦顿抖音网红手表男士2019新款潮简约防水虫洞概念石英表学生男表; 【s o s】Converse匡威1970s高低帮帆布运动板鞋黑144757C142334C; Converse/匡威 1970s三星标黑白复古情侣高低帮休闲帆布鞋142334C.]; H. X-PANDA2018夏季新款短袖T恤女字母印花原宿风上衣女学生潮 [Additional context: This item is frequently included in outfits with: X-PANDA柠檬黄阔腿裤女2018春装新款高腰韩版休闲裤长裤直筒裤女; chic链条斜挎包迷你小包包女2018新款时尚小腰包韩版小圆包单肩包.]; I. 韩都衣舍2018冬季新款短绒呢大衣中长款牛角扣毛呢外套女LF7794耒 [Additional context: This item is frequently included in outfits with: ELLE女包新款80191时尚牛皮单肩包斜挎链条包蛇纹花背带小方包; 勿上热风2017秋季新款板鞋女单鞋平底圆头女士休闲鞋纯色H13W7309.]; J. 2018春季新款韩版棒球服女短款宽松bf风开学季外套百搭学生夹克 [Additional context: This item is frequently included in outfits with: MOCOchic印花字母纯棉宽松短袖圆领t恤女MA173TEE201; 哥弟女鞋2019春夏新款英伦风百搭小白鞋时尚休闲鞋板鞋女AX12022; 茵曼女鞋18年春做旧小脏鞋女真皮复古韩版百搭小白鞋4881030070.]
pog,IBxBI,10137,13301,a6cd655d1645f38869be793d5fb194cb,Women's Cropped Denim Jeans,[8393],Women's Mid-Length Trench Coats,"[5869, 32599, 13301, 45179, 3394, 32183, 21754, 43247, 41530, 44983]",3,1,1,1,2,3,1. 风衣女中长款衣香丽影2018春秋季新款英伦薄款韩版双排扣春季外套,A. Alice W花花家2019初春新款韩版网红破洞高腰牛仔裤女显瘦小脚裤 [Additional context: This item is frequently included in outfits with: 【南风】亮片小方包新款2019时尚链条单肩包斜挎包上新小包包女包; 韩国东大门抽象小众金属耳钉女耳环水滴复古气质耳夹耳坠耳饰1440; 水钻单鞋女2019春季夏款平底仙女浅口一脚蹬方头蝴蝶结韩版豆豆鞋.]; B. 勿上热风2018年秋款学院风单鞋女士系带休闲鞋平底帆布鞋H14W8119 [Additional context: This item is frequently included in outfits with: 帽子女新款韩版绸缎刺绣字母棒球帽休闲百搭出游遮阳帽情侣鸭舌帽; aza小包包2019新款女包撞色小方包迷你蝴蝶结宽肩带单肩包斜挎包; 粉红豹短袖T恤女2019夏季新款学生宽松韩版半袖上衣春季打底衫潮.]; C. 韩都衣舍2019夏装新款女装韩版显瘦毛边直筒九分裤牛仔裤JM7462蒖 [Additional context: This item is frequently included in outfits with: 艾斯臣基础小白鞋女休闲真皮单鞋女秋新款平底运动鞋学生韩版百搭; 韩都衣舍2017韩版女装冬装新款bf风宽松chic休闲短款棉衣LZ7280烎; 小白鞋女内增高2018春秋季新款韩版百搭女鞋厚底松糕学生鞋运动鞋.]; D. 可然文书曲/两面穿 雨露棉麻白色衬衫女春装长袖宽松衬衣亚麻上衣 [Additional context: This item is frequently included in outfits with: 已经重新上架 山月纪/; 可然 心系/毛边牛仔裤宽松文艺九分阔腿裤哈伦裤子春装2019款女装.]; E. 超级推荐！圣诞绿色毛衣女2018冬季新款高领镂空套头针织衫外穿; F. 印计谷羽 日系渔夫帽女夏天休闲百搭盆帽柔软可折叠太阳帽遮阳帽; G. 稻草人女包2019新款包包女单肩斜挎包手提时尚韩版潮百搭ins小包 [Additional context: This item is frequently included in outfits with: 勿上热风春款小白鞋女平底板鞋深口女士百搭系带休闲鞋H14W7119; 深色牛仔裤女2018秋冬季新款韩版百搭修身小脚长裤显瘦chic铅笔裤.]; H. 小麋人少女感豆沙粉草莓色月光圆珠水晶S925纯银手链甜美清新女款 [Additional context: This item is frequently included in outfits with: ECCO爱步休闲复古圆头平底单鞋牛皮透气小白鞋女 艾米241073; 日韩国气质长款耳环女锆石个性耳环s925纯银针耳钉耳饰百搭吊耳坠; 嘉里奥新款真皮女包单肩包 时尚潮流手提斜挎包 商场同款小方包.]; I. 春季chic高腰牛仔裤女宽松ins超火的裤子女学生直筒九分微喇叭裤; J. 马克华菲高帮鞋男板鞋秋冬天牛皮休闲鞋透气百搭男士潮流短靴子 [Additional context: This item is frequently included in outfits with: 马切达秋季日系复古多口袋工装休闲裤青年男士简约纯色宽松束脚裤; 邦顿男士手表全自动机械表防水昼夜变化男表镂空皮带潮流2018新款.]
pog,BIxIB,11060,24796,2450d5bfc87a1f5b96e2837f5c87a70c,Women's Chiffon and Floral Dresses,"[6036, 36038]",Women's Fashion Shoulder and Crossbody Bags; Minimalist Fashion Quartz Watches,"[24796, 32556, 19673, 8647, 39977, 6470, 48519, 39001, 31622, 41522]",3,2,2,5,5,1,1. Mexican/稻草人女包手提包包女2019新款时尚百搭女式单肩斜挎包潮; 2. Danielwellington 丹尼尔惠灵顿DW手表女28mm简约时尚女表,A. 性感连衣裙女夏2018新款韩版名媛气质V领开叉荷叶边红色吊带裙; B. 2018冬装新款韩版气质拼色加厚高腰阔腿裤百搭学生长裤直筒裤子女; C. COTRE 独立设计 沙漠玫瑰 交叉褶皱连衣裙; D. 帆布鞋男女高帮小脏橘布鞋港风夏季鞋子男潮鞋百搭超火高邦板鞋男; E. Da汪 运动鞋男女秋冬季新款韩国chic复古ins做旧胶水鞋增高板鞋; F. MIUCO女装2017冬新款灯笼袖牦牛绒青春时尚百搭毛毛外套; G. 【南风】羊皮菱格链条包真皮女包2018新款手提包简约大气斜跨包; H. Forevercan2018春季新款 优雅黑 中长款抽绳喇叭袖毛衣连衣裙女; I. 南瓜谷 休闲裤女高腰宽松2018新款九分裤秋季百搭裤子薄西裤 K388; J. CHARLES＆KEITH秋平底单鞋女CK1-70900077甜美毛球尖头浅口低跟鞋
pog,IUxUI,18243,27120,dab681fd76ae76e9421f7378ed0ed11d,Men's Thickened Workwear Cotton Jackets,"[20901, 23353]",Men's Short Sleeve T-Shirts; Men's Casual Joggers and Harem Pants,"[27120, 5617, 33878, 45629, 31023, 9916, 25281, 12885, 12963, 2560]",1,2,2,2,1,2,1. GXG男装 男士潮流多色长袖高领套头长袖T恤男#174834140; 2. 炉品工装裤男秋季潮牌宽松潮流束脚裤抽绳多口袋小脚休闲哈伦裤男,A. 二十八间冬季街头潮牌个性迷彩男士棉服2018新款休闲宽松连帽棉衣 [Additional context: This item is frequently co-purchased with: 二十八间冬装街头潮牌纯色加绒工装束脚裤子ins超火男士休闲长裤; 港风韩风chic复古网红宽松格子高领假两件卫衣男连帽情侣外套男春; 二十八间冬季原创男装嘻哈潮牌高领卡通毛衣男士线衣潮流休闲外套.]; B. 条纹针织连衣裙女秋冬装2018新款韩版宽松中长款毛衣裙子过膝长; C. BDCT 日系复古纯色大口袋工装夹克 春季薄款小立领休闲开衫外套潮; D. 【断码清仓】夏季薄款日系休闲短裤男五分裤纯棉帅气修身黑色短裤; E. 张子萱cheeseandkisses可爱俏皮清新甜美多色百搭贝雷帽#; F. 纽芝兰包包女2019新款潮韩版手提包时尚百搭单肩包ins斜挎包小ck [Additional context: This item is frequently co-purchased with: 子晴 简约韩版棉服外套女冬季新款百搭chic纯色短款宽松棒球服潮; 高级感小包包女包新款2019斜挎包洋气时尚百搭ins质感网红小黑包; istep情侣高帮涂鸦帆布鞋女2019新款春韩版学生百搭ins潮手绘板鞋.]; G. 兔毛卷边针织半身裙女中长款秋冬百搭显瘦柔软弹力过膝长裙包臀裙; H. 马丁靴女英伦风小短靴春秋2018新款冬季韩版学生平底粗跟裸靴子女; I. 二十八间冬装街头潮牌纯色加绒工装束脚裤子ins超火男士休闲长裤 [Additional context: This item is frequently co-purchased with: BJHG嘻哈工装裤男潮牌多口袋印花休闲束脚学生宽松HIPHOP哈伦裤子; BJHG春夏多口袋工装裤男潮流欧美街头宽松纯色复古飘带休闲束脚裤; BJHG春秋2019新款工装夹克男士潮流行宽松HIPHOP嘻哈港风CHIC外套.]; J. 手拿包单肩包包女2018新款潮韩版百搭斜挎包chic链条包丝绒信封包
pog,IUxUI,15094,7749,852a581f78e4f4d7ecf9972a038e440c,Women's Heeled Ankle Boots,"[13126, 37266]",Women's Mid-Length Woolen Coats; Women's Fleece-Lined Thermal Leggings,"[27204, 28488, 22848, 40592, 18687, 35769, 37831, 7749, 42082, 8682]",2,2,2,2,1,3,1. 黑色复古修身羊毛呢外套加厚中长款呢子大衣秋冬季女装20199新款 [Additional context: This item is frequently co-purchased with: 气质修身丝绒长裙OL长袖中长款打底裙连衣裙女装秋装20199新款; 丝绒修身长裙气质名媛收腰显瘦中长款连衣裙女装秋装20199新款; 连体裤女2019夏新款高腰显瘦阔腿短裤韩版宽松碎花度假雪纺连衣裤.]; 2. 鲨鱼皮裤运动打底裤女外穿2018秋新款女士百搭黑色弹力小脚长裤 [Additional context: This item is frequently co-purchased with: shevennie2018秋冬季网红新款厚底小白鞋子 ins运动鞋休闲鞋女鞋; 子晴气质英伦斗篷外套百搭秋冬新款chic宽松女上衣50%羊毛呢大衣; 2019新款女装春装不规则泫雅高腰铅笔小脚裤子紧身网红牛仔裤显瘦.],A. 秋冬季女鞋子2018新款方头平底单鞋韩版百搭加绒毛毛鞋大码女鞋潮; B. 鹿与奈良秋冬靴子女平底真皮兔毛磨砂时尚潮显瘦休闲外穿毛毛拖鞋; C. 对白荷叶边半身裙女2019夏装新款系带黑色网纱拼接A字裙时尚裙子; D. BJHG春机能工装飞行员夹克男潮牌美式街头嘻哈2019学院风立领外套; E. 靴子女短靴2018新款秋冬季高跟鞋细跟皮带扣尖头时尚马丁靴及裸靴; F. 秋冬国潮复古原宿风圣诞老人刺绣针织衫圆领套头马海毛衣男女宽松; G. A7seven 复古格子毛呢套头卫衣女冬季2019新款宽松显瘦学生绒衫潮; H. 弹力袜子靴女高跟鞋靴子针织袜靴瘦瘦靴细跟中筒短靴尖头秋冬裸靴 [Additional context: This item is frequently co-purchased with: 法式法国复古山本气质桔梗2019早春女春秋赫本裙子过膝红色连衣裙; DIAMOND 2019春款浅色阔腿裤高腰牛仔裤女显瘦百搭宽松直筒裤长裤; 半曲尖头短靴女粗跟靴子女2018新款秋冬瘦瘦高跟网红短靴冬季女鞋.]; I. 2019春季新款百搭网红法式少女黑色高跟鞋细跟尖头裸色女士单鞋夏 [Additional context: This item is frequently co-purchased with: 网红同款衣服超火条纹针织衫复古温柔风短袖T恤女夏韩范chic上衣; FFAN泛泛 颜值实力派选手 可搭配N套的直筒灯芯绒裤少女裤; 中长款白衬衫女长袖高腰韩版宽松2019春气质仙女范收腰显瘦衬衣.]; J. U.VN 气质黄金貂绒粉色毛呢外套女中长款宽松赫本风过膝呢子大衣 [Additional context: This item is frequently co-purchased with: 雾霾蓝双面羊绒大衣女2018冬新款韩版手工中长款系带羊毛呢子外套; 淑女波点性感连衣裙女夏冷淡风2019新款收腰长袖小清新收腰裙子; 冰冰来了夏季新款泰国潮牌文艺绣花交叉V领系带百搭直筒连体裤.]
pog,IUxUI,630,38643,b608ccb44928992e75009892971acd46,Women's Fashion Berets and Bucket Hats,"[15295, 38196]",Women's Chiffon and Floral Dresses; Women's Fashion Shoulder and Crossbody Bags,"[29212, 36474, 47238, 32288, 38643, 20856, 8982, 29749, 8693, 23042]",3,2,2,3,1,2,1. 一字肩小清新白色连衣裙吊带裙女夏学生可爱仙女裙子2019夏装新款; 2. 小瑞靓包银色小方包包迷你女2018新款单肩包时尚斜挎包链条小包包,A. NOTHOMME日系潮牌肌理印花连帽套头卫衣男款宽松街头嘻哈白色帽衫 [Additional context: This item is frequently co-purchased with: BJHG春自制工装格子衬衣男潮牌日系OVERSIZE宽松INS港风衬衫外套; 马切达春季百搭小脚长裤日系纯色cargo工装裤男士宽松复古休闲裤; 小脏橘港风帆布鞋男女高帮韩版鞋子男潮鞋雾霾蓝夏季百搭超火板鞋.]; B. ins包包女chic帆布包女斜挎包学生韩版单肩原宿日系ulzzang手提袋; C. 2018冬季新款网红瘦瘦靴袜靴中筒粗高小跟百搭拼接短筒加绒短靴女 [Additional context: This item is frequently co-purchased with: 丽哥潮牌黑色裤子女2019春秋新款高腰老爹裤宽松显瘦哈伦牛仔裤女; 2019春夏新款小个子雪纺碎花连衣裙女中长款长袖复古气质遮肚子; 网红靴子前拉链短靴女2018秋冬新款英伦风马丁靴女鞋短筒平底加绒.]; D. OXEN潮牌联名简约棒球帽女像素红心春夏遮阳帽子男白色弯檐鸭舌帽; E. 小蜜蜂草帽英伦太阳帽平顶帽大沿帽海边沙滩遮阳防晒度假帽子女夏 [Additional context: This item is frequently co-purchased with: 蛋糕裙连衣裙女春秋2019流行网纱裙子高腰中长款仙女裙短袖t恤裙; 日系春夏新款文艺复古休闲棉麻鸭舌帽女南瓜透气八角帽画家帽子潮; 【现货】iuiu阿晶法国爱心印花衬衫裙春装2019款女碎花雪纺连衣裙.]; F. 雪枫 韩国木质耳环女长款仙气毛球吊坠欧美复古圈圈个性流苏耳线; G. 秋冬鸭舌帽画家帽贝雷帽韩版皮质八角帽女士百搭复古帽子明星同款; H. 连帽慵懒风卫衣女装薄款春秋季2019新款长袖上衣韩版宽松学生外套 [Additional context: This item is frequently co-purchased with: 破洞网红色假两件卫衣女2019春新款宽松潮牌学生上衣女外套; 毛衣女2019很仙的带帽打底针织衫短款chic港味上衣连帽套头卫衣; Abby 牛仔半裙女夏短款2019新款韩范复古修身显瘦原宿高腰a字短裙.]; I. 胡月明星空毛衣女2018冬装新款宽松套头中长款黑色星星早秋针织衫; J. LOSEA 蜜蜂锁扣包包女2018新款时尚单肩包女小包百搭斜挎包小方包
