bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,hard_neg_count,prediction,raw_response,hit,overall_hit_rate,overall_valid_ratio
3077,170752,3,D,"[19780, 206020, 70745, 55605, 181056, 79597, 203140, 87787, 40591, 71722]","[8826, 3981, 202739, 170752, 73918, 193556, 92628, 116048, 180354, 104360]",1. Happy Together - The Turtles - Happy Together; 2. Never Be Like You - Flume - Skin; 3. Pirouette - Made in Heights - Without My Enemy What Would I Do; 4. Don't You (Forget About Me) - Simple Minds - Once Upon A Time; 5. Everybody Wants To Rule The World - Tears For Fears - Songs From The Big Chair; 6. Everyday - Single Version - Buddy Holly - Buddy Holly; 7. Somebody To Love - Remastered 2011 - Queen - A Day At The Races; 8. Breaker - Chaos Chaos - Committed to the Crime; 9. Woman In The Wall - The Beautiful South - Welcome To The Beautiful South; 10. Temporary Love - The Brinks - Temporary Love,"A. There Will Come A Time - Noah And The Whale - Heart Of Nowhere; B. Lifetime - Noah And The Whale - Heart Of Nowhere; C. Rocks And Daggers - Noah And The Whale - Peaceful, The World Lays Me Down; D. L.I.F.E.G.O.E.S.O.N. - Noah And The Whale - Last Night On Earth; E. Peaceful, The World Lays Me Down - Noah And The Whale - Peaceful, The World Lays Me Down; F. Life Is Life - Noah And The Whale - Last Night On Earth; G. Love Of An Orchestra - Noah And The Whale - The First Days Of Spring; H. Mary - Noah And The Whale - Peaceful, The World Lays Me Down; I. Our Window - Noah And The Whale - The First Days Of Spring; J. Not Too Late - Noah And The Whale - Heart Of Nowhere",9,D,D,1,0.472,0.964
833,137047,8,I,"[14183, 62649, 134606, 159062, 180803, 42449, 193552, 204927, 53877]","[142029, 8952, 14228, 177250, 194134, 81829, 2791, 106481, 137047, 112185]","1. In Summer - Josh Gad - Frozen; 2. I'll Make a Man Out of You - From ""Mulan""/Soundtrack - Donny Osmond - Mulan; 3. I Won't Say (I'm in Love) - Lillias White - Hercules Original Soundtrack; 4. Out There - Tony Jay - The Hunchback Of Notre Dame; 5. Part of Your World - From ""The Little Mermaid""/ Soundtrack Version - Jodi Benson - Little Mermaid; 6. God Help The Outcasts - Heidi Mollenhauer - The Hunchback Of Notre Dame; 7. When You Believe - Whitney Houston - My Love Is Your Love; 8. Just Around The Riverbend - Judy Kuhn - Pocahontas; 9. Reindeer(s) Are Better Than People - Jonathan Groff - Frozen","A. Quit Breaking My Heart - Mandy Moore - So Real; B. Crush - Mandy Moore - The Best of Mandy Moore; C. Candy - Mandy Moore - The Best of Mandy Moore; D. Moonshadow - Mandy Moore - Coverage; E. Cry - Mandy Moore - The Best of Mandy Moore; F. Someday We'll Know - Mandy Moore - Cry; G. Healing Incantation - From ""Tangled""/Soundtrack Version - Mandy Moore - Tangled; H. Only Hope - Mandy Moore - The Best of Mandy Moore; I. I See the Light - From ""Tangled""/Soundtrack Version - Mandy Moore - Tangled; J. The Tear Heals - From ""Tangled""/Score - Mandy Moore - Tangled",9,I,I,1,0.472,0.964
5052,140136,3,D,"[44549, 77433, 155521, 181252, 174743, 135183, 83513, 156637, 8740, 46604]","[155171, 203583, 77737, 140136, 196134, 91536, 177154, 20159, 144378, 4729]",1. If You Could Only See - Tonic - Lemon Parade; 2. The Adventures Of Rain Dance Maggie - Red Hot Chili Peppers - I'm With You; 3. Bitter Sweet Symphony - The Verve - Urban Hymns; 4. Disarm - The Smashing Pumpkins - Siamese Dream; 5. Today - The Smashing Pumpkins - Siamese Dream; 6. Don't Look Back in Anger - Remastered - Oasis - (What's The Story) Morning Glory? [Remastered]; 7. Wonderwall - Remastered - Oasis - (What's The Story) Morning Glory? [Remastered]; 8. Breakfast At Tiffany's - Deep Blue Something - Home; 9. Say It Ain't So - Weezer - Weezer; 10. The Zephyr Song - Red Hot Chili Peppers - By The Way,A. Go Robot - Red Hot Chili Peppers - The Getaway; B. Easily - Red Hot Chili Peppers - Californication; C. Pretty Little Ditty - 2003 Digital Remaster - Red Hot Chili Peppers - Mother's Milk; D. Dani California - Red Hot Chili Peppers - Stadium Arcadium; E. Goodbye Angels - Red Hot Chili Peppers - The Getaway; F. Shallow Be Thy Game - Red Hot Chili Peppers - One Hot Minute; G. By The Way - Red Hot Chili Peppers - By The Way; H. We Turn Red - Red Hot Chili Peppers - The Getaway; I. This Is The Place - Red Hot Chili Peppers - By The Way; J. Transcending - Red Hot Chili Peppers - One Hot Minute,9,I,I,0,0.472,0.964
11997,194515,6,G,"[143504, 90618, 38279, 169365, 46465, 108873, 181778, 33673, 142769, 205005]","[5178, 200252, 189313, 41357, 107529, 147431, 194515, 172981, 60096, 95025]",1. Throw - D.VELOPED - Throw Some D's On That Blink; 2. My Body - Two Door Cinema Club Remix - Young the Giant - Remixes; 3. Collide - Radio Edit - Leona Lewis - Collide; 4. The Way - Ariana Grande - Yours Truly; 5. Call Me Maybe - Manhattan Clique Remix - Carly Rae Jepsen - Call Me Maybe; 6. Spectrum - Acoustic Version - Zedd - Clarity; 7. Clarity - Zedd - Clarity; 8. No Pause - Girl Talk - Feed the Animals; 9. The Night Out - A-Trak Remix - Martin Solveig - The Night Out EP; 10. The Epic Rhythm - D.VELOPED - The Epic Rhythm,A. Christmas Without You - OneRepublic - Christmas Without You; B. Sucker Punch - OneRepublic - Waking Up; C. All We Are - OneRepublic - Dreaming Out Loud; D. Lift Me Up - Michael Brun Remix - OneRepublic - Lift Me Up; E. Let's Hurt Tonight - BUNT. Remix - OneRepublic - Let's Hurt Tonight; F. What You Wanted - OneRepublic - Native; G. Feel Again - OneRepublic - Native; H. Good Life - OneRepublic - Waking Up; I. Fear - OneRepublic - Waking Up; J. Don't Look Down - OneRepublic - Native,9,E,E,0,0.472,0.964
7189,172001,2,C,"[205416, 50717, 196331, 30063, 132129, 212445, 6808, 94704, 138745, 107868]","[61892, 161176, 172001, 143979, 205302, 140247, 83369, 5157, 180838, 62934]",1. That Home - The Cinematic Orchestra - Ma Fleur; 2. Endlessly - Green River Ordinance - Out Of My Hands; 3. Parachute (Acoustic) - Ingrid Michaelson - Parachute(s) Remixed; 4. Still Hurting - Anna Kendrick - The Last Five Years; 5. Je T'aime - Kelly Sweet - We Are One; 6. Dust to Dust - Acoustic - The Civil Wars - Bare Bones EP; 7. Dear John - Little House - Amanda Seyfried - Little House; 8. She (For Liz) - Parachute - Losing Sleep; 9. Your Guardian Angel - The Red Jumpsuit Apparatus - Don't You Fake It; 10. To Whom It May Concern - The Civil Wars - Barton Hollow,"A. Devil's in the Jukebox - Ray LaMontagne - God Willin' & The Creek Don't Rise; B. Gone Away from Me - Ray LaMontagne - Till The Sun Turns Black; C. Let It Be Me - Ray LaMontagne - Gossip In The Grain; D. Hold You in My Arms - Ray LaMontagne - Trouble; E. Part One - Homecoming - Ray LaMontagne - Ouroboros; F. God Willin' & the Creek Don't Rise - Ray LaMontagne - God Willin' & The Creek Don't Rise; G. I Still Care for You - Ray LaMontagne - Gossip In The Grain; H. Empty - Ray LaMontagne - Till The Sun Turns Black; I. You Can Bring Me Flowers - Ray LaMontagne - Till The Sun Turns Black; J. Hey Me, Hey Mama - Ray LaMontagne - Gossip In The Grain",9,D,D,0,0.472,0.964
10579,94609,2,C,"[39502, 180687, 62505, 59738, 133189, 146022, 92997, 197392]","[80901, 58904, 94609, 94508, 24503, 35310, 66843, 159108, 165832, 5782]","1. Make You Feel My Love - Adele - 19; 2. If I Ain't Got You - Alicia Keys - The Diary Of Alicia Keys; 3. Across the Universe - Fiona Apple - Pleasantville -Music From The Motion Picture; 4. Lucky - Spotify Session - Jason Mraz - Spotify Sessions; 5. Your Song - Elton John - Elton John; 6. All of Me - Billie Holiday - Maailman Tähdet Billie Holiday; 7. Baby, I Love Your Way - Big Mountain - The Best Of Big Mountain; 8. Realize - Colbie Caillat - Coco","A. Like Cockatoos - The Cure - Kiss Me, Kiss Me, Kiss Me; B. Pictures Of You - Remix - The Cure - Galore - The Singles 1987-1997; C. Lovesong - The Cure - Disintegration; D. The Only One - The Cure - 4:13 Dream; E. Return - The Cure - Wild Mood Swings; F. Burn - From The Crow OST - The Cure - Join The Dots - The B-Sides & Rarities; G. Mint Car - The Cure - Wild Mood Swings; H. All I Want - The Cure - Kiss Me, Kiss Me, Kiss Me; I. 2 Late - The Cure - Join The Dots - The B-Sides & Rarities; J. Let's Go To Bed - The Cure - Greatest Hits",9,C,C,1,0.472,0.964
6811,171410,3,D,"[139017, 17248, 4806, 200060, 86385, 13941, 67538, 97173, 60502, 70568]","[199384, 109122, 109894, 171410, 169924, 41938, 162945, 85030, 60089, 149467]",1. River Water - Live & Unplugged - Moon Taxi - Acoustic on West 56th; 2. Float On - Modest Mouse - Good News For People Who Love Bad News; 3. Stay With Me - Sam Smith - In The Lonely Hour; 4. I Am the Lion King - PAPA - A Good Woman Is Hard to Find; 5. The River - Imagine Dragons - Night Visions; 6. The Good Times Are Killing Me - Modest Mouse - Good News For People Who Love Bad News; 7. Rude - MAGIC! - Don't Kill the Magic; 8. Sin - Eye Emma Jedi - EP; 9. The World At Large - Modest Mouse - Good News For People Who Love Bad News; 10. Sleep Talking - Q&A - Mvufu,A. Moth's Wings - Stripped Down Version - Passion Pit - Manners; B. Seaweed Song - Passion Pit - Manners; C. I'm Perfect - Passion Pit - Tremendous Sea of Love; D. Moth's Wings - Passion Pit - Manners; E. Dreams - Passion Pit - Manners; F. Mirrored Sea - Passion Pit - Gossamer; G. Folds In Your Hands - Passion Pit - Manners; H. I'll Be Alright - Passion Pit - Gossamer; I. Five Foot Ten (I) - Passion Pit - Kindred; J. Smile Upon Me - Passion Pit - Chunk of Change,9,D,D,1,0.472,0.964
9231,11319,9,J,"[103595, 165667, 135291, 182652, 107788, 12531, 31885, 26278, 192769, 30668]","[171781, 24871, 99909, 105036, 73761, 112222, 199226, 48850, 157301, 11319]",1. Respect - Aretha Franklin - I Never Loved A Man The Way I Love You; 2. What A Wonderful World - Single Version - Louis Armstrong - What A Wonderful World; 3. These Boots Are Made For Walkin' - Nancy Sinatra - Boots; 4. Black Velvet - Alannah Myles - Alannah Myles; 5. I Will Survive - 1981 Re-recording - Gloria Gaynor - I Will Survive; 6. Cantaloupe Island - 1999 Digital Remaster;Rudy Van Gelder Edition - Herbie Hancock - Empyrean Isles; 7. You're So Vain - Carly Simon - No Secrets; 8. La Vie En Rose - Single Version - Louis Armstrong - The Best Of The Decca Years Volume One: The Singer; 9. Drown in My Own Tears - Aretha Franklin - I Never Loved A Man The Way I Love You; 10. I Put A Spell On You - Annie Lennox - Nostalgia,"A. Just In Time - Live At The Village Gate - Nina Simone - At The Village Gate; B. Ain't Got No - I Got Life - Remastered - Nina Simone - 'Nuff Said; C. To Love Somebody - Remastered - Nina Simone - To Love Somebody (Expanded Edition); D. Don't Let Me Be Misunderstood - Zeds Dead Remix - Nina Simone - Verve Remixed: The First Ladies; E. Wild Is The Wind - Live Version - September 15, 1959 - Nina Simone - At Town Hall; F. Don't Let Me Be Misunderstood - Nina Simone - Broadway - Blues - Ballads; G. Turn Me On - Nina Simone - Silk & Soul; H. In Love in Vain - Remastered - Nina Simone - Nina Simone & Piano; I. I Love My Baby - Nina Simone - High Priestess Of Soul; J. Feeling Good - Nina Simone - I Put A Spell On You",9,J,J,1,0.472,0.964
11447,72146,6,G,"[158764, 42279, 154588, 61047, 34891, 31700, 88751, 85222, 71415, 195408]","[83221, 10843, 130167, 69915, 70966, 76595, 72146, 153476, 152758, 45187]","1. Under The Influence - Snoh Aalegra - Don't Explain - EP; 2. Get You (feat. Kali Uchis) - Daniel Caesar - Freudian; 3. Redbone - Childish Gambino - ""Awaken, My Love!""; 4. Belong To You - Sabrina Claudio - About Time; 5. Orion's Belt - Sabrina Claudio - Confidently Lost; 6. Bourbon - Gallant - Ology; 7. 'Bout It - JMSN - JMSN; 8. Higher - SBTRKT - Wonder Where We Land; 9. GLOWED UP - KAYTRANADA - 99.9%; 10. Get Along (feat. Anderson .Paak & Blu) - Elements of Music - Sunrain",A. Natural - Sabrina Claudio - About Time; B. F**k With U - Pia Mia - F**k With U; C. Too Much Too Late - Sabrina Claudio - Confidently Lost; D. Confidently Lost - Sabrina Claudio - Confidently Lost; E. I Don't - Sabrina Claudio - Confidently Lost; F. Tell Me - Sabrina Claudio - Confidently Lost; G. Unravel Me - Sabrina Claudio - About Time; H. Runnin' Thru Lovers - Sabrina Claudio - Confidently Lost; I. Frozen - Sabrina Claudio - About Time; J. Wanna Know - Sabrina Claudio - About Time,8,G,G,1,0.472,0.964
2364,99312,8,I,"[58734, 67675, 113928, 122950, 55805, 98438]","[201870, 100111, 5782, 35104, 44619, 22424, 206478, 206606, 99312, 142388]",1. Holding Hands - Woven In Time Album Version - Steve Green - Woven In Time; 2. I Won't Give Up - Jason Mraz - Love Is A Four Letter Word; 3. Perfect - Ed Sheeran - ÷; 4. The Perfect Gift - Stephan Moccio - The Perfect Gift; 5. You're Still You - Josh Groban - Josh Groban; 6. Love Never Fails - Brandon Heath - What If We,A. Smoke And Mirrors - Imagine Dragons - Smoke + Mirrors; B. Over the Rainbow - The Checkers - The Blue Vinyl; C. Let's Go To Bed - The Cure - Greatest Hits; D. Glow - The Digital Age - Evening:Morning; E. Used to You - Luke Combs - Used to You; F. Don't Walk Away - Cheyenne Jackson - Xanadu: Original Broadway Cast Recording; G. The Well - Imaginary Future - Fire Escape; H. I Need Love - Sam Phillips - Martinis & Bikinis; I. Reflecting Light - Sam Phillips - A Boot and a Shoe; J. Get Hype - 1GN - Unite,1,I,I,1,0.472,0.964
