bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,hard_neg_count,prediction,raw_response,hit,overall_hit_rate,overall_valid_ratio
9097,185453,3,D,"[85633, 158669, 212700, 154531, 150500, 219396, 123235, 84658, 69137, 135470]","[83146, 110952, 153107, 185453, 60915, 242143, 155774, 123151, 20856, 160521]","1. Y Cómo Es El - Marc Anthony - Iconos; 2. Sk8er Boi - Avril Lavigne - Let Go; 3. Nota de Amor - Wisin - Los Vaqueros: La Trilogía; 4. One Day At A Time - Enrique Iglesias - Euphoria; 5. Gypsy - Live Version - Shakira - Live From Paris; 6. Hey Hey Hallelujah - Rachel Platten - Wildfire; 7. Hello - Jump Smokers Radio Mix - Karmin - Hello - Remixes; 8. Astronauts - Rachel Platten - Wildfire; 9. Whenever, Wherever - Shakira - Laundry Service (Alben für die Ewigkeit); 10. Como Yo Le Doy - Spanglish Version - Pitbull - Dale","A. Trapdoor - Twenty One Pilots - Twenty One Pilots; B. Lane Boy - Twenty One Pilots - Blurryface; C. Heathens (feat. MUTEMATH) - Twenty One Pilots - TOPxMM; D. Ride - Twenty One Pilots - Blurryface; E. Implicit Demand For Proof - Twenty One Pilots - Twenty One Pilots; F. Car Radio - Live From SXSW - Twenty One Pilots - Spotify Sessions; G. Fake You Out - Twenty One Pilots - Vessel; H. Friend, Please - Twenty One Pilots - Twenty One Pilots; I. Holding On To You - Twenty One Pilots - Vessel; J. Truce - Twenty One Pilots - Vessel",9,D,D,1,0.52,1.0
7296,11329,0,A,"[84224, 163750, 165212, 48319, 178447, 234904, 227453, 137721, 207493, 162225]","[11329, 110640, 226680, 2800, 111156, 132754, 219015, 198523, 140570, 210921]","1. À bicyclette - Yves Montand - Master Serie; 2. Send Me An Angel - Scorpions - Crazy World; 3. Dirty Rain - Ryan Adams - Ashes & Fire; 4. Paradise - City and Colour - The Hurry And The Harm; 5. Go Your Own Way - 2004 Remastered Edition - Fleetwood Mac - Rumours; 6. White Flag - Dido - Life For Rent; 7. L'italiano - Toto Cutugno - L'Italiano; 8. Laura non c'è - Nek - Lei, gli amici e tutto il resto; 9. Je veux - Zaz - Zaz; 10. Baila Morena - Ciao Italia ! - The Very Best Of Italian Pop Songs","A. Hey Joe - Jimi Hendrix - Are You Experienced; B. Sunshine Of Your Love - Jimi Hendrix - Valleys Of Neptune; C. Stone Free - Jimi Hendrix - Are You Experienced; D. Little Wing - Jimi Hendrix - Axis: Bold As Love; E. Villanova Junction Blues - Jimi Hendrix - People, Hell & Angels; F. Like A Rolling Stone - Live At Monterey - Jimi Hendrix - Live At Monterey; G. Purple Haze - Live At Woodstock - Jimi Hendrix - Live at Woodstock; H. Manic Depression - Jimi Hendrix - Are You Experienced; I. Valleys of Neptune - Jimi Hendrix - Valleys Of Neptune; J. Red House - Jimi Hendrix - Are You Experienced",9,A,A,1,0.52,1.0
5458,169144,0,A,"[27056, 141089, 133258, 90316, 136741, 67900, 130251, 37160, 199859, 91255]","[169144, 9229, 66569, 162744, 88623, 80011, 239454, 152862, 238207, 184086]","1. Lady of the Ark - Kyle Craft - Dolls of Highland; 2. El Dorado - Sam Cohen - Cool It; 3. Let the Mountain Come to You - Sam Cohen - Cool It; 4. Disappearing Ink - David Bazan - Care; 5. Little Movies - Aaron Lee Tasjan - Silver Tears; 6. Young Men of Promise - Yellowbirds - Songs from the Vanished Frontier; 7. Kepler 62 - Sam Cohen - Cool It; 8. The Light - Sun Kil Moon - April; 9. Playing Dead - Christian Lee Hutson - Yeah Okay, I Know; 10. Leave on the Light - Alex Bleeker & The Freaks - How Far Away","A. Eating Paper - David Bazan - Strange Negotiations; B. A Way to You Again - Peter Bradley Adams - The Mighty Storm; C. Amargo Dolor (La Migra) - 20 Exitos - Recordar Es Vivir; D. Nightmares - Violent Femmes - 3; E. Tipsy - Instrumental - J-Kwon - Tipsy; F. Hard To Be - David Bazan - Curse Your Branches; G. My Way - From ""Sing"" Original Motion Picture Soundtrack - Seth MacFarlane - Sing; H. I Heard - C-Note - C.N.O.T.E Vs Gucci: Collectors Edition; I. Frozen - Coastal Remedy - To the World; J. La Verdad - J Alvarez - La Verdad",1,F,F,0,0.52,1.0
7857,3062,3,D,"[66034, 177240, 71779, 66278, 160667, 197909, 243287, 193976, 190788, 77011]","[235786, 72100, 135214, 3062, 102817, 53009, 109674, 221283, 112759, 65032]",1. Yo Te Amo - Fito Paez - Yo Te Amo; 2. A Thousand Miles - Vanessa Carlton - Be Not Nobody; 3. Pa' Mayté - Carlos Vives - La Tierra del Olvido; 4. Girl On Fire - Alicia Keys - Girl On Fire; 5. Adiós - Ricky Martin - A Quien Quiera Escuchar; 6. Do You Remember (Rami Ft. Karnaza) - DJ Mendez - Los Mendez; 7. Blame - Calvin Harris - Motion; 8. La Botella - Zion & Lennox - La Botella - Single; 9. Crazy - Aerosmith - Get A Grip; 10. Mi Persona Favorita - Río Roma - Otra Vida,"A. Dancin - Laidback Luke Remix - Aaron Smith - Dancin; B. Drummer Boy - Debi Nova - Luna Nueva; C. Por Última Vez - Debi Nova - Soy; D. Amor - Debi Nova - Soy; E. ITEYBC - Cospe - Super 1; F. Gal yuh Sexy - Dark Temptation Riddim - Mavado - Gal yuh Sexy - Single; G. Wounds - Kid Cudi - Passion, Pain & Demon Slayin'; H. Sky - Joshua Radin - Simple Times; I. Need 2 B Loved - Debi Nova - Luna Nueva; J. Fresh Eyes - Andy Grammer - Fresh Eyes",3,D,D,1,0.52,1.0
11456,253789,0,A,"[213830, 185222, 95147, 116648, 115841, 94472, 69851, 44849, 233534, 48354]","[253789, 30822, 158953, 227821, 196660, 136044, 92924, 241057, 32391, 192687]","1. Yo No Sé Mañana (salsa) - Luis Enrique - Ciclos; 2. A Escondida - Sexappeal - Porque No Vienes; 3. Me Llamaré Tuyo - Víctor Manuelle - Me Llamaré Tuyo Reloaded; 4. Un Hombre Normal - Yiyo Sarante - Lo Nuevo de Yiyo Sarante; 5. America - Yiyo Sarante - America (feat. Sexappeal, Pakole, Alex Matos, Felix Manuel, El Clasicom, Chiquito Team Band, Edwin el Futuro de la Salsa, Rut la Cantante & Revolution Salsera); 6. Agua Bendita - Víctor Manuelle - Que Suenen los Tambores; 7. Una Vez Más - Víctor Manuelle - Me Llamaré Tuyo Reloaded; 8. Cuando Ya No Me Acuerde de Ti - Víctor Manuelle - Que Suenen los Tambores; 9. Pirata - Original Version - Yiyo Sarante - Singles; 10. Nos Desacatamos - Chiquito Team Band - La Industria Salsera",A. Tu Amor Me Hace Bien - Salsa Version - Marc Anthony - Valio La Pena; B. Hasta Ayer - Marc Anthony - Todo A Su Tiempo; C. Llegaste A Mi - Marc Anthony - Todo A Su Tiempo; D. La Copa Rota - Marc Anthony - 3.0; E. Celos - Marc Anthony - Dos Clásicos; F. Muy Dentro De Mí (You Sang To Me) - Spanish Version - Marc Anthony - Marc Anthony; G. That's Okay - Marc Anthony - Marc Anthony; H. Te Conozco Bien - Marc Anthony - Todo A Su Tiempo; I. Hipocresía - Marc Anthony - 3.0; J. Ahora Quien - Salsa Version - Marc Anthony - Valio La Pena,9,A,A,1,0.52,1.0
12649,46681,4,E,"[108916, 110740, 206085, 127895, 115428, 230796, 169049, 196022, 11195, 5242]","[108197, 118799, 106746, 97242, 46681, 173298, 83630, 187292, 82158, 214200]","1. Ni**as In Paris - JAY Z - Top Five; 2. Hymn For The Weekend - Seeb Remix - Coldplay - A Head Full Of Dreams Tour Edition; 3. Dynamite (feat. Pretty Sister) - Nause - Dynamite (feat. Pretty Sister); 4. The Ocean - Mike Perry - The Ocean; 5. Devil (feat. Busta Rhymes, B.o.B & Neon Hitch) - Cash Cash - Blood, Sweat & 3 Years; 6. אוהבת לרקוד - קטריקס ודורון ביטון - אוהבת לרקוד; 7. Sing Me to Sleep - Alan Walker - Sing Me to Sleep; 8. F*ck Up Some Commas - Future - DS2; 9. Sail - AWOLNATION - Megalithic Symphony; 10. Superheroes - The Script - No Sound Without Silence",A. Gold Dust - Loosid Remix - Galantis - Gold Dust; B. In My Head - Galantis - Pharmacy; C. Water - Galantis - Pharmacy; D. Peanut Butter Jelly - GTA Remix - Galantis - Peanut Butter Jelly; E. No Money - Galantis - The Aviary; F. True Feeling - Galantis - The Aviary; G. Salvage (Up All Night) [feat.Poo Bear] - Galantis - The Aviary; H. Gold Dust - Galantis & Elgot VIP Mix - Galantis - Gold Dust; I. True Feeling - Galantis & shndō VIP Mix - Galantis - True Feeling; J. Dancin' To The Sound Of A Broken Heart - Galantis - Pharmacy,9,E,E,1,0.52,1.0
3600,72773,6,G,"[115824, 247893, 85482, 56735, 165507, 243842, 216117, 13244, 117000, 117738]","[146919, 225068, 97134, 126364, 234273, 85462, 72773, 25133, 205219, 168658]","1. I Won't Stop - nomad - I Won't Stop; 2. Shape of You - Ed Sheeran - ÷; 3. 1000 Nights - FRENSHIP - 1000 Nights; 4. Ways To Go - Grouplove - Spreading Rumours; 5. Young Blood - The Naked And Famous - Passive Me, Aggressive You; 6. Girls Like Me - Will Joseph Cook - Sweet Dreamer; 7. Carry You - Novo Amor - Bathing Beach; 8. Where It All Goes - Lostboycrow - Where It All Goes; 9. One Day At A Time - Quinn XCII - The Story of Us; 10. Cold Water (feat. Justin Bieber & MØ) - Major Lazer - Cold Water (feat. Justin Bieber & MØ)",A. Never Be Ready - Mat Kearney - City Of Black & White; B. Let It Rain - Mat Kearney - JUST KIDS; C. Two Hearts - Mat Kearney - Young Love; D. One Black Sheep - Mat Kearney - JUST KIDS; E. Fire & Rain - Mat Kearney - Playlist: The Very Best Of Mat Kearney; F. Ghost - Mat Kearney - JUST KIDS; G. Air I Breathe - Mat Kearney - JUST KIDS; H. Chasing The Light - Mat Kearney - Young Love; I. She Got The Honey - Mat Kearney - Young Love; J. Runaway Car - Mat Kearney - City Of Black & White,9,F,F,0,0.52,1.0
15591,123439,8,I,"[147147, 230849, 85419, 157569, 179210, 118571, 125780, 241722, 188496, 5690]","[22849, 58319, 207915, 27749, 243332, 73816, 247779, 121397, 123439, 74913]","1. falling up - Lyon - Falling Up; 2. Atlantis (feat. Kaiydo) - Bridgit Mendler - Atlantis (feat. Kaiydo); 3. Phone - LAYNE - The Black Hills; 4. Meteorite - From ""Bridget Jones's Baby"" Original Motion Picture Soundtrack - Years & Years - Meteorite; 5. Into You - Ariana Grande - Dangerous Woman; 6. Gold - Kiiara - Gold; 7. Crave - Tove Lo - Queen Of The Clouds; 8. Coastal - J Lisk - Coastal; 9. Drug Testing - Bobby Green - Drug Testing; 10. YOUTH - Troye Sivan - Blue Neighbourhood","A. Goldmine - Kilo Kish - Kitsuné Maison 15; B. O Death - Kate Mann - Rattlesnake On the Road; C. Sixteen - Rick Ross - God Forgives, I Don't; D. Always - J Lisk - Always; E. Home - J Lisk - Home; F. It's Racing - A Boy and His Kite - A Boy and His Kite; G. Instagram Models - J Lisk - Instagram Models; H. Where Is Your Love - J Lisk - Where Is Your Love; I. NYC - J Lisk - NYC; J. Welcome to the Family - A Day To Remember - Homesick",4,I,I,1,0.52,1.0
12698,152530,5,F,"[110278, 29096, 244435, 237881, 41013, 227720, 199181, 196390, 211644, 19467]","[219050, 166126, 36397, 29056, 133631, 152530, 18197, 153880, 173880, 181290]","1. Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix - Ty Dolla $ign - Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard); 2. Shameless - The Weeknd - Beauty Behind The Madness; 3. Outside - The Weeknd - Trilogy; 4. Crew Love - Drake - Take Care; 5. Live For - The Weeknd - Kiss Land; 6. Life Of The Party - The Weeknd - Trilogy; 7. Can't Feel My Face - The Weeknd - Beauty Behind The Madness; 8. In The Night - The Weeknd - Beauty Behind The Madness; 9. Kiss Land - The Weeknd - Kiss Land; 10. Secrets (feat. the Weeknd) - Jr. Hi - Virtual Lover - EP",A. Secrets - The Weeknd - Starboy; B. Stargirl Interlude - The Weeknd - Starboy; C. Lonely Star - The Weeknd - Trilogy; D. Ordinary Life - The Weeknd - Starboy; E. Often - Kygo Remix - The Weeknd - Often; F. Love In The Sky - The Weeknd - Kiss Land; G. Starboy - Kygo Remix - The Weeknd - Starboy; H. Wanderlust - Steve Pitron & Max Sanna Club Mix - The Weeknd - Wanderlust; I. Can't Feel My Face - Martin Garrix Remix - The Weeknd - Beauty Behind The Madness; J. True Colors - The Weeknd - Starboy,9,B,B,0,0.52,1.0
3728,89564,7,H,"[59438, 10725, 22589, 93681, 55989, 2695, 211472, 102086, 154371, 166220]","[32230, 167313, 9536, 122590, 252012, 192296, 68910, 89564, 56076, 205179]","1. Cabaret - Natasha Richardson - Cabaret (New Broadway Cast Recording); 2. Something's Coming - Matt Cavenaugh - West Side Story (New Broadway Cast Recording (2009)); 3. Don't Rain On My Parade - Barbra Streisand - Just For The Record...; 4. Beautiful - Jessie Mueller - Beautiful: The Carole King Musical (Original Broadway Cast Recording); 5. Goodbye - Aaron Tveit - Catch Me If You Can; 6. There Are Worse Things I Could Do - From ""Grease Live!"" Music From The Television Event - Vanessa Hudgens - Grease Live!; 7. A Musical - Brad Oscar - Something Rotten! (Original Broadway Cast Recording); 8. One Song Glory - Adam Pascal - RENT (Original Motion Picture Soundtrack); 9. Annie: I Don't Need Anything But You - Andrea McArdle - Annie (Original Broadway Cast Recording); 10. A Whole New World - Adam Jacobs - Aladdin Original Broadway Cast Recording","A. Lean On - Campsite Dream - Lean On; B. Dis moi josephine - Joséphine Baker - Collection disques Pathe; C. The Adams Administration - Original Broadway Cast of Hamilton - Hamilton; D. Quutamo - Apocalyptica - Apocalyptica; E. Stay Alive - Original Broadway Cast of Hamilton - Hamilton; F. The Reynolds Pamphlet - Original Broadway Cast of Hamilton - Hamilton; G. Cross Road Blues - Robert Johnson - King Of The Delta Blues Singers; H. Who Lives, Who Dies, Who Tells Your Story - Original Broadway Cast of Hamilton - Hamilton; I. Marlene - Kevin Coyne - Marjory Razorblade; J. Don't Come To LA - YG - Still Brazy",3,C,C,0,0.52,1.0
