dataset,sample_idx,bundle_id,input_count,input_items,input_categories,input_category_names,role_top_categories,role_top_category_names,role_top_scores,prior_top_categories,prior_top_category_names,prior_top_scores,prior_observed_support,category_overlap_count,category_jaccard,role_supported_candidate_items,prior_supported_candidate_items,candidate_item_overlap_count,candidate_item_jaccard,role_candidate_supported_count,prior_candidate_supported_count,rag_bundle_ids,rag_bundle_scores,cc_bundle_ids,cc_bundle_scores,bundle_overlap_count,bundle_jaccard,same_top1_bundle,retrieved_category_union_jaccard
pog,10,7226,1,[28969],"[""2b28f4772c30b8544c742f6a349a06b3""]","[""Women's Mules and Backless Slippers""]","[""3afab60a60abe737c6b12772e0fcec0a"", ""64fe11119537f0ea81cfb5e4d54b3c71"", ""2450d5bfc87a1f5b96e2837f5c87a70c""]","[""Women's Fashion Heeled Sandals"", ""Women's Sterling Silver Bracelets"", ""Women's Chiffon and Floral Dresses""]","[0.8564711809158325, 0.8461975455284119, 0.7599128484725952]","[""664162d351ab59ea042546db288bbf7c"", ""2450d5bfc87a1f5b96e2837f5c87a70c"", ""b608ccb44928992e75009892971acd46""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Chiffon and Floral Dresses"", ""Women's Fashion Berets and Bucket Hats""]","[0.592814371257485, 0.2874251497005988, 0.2874251497005988]",501,1,0.2,[36389],"[35408, 18129, 36389]",1,0.3333333333333333,1,3,"[5285, 9169, 5184]","[0.9255911111831665, 0.9255911111831665, 0.9239127039909363]","[7199, 1888, 3976]","[2.4251497005988023, 2.4251497005988023, 2.4251497005988023]",0,0.0,0,0.2857142857142857
pog,11,5280,2,"[28163, 40440]","[""126c091a8ff171f694733a624089e68a"", ""664162d351ab59ea042546db288bbf7c""]","[""Women's Casual Shoes and Sneakers"", ""Women's Fashion Shoulder and Crossbody Bags""]","[""3e600277f4bf92983bf6fcb0ac09e0d7"", ""a6cd655d1645f38869be793d5fb194cb"", ""b608ccb44928992e75009892971acd46""]","[""Women's High Waist Wide Leg Trousers"", ""Women's Cropped Denim Jeans"", ""Women's Fashion Berets and Bucket Hats""]","[0.8361626267433167, 0.7953155040740967, 0.7623966336250305]","[""2450d5bfc87a1f5b96e2837f5c87a70c"", ""95c3a26ab13f3ec5cd28a281e3685e7b"", ""b608ccb44928992e75009892971acd46""]","[""Women's Chiffon and Floral Dresses"", ""Fashion Drop and Stud Earrings"", ""Women's Fashion Berets and Bucket Hats""]","[0.2701057353412368, 0.21916052547260492, 0.21371355334828582]",3121,1,0.2,[],"[31930, 2857, 46788]",0,0.0,0,3,"[10706, 11338, 12875]","[1.0, 1.0, 1.0]","[3599, 11177, 4705]","[2.6981507292768505, 2.671991192470265, 2.671991192470265]",0,0.0,0,0.3333333333333333
pog,12,15019,2,"[46353, 16733]","[""126c091a8ff171f694733a624089e68a"", ""bc11aa63d5a69b1b0f90c34fd2c62102""]","[""Women's Casual Shoes and Sneakers"", ""Women's Long-Sleeved Blouses and Shirts""]","[""95c3a26ab13f3ec5cd28a281e3685e7b"", ""2450d5bfc87a1f5b96e2837f5c87a70c"", ""0ab410a4baf435f5b6496cb061c11dc1""]","[""Fashion Drop and Stud Earrings"", ""Women's Chiffon and Floral Dresses"", ""Sterling Silver Fashion Earrings""]","[0.7748591303825378, 0.6676880121231079, 0.5803062915802002]","[""664162d351ab59ea042546db288bbf7c"", ""a6cd655d1645f38869be793d5fb194cb"", ""3e600277f4bf92983bf6fcb0ac09e0d7""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Cropped Denim Jeans"", ""Women's High Waist Wide Leg Trousers""]","[0.49551569506726456, 0.28475336322869954, 0.2757847533632287]",446,0,0.0,[43305],"[10781, 10707]",0,0.0,1,2,"[564, 2410, 4576]","[0.9507092237472534, 0.9507092237472534, 0.9507092237472534]","[11782, 1993, 7528]","[3.0091912278108772, 3.0091912278108772, 3.0091912278108772]",0,0.0,0,0.3333333333333333
pog,13,19644,2,"[19021, 31642]","[""126c091a8ff171f694733a624089e68a"", ""46eacb79120159c0d446c08e1f671b0f""]","[""Women's Casual Shoes and Sneakers"", ""Women's Casual Short Sleeve T-Shirts""]","[""95c3a26ab13f3ec5cd28a281e3685e7b"", ""2450d5bfc87a1f5b96e2837f5c87a70c"", ""0ab410a4baf435f5b6496cb061c11dc1""]","[""Fashion Drop and Stud Earrings"", ""Women's Chiffon and Floral Dresses"", ""Sterling Silver Fashion Earrings""]","[0.8848739862442017, 0.8411582708358765, 0.7158979177474976]","[""664162d351ab59ea042546db288bbf7c"", ""a6cd655d1645f38869be793d5fb194cb"", ""3e600277f4bf92983bf6fcb0ac09e0d7""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Cropped Denim Jeans"", ""Women's High Waist Wide Leg Trousers""]","[0.41123595505617977, 0.36629213483146067, 0.23820224719101124]",445,0,0.0,[17714],"[28894, 47697, 9565, 21749, 12019]",0,0.0,1,5,"[2681, 12630, 6227]","[0.972196102142334, 0.972196102142334, 0.9663646221160889]","[10429, 19663, 15985]","[3.0459115600029074, 3.0459115600029074, 3.0459115600029074]",0,0.0,0,0.42857142857142855
pog,14,2032,2,"[44425, 14203]","[""126c091a8ff171f694733a624089e68a"", ""3e600277f4bf92983bf6fcb0ac09e0d7""]","[""Women's Casual Shoes and Sneakers"", ""Women's High Waist Wide Leg Trousers""]","[""664162d351ab59ea042546db288bbf7c"", ""a6cd655d1645f38869be793d5fb194cb"", ""b608ccb44928992e75009892971acd46""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Cropped Denim Jeans"", ""Women's Fashion Berets and Bucket Hats""]","[0.9238426089286804, 0.8431870341300964, 0.817426323890686]","[""664162d351ab59ea042546db288bbf7c"", ""b608ccb44928992e75009892971acd46"", ""bc11aa63d5a69b1b0f90c34fd2c62102""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Fashion Berets and Bucket Hats"", ""Women's Long-Sleeved Blouses and Shirts""]","[0.5183630640083945, 0.22350472193074503, 0.12906610703043023]",953,2,0.5,"[20323, 34005, 44948, 28623]","[20323, 44948]",2,0.5,4,2,"[8677, 519, 1131]","[1.0, 0.9908342361450195, 0.9908342361450195]","[10839, 12333, 17415]","[2.9115472388054924, 2.8964282918924127, 2.8964282918924127]",0,0.0,0,0.5
pog,15,19614,2,"[4272, 7403]","[""2450d5bfc87a1f5b96e2837f5c87a70c"", ""b5512b7b61119e0a76d1f6b3bd6d2b94""]","[""Women's Chiffon and Floral Dresses"", ""Women's Fleece-Lined Thermal Leggings""]","[""664162d351ab59ea042546db288bbf7c"", ""126c091a8ff171f694733a624089e68a"", ""3e600277f4bf92983bf6fcb0ac09e0d7""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Casual Shoes and Sneakers"", ""Women's High Waist Wide Leg Trousers""]","[0.8732781410217285, 0.7619999051094055, 0.6311220526695251]","[""664162d351ab59ea042546db288bbf7c"", ""852a581f78e4f4d7ecf9972a038e440c"", ""b608ccb44928992e75009892971acd46""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Heeled Ankle Boots"", ""Women's Fashion Berets and Bucket Hats""]","[0.5757575757575758, 0.36363636363636365, 0.36363636363636365]",33,1,0.2,"[11033, 39019]","[11033, 29379]",1,0.3333333333333333,2,2,"[12269, 13465, 18892]","[0.9746414422988892, 0.9746414422988892, 0.9652181267738342]","[18345, 4009, 3783]","[3.2604780251780836, 3.149248241566238, 3.149248241566238]",0,0.0,0,0.5
pog,16,118,2,"[24617, 47428]","[""126c091a8ff171f694733a624089e68a"", ""a6cd655d1645f38869be793d5fb194cb""]","[""Women's Casual Shoes and Sneakers"", ""Women's Cropped Denim Jeans""]","[""664162d351ab59ea042546db288bbf7c"", ""3e600277f4bf92983bf6fcb0ac09e0d7"", ""08734b0d499542a3a0ae060fb5597d09""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's High Waist Wide Leg Trousers"", ""Women's Short Casual Jackets""]","[0.8737205862998962, 0.8353253602981567, 0.8242336511611938]","[""664162d351ab59ea042546db288bbf7c"", ""b608ccb44928992e75009892971acd46"", ""c6ba1690407cbd175f036694488a914e""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Fashion Berets and Bucket Hats"", ""Women's Loose Hoodies and Sweatshirts""]","[0.49500384319754037, 0.19062259800153727, 0.15449654112221367]",1301,1,0.2,"[1328, 20341]","[38856, 1328, 10547, 20341]",2,0.5,2,4,"[431, 1620, 2940]","[0.9999998807907104, 0.9999998807907104, 0.9999998807907104]","[16669, 3599, 10429]","[2.9291680885497917, 2.8946384269517256, 2.8924214611583494]",0,0.0,0,0.2857142857142857
pog,17,6154,2,"[3810, 32749]","[""2450d5bfc87a1f5b96e2837f5c87a70c"", ""95c3a26ab13f3ec5cd28a281e3685e7b""]","[""Women's Chiffon and Floral Dresses"", ""Fashion Drop and Stud Earrings""]","[""0ab410a4baf435f5b6496cb061c11dc1"", ""3afab60a60abe737c6b12772e0fcec0a"", ""841c8877534da01768696cd2375bab70""]","[""Sterling Silver Fashion Earrings"", ""Women's Fashion Heeled Sandals"", ""Women's Sterling Silver Necklaces""]","[0.8394666910171509, 0.8070572018623352, 0.8040680885314941]","[""664162d351ab59ea042546db288bbf7c"", ""126c091a8ff171f694733a624089e68a"", ""3afab60a60abe737c6b12772e0fcec0a""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Casual Shoes and Sneakers"", ""Women's Fashion Heeled Sandals""]","[0.6848837209302325, 0.49883720930232556, 0.19069767441860466]",860,1,0.2,[26145],"[47425, 32411, 22634]",0,0.0,1,3,"[14775, 2498, 3281]","[1.0, 0.9854277968406677, 0.9800593852996826]","[1376, 13793, 1710]","[3.3270686935950233, 3.3270686935950233, 3.3270686935950233]",0,0.0,0,0.5
pog,18,9585,2,"[39521, 19043]","[""95c3a26ab13f3ec5cd28a281e3685e7b"", ""a6cd655d1645f38869be793d5fb194cb""]","[""Fashion Drop and Stud Earrings"", ""Women's Cropped Denim Jeans""]","[""126c091a8ff171f694733a624089e68a"", ""664162d351ab59ea042546db288bbf7c"", ""3e600277f4bf92983bf6fcb0ac09e0d7""]","[""Women's Casual Shoes and Sneakers"", ""Women's Fashion Shoulder and Crossbody Bags"", ""Women's High Waist Wide Leg Trousers""]","[0.8647404909133911, 0.7840725183486938, 0.5817971229553223]","[""664162d351ab59ea042546db288bbf7c"", ""126c091a8ff171f694733a624089e68a"", ""bc11aa63d5a69b1b0f90c34fd2c62102""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Casual Shoes and Sneakers"", ""Women's Long-Sleeved Blouses and Shirts""]","[0.5298013245033113, 0.4105960264900662, 0.17218543046357615]",302,2,0.5,"[22579, 1601, 11268]","[22579, 1601, 11268]",3,1.0,3,3,"[3782, 6414, 8567]","[0.9739797711372375, 0.9739797711372375, 0.9739797711372375]","[5421, 16669, 15893]","[3.2284735141794045, 3.203810086484312, 3.137936821198713]",0,0.0,0,0.42857142857142855
pog,19,16123,1,[44926],"[""58f1ddb77bfc5576db30fa20e53111fa""]","[""Classic Canvas High and Low Top Sneakers""]","[""72b059d86956ec93bbe2ae5a6622f4bd"", ""83fb64f0af37f88a42f311549fb261cb"", ""c6342df4744ae61888fa993d281972d7""]","[""Men's Short Sleeve T-Shirts"", ""Men's Slim Fit Denim Jeans"", ""Men's Long-Sleeved Casual and Formal Shirts""]","[0.8667690753936768, 0.856910228729248, 0.8350415229797363]","[""03bfc1d4783966c69cc6aef8247e0103"", ""72b059d86956ec93bbe2ae5a6622f4bd"", ""19125833f147d19800e3aa39ecfc76c2""]","[""Men's Casual Joggers and Harem Pants"", ""Men's Short Sleeve T-Shirts"", ""Men's and Women's Wristwatches""]","[0.4147727272727273, 0.3181818181818182, 0.21022727272727273]",176,1,0.2,[10378],[10378],1,1.0,1,1,"[1371, 6974, 12029]","[0.9454653263092041, 0.9446444511413574, 0.9414646029472351]","[3462, 4885, 14695]","[1.9431818181818183, 1.9431818181818183, 1.9431818181818183]",0,0.0,0,0.5
pog,20,3227,1,[1522],"[""126c091a8ff171f694733a624089e68a""]","[""Women's Casual Shoes and Sneakers""]","[""664162d351ab59ea042546db288bbf7c"", ""a6cd655d1645f38869be793d5fb194cb"", ""3e600277f4bf92983bf6fcb0ac09e0d7""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Cropped Denim Jeans"", ""Women's High Waist Wide Leg Trousers""]","[0.8892924785614014, 0.784608006477356, 0.7743432521820068]","[""664162d351ab59ea042546db288bbf7c"", ""a6cd655d1645f38869be793d5fb194cb"", ""b608ccb44928992e75009892971acd46""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Cropped Denim Jeans"", ""Women's Fashion Berets and Bucket Hats""]","[0.5885347916273808, 0.245332830473317, 0.2310013200075429]",5303,2,0.5,"[39760, 48231, 32643, 17692]","[39760, 48231, 32643, 17692]",4,1.0,4,4,"[1932, 9695, 1420]","[0.9758628010749817, 0.9758628010749817, 0.9738407135009766]","[3599, 16669, 5421]","[2.288515934376768, 2.2609843484819914, 2.2536300207429756]",0,0.0,0,0.25
pog,21,341,2,"[26743, 26119]","[""664162d351ab59ea042546db288bbf7c"", ""b608ccb44928992e75009892971acd46""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Fashion Berets and Bucket Hats""]","[""3e600277f4bf92983bf6fcb0ac09e0d7"", ""852a581f78e4f4d7ecf9972a038e440c"", ""b5512b7b61119e0a76d1f6b3bd6d2b94""]","[""Women's High Waist Wide Leg Trousers"", ""Women's Heeled Ankle Boots"", ""Women's Fleece-Lined Thermal Leggings""]","[0.8990583419799805, 0.8566758632659912, 0.8548409938812256]","[""126c091a8ff171f694733a624089e68a"", ""852a581f78e4f4d7ecf9972a038e440c"", ""2450d5bfc87a1f5b96e2837f5c87a70c""]","[""Women's Casual Shoes and Sneakers"", ""Women's Heeled Ankle Boots"", ""Women's Chiffon and Floral Dresses""]","[0.3811428571428571, 0.2742857142857143, 0.23657142857142857]",1750,1,0.2,"[10502, 38297]","[10502, 38297]",2,1.0,2,2,"[1122, 1643, 4842]","[1.0, 1.0, 0.9888690710067749]","[3599, 10839, 9835]","[2.832217957710652, 2.7852383679738666, 2.7772412349761857]",0,0.0,0,0.3333333333333333
pog,22,7171,1,[27051],"[""126c091a8ff171f694733a624089e68a""]","[""Women's Casual Shoes and Sneakers""]","[""664162d351ab59ea042546db288bbf7c"", ""a6cd655d1645f38869be793d5fb194cb"", ""3e600277f4bf92983bf6fcb0ac09e0d7""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Cropped Denim Jeans"", ""Women's High Waist Wide Leg Trousers""]","[0.8892924785614014, 0.784608006477356, 0.7743432521820068]","[""664162d351ab59ea042546db288bbf7c"", ""a6cd655d1645f38869be793d5fb194cb"", ""b608ccb44928992e75009892971acd46""]","[""Women's Fashion Shoulder and Crossbody Bags"", ""Women's Cropped Denim Jeans"", ""Women's Fashion Berets and Bucket Hats""]","[0.5885347916273808, 0.245332830473317, 0.2310013200075429]",5303,2,0.5,"[2970, 33751]",[],0,0.0,2,0,"[1932, 9695, 1420]","[0.9758628010749817, 0.9758628010749817, 0.9738407135009766]","[3599, 16669, 5421]","[2.288515934376768, 2.2609843484819914, 2.2536300207429756]",0,0.0,0,0.25
