dataset,itemset_size,category_itemset,support,support_ratio
pog,2,95c3a26ab13f3ec5cd28a281e3685e7b|a6cd655d1645f38869be793d5fb194cb,411,0.02055
pog,2,03bfc1d4783966c69cc6aef8247e0103|19125833f147d19800e3aa39ecfc76c2,410,0.0205
pog,2,022ab423f035b47ac0af5046c51ed093|a6cd655d1645f38869be793d5fb194cb,409,0.02045
pog,2,03bfc1d4783966c69cc6aef8247e0103|dab681fd76ae76e9421f7378ed0ed11d,396,0.0198
pog,2,664162d351ab59ea042546db288bbf7c|841c8877534da01768696cd2375bab70,389,0.01945
pog,2,95c3a26ab13f3ec5cd28a281e3685e7b|b608ccb44928992e75009892971acd46,388,0.0194
pog,2,2450d5bfc87a1f5b96e2837f5c87a70c|852a581f78e4f4d7ecf9972a038e440c,388,0.0194
pog,2,852a581f78e4f4d7ecf9972a038e440c|95c3a26ab13f3ec5cd28a281e3685e7b,387,0.01935
pog,2,b608ccb44928992e75009892971acd46|de802e3a05e11e88ddd894aa58e0f4d9,378,0.0189
pog,2,022ab423f035b47ac0af5046c51ed093|b608ccb44928992e75009892971acd46,378,0.0189
pog,2,6eb82f81b7105a1112fec1bb3c8dd62b|a6cd655d1645f38869be793d5fb194cb,373,0.01865
pog,2,08734b0d499542a3a0ae060fb5597d09|a6cd655d1645f38869be793d5fb194cb,371,0.01855
pog,2,03bfc1d4783966c69cc6aef8247e0103|856a563554cc6f5b2bac63e3e8ff10b5,371,0.01855
pog,2,664162d351ab59ea042546db288bbf7c|b5512b7b61119e0a76d1f6b3bd6d2b94,369,0.01845
pog,2,0ab410a4baf435f5b6496cb061c11dc1|2450d5bfc87a1f5b96e2837f5c87a70c,367,0.01835
pog,2,95c3a26ab13f3ec5cd28a281e3685e7b|fc528592c3858f90196fbfacc814f235,365,0.01825
pog,2,46eacb79120159c0d446c08e1f671b0f|b608ccb44928992e75009892971acd46,364,0.0182
pog,2,022ab423f035b47ac0af5046c51ed093|fc528592c3858f90196fbfacc814f235,362,0.0181
pog,2,6eb82f81b7105a1112fec1bb3c8dd62b|fc528592c3858f90196fbfacc814f235,355,0.01775
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|bc11aa63d5a69b1b0f90c34fd2c62102,352,0.0176
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|46eacb79120159c0d446c08e1f671b0f,340,0.017
pog,2,bc11aa63d5a69b1b0f90c34fd2c62102|fc528592c3858f90196fbfacc814f235,339,0.01695
pog,2,b608ccb44928992e75009892971acd46|c6ba1690407cbd175f036694488a914e,337,0.01685
pog,2,03bfc1d4783966c69cc6aef8247e0103|82462c11b65faedd60ec94210debc584,336,0.0168
pog,2,72b059d86956ec93bbe2ae5a6622f4bd|814ed433f7b89cef654140214dfdaab5,334,0.0167
pog,2,46eacb79120159c0d446c08e1f671b0f|fc528592c3858f90196fbfacc814f235,334,0.0167
pog,2,852a581f78e4f4d7ecf9972a038e440c|8585a77eaebc91282b433359863cb569,327,0.01635
pog,2,6eb82f81b7105a1112fec1bb3c8dd62b|852a581f78e4f4d7ecf9972a038e440c,324,0.0162
pog,2,022ab423f035b47ac0af5046c51ed093|3e600277f4bf92983bf6fcb0ac09e0d7,318,0.0159
pog,2,2450d5bfc87a1f5b96e2837f5c87a70c|841c8877534da01768696cd2375bab70,316,0.0158
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|95c3a26ab13f3ec5cd28a281e3685e7b,311,0.01555
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|8476c833956c74092868c24514562b0b,307,0.01535
pog,2,126c091a8ff171f694733a624089e68a|8585a77eaebc91282b433359863cb569,305,0.01525
pog,2,08734b0d499542a3a0ae060fb5597d09|b608ccb44928992e75009892971acd46,304,0.0152
pog,2,8476c833956c74092868c24514562b0b|a6cd655d1645f38869be793d5fb194cb,303,0.01515
pog,2,814ed433f7b89cef654140214dfdaab5|ecff24c1d93157b5c20fd73bb31faced,291,0.01455
pog,2,dab681fd76ae76e9421f7378ed0ed11d|ecff24c1d93157b5c20fd73bb31faced,285,0.01425
pog,2,19125833f147d19800e3aa39ecfc76c2|72b059d86956ec93bbe2ae5a6622f4bd,284,0.0142
pog,2,46eacb79120159c0d446c08e1f671b0f|de802e3a05e11e88ddd894aa58e0f4d9,275,0.01375
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|c6ba1690407cbd175f036694488a914e,275,0.01375
pog,2,126c091a8ff171f694733a624089e68a|841c8877534da01768696cd2375bab70,274,0.0137
pog,2,814ed433f7b89cef654140214dfdaab5|83fb64f0af37f88a42f311549fb261cb,273,0.01365
pog,2,8476c833956c74092868c24514562b0b|fc528592c3858f90196fbfacc814f235,273,0.01365
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|de802e3a05e11e88ddd894aa58e0f4d9,273,0.01365
pog,2,8585a77eaebc91282b433359863cb569|a6cd655d1645f38869be793d5fb194cb,272,0.0136
pog,2,08734b0d499542a3a0ae060fb5597d09|3e600277f4bf92983bf6fcb0ac09e0d7,271,0.01355
pog,2,19125833f147d19800e3aa39ecfc76c2|664162d351ab59ea042546db288bbf7c,271,0.01355
pog,2,6eb82f81b7105a1112fec1bb3c8dd62b|b608ccb44928992e75009892971acd46,266,0.0133
pog,2,3afab60a60abe737c6b12772e0fcec0a|b608ccb44928992e75009892971acd46,261,0.01305
pog,2,08734b0d499542a3a0ae060fb5597d09|852a581f78e4f4d7ecf9972a038e440c,260,0.013
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|6eb82f81b7105a1112fec1bb3c8dd62b,260,0.013
pog,2,72b059d86956ec93bbe2ae5a6622f4bd|83fb64f0af37f88a42f311549fb261cb,252,0.0126
pog,2,c6ba1690407cbd175f036694488a914e|de802e3a05e11e88ddd894aa58e0f4d9,247,0.01235
pog,2,03bfc1d4783966c69cc6aef8247e0103|c6342df4744ae61888fa993d281972d7,247,0.01235
pog,2,856a563554cc6f5b2bac63e3e8ff10b5|ecff24c1d93157b5c20fd73bb31faced,247,0.01235
pog,2,b608ccb44928992e75009892971acd46|bc11aa63d5a69b1b0f90c34fd2c62102,246,0.0123
pog,2,08734b0d499542a3a0ae060fb5597d09|fc528592c3858f90196fbfacc814f235,242,0.0121
pog,2,03bfc1d4783966c69cc6aef8247e0103|9e3e1aff5fca5f418e5e3679ff932c05,240,0.012
pog,2,852a581f78e4f4d7ecf9972a038e440c|b5512b7b61119e0a76d1f6b3bd6d2b94,237,0.01185
pog,2,8585a77eaebc91282b433359863cb569|b608ccb44928992e75009892971acd46,234,0.0117
pog,2,664162d351ab59ea042546db288bbf7c|fbf269b6cc339b080853c548156a1050,231,0.01155
pog,2,95c3a26ab13f3ec5cd28a281e3685e7b|bc11aa63d5a69b1b0f90c34fd2c62102,229,0.01145
pog,2,126c091a8ff171f694733a624089e68a|b5512b7b61119e0a76d1f6b3bd6d2b94,221,0.01105
pog,2,64fe11119537f0ea81cfb5e4d54b3c71|664162d351ab59ea042546db288bbf7c,216,0.0108
pog,2,46eacb79120159c0d446c08e1f671b0f|95c3a26ab13f3ec5cd28a281e3685e7b,204,0.0102
pog,2,126c091a8ff171f694733a624089e68a|fbf269b6cc339b080853c548156a1050,201,0.01005
pog,2,814ed433f7b89cef654140214dfdaab5|82462c11b65faedd60ec94210debc584,200,0.01
pog,2,2450d5bfc87a1f5b96e2837f5c87a70c|2b28f4772c30b8544c742f6a349a06b3,197,0.00985
pog,2,1199c4654170f33208d7932d7d2587a5|664162d351ab59ea042546db288bbf7c,196,0.0098
pog,2,19125833f147d19800e3aa39ecfc76c2|814ed433f7b89cef654140214dfdaab5,195,0.00975
pog,2,2b28f4772c30b8544c742f6a349a06b3|b608ccb44928992e75009892971acd46,191,0.00955
pog,2,2b28f4772c30b8544c742f6a349a06b3|95c3a26ab13f3ec5cd28a281e3685e7b,190,0.0095
pog,2,19125833f147d19800e3aa39ecfc76c2|2450d5bfc87a1f5b96e2837f5c87a70c,189,0.00945
pog,2,6eb82f81b7105a1112fec1bb3c8dd62b|95c3a26ab13f3ec5cd28a281e3685e7b,188,0.0094
pog,2,841c8877534da01768696cd2375bab70|95c3a26ab13f3ec5cd28a281e3685e7b,183,0.00915
pog,2,856a563554cc6f5b2bac63e3e8ff10b5|dab681fd76ae76e9421f7378ed0ed11d,182,0.0091
pog,2,83fb64f0af37f88a42f311549fb261cb|ecff24c1d93157b5c20fd73bb31faced,180,0.009
pog,2,de802e3a05e11e88ddd894aa58e0f4d9|fc528592c3858f90196fbfacc814f235,178,0.0089
pog,2,95c3a26ab13f3ec5cd28a281e3685e7b|de802e3a05e11e88ddd894aa58e0f4d9,178,0.0089
pog,2,126c091a8ff171f694733a624089e68a|19125833f147d19800e3aa39ecfc76c2,177,0.00885
pog,2,19125833f147d19800e3aa39ecfc76c2|83fb64f0af37f88a42f311549fb261cb,176,0.0088
pog,2,852a581f78e4f4d7ecf9972a038e440c|c6ba1690407cbd175f036694488a914e,175,0.00875
pog,2,c6ba1690407cbd175f036694488a914e|fc528592c3858f90196fbfacc814f235,173,0.00865
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|8585a77eaebc91282b433359863cb569,172,0.0086
pog,2,8476c833956c74092868c24514562b0b|95c3a26ab13f3ec5cd28a281e3685e7b,167,0.00835
pog,2,1199c4654170f33208d7932d7d2587a5|126c091a8ff171f694733a624089e68a,163,0.00815
pog,2,2450d5bfc87a1f5b96e2837f5c87a70c|64fe11119537f0ea81cfb5e4d54b3c71,158,0.0079
pog,2,814ed433f7b89cef654140214dfdaab5|dab681fd76ae76e9421f7378ed0ed11d,152,0.0076
pog,2,2450d5bfc87a1f5b96e2837f5c87a70c|de802e3a05e11e88ddd894aa58e0f4d9,151,0.00755
pog,2,022ab423f035b47ac0af5046c51ed093|8476c833956c74092868c24514562b0b,149,0.00745
pog,2,0ab410a4baf435f5b6496cb061c11dc1|a6cd655d1645f38869be793d5fb194cb,147,0.00735
pog,2,814ed433f7b89cef654140214dfdaab5|c6342df4744ae61888fa993d281972d7,145,0.00725
pog,2,82462c11b65faedd60ec94210debc584|83fb64f0af37f88a42f311549fb261cb,144,0.0072
pog,2,03bfc1d4783966c69cc6aef8247e0103|f38776a72637f9103f9229c5f2c92e41,142,0.0071
pog,2,2b28f4772c30b8544c742f6a349a06b3|3e600277f4bf92983bf6fcb0ac09e0d7,140,0.007
pog,2,3afab60a60abe737c6b12772e0fcec0a|46eacb79120159c0d446c08e1f671b0f,136,0.0068
pog,2,3afab60a60abe737c6b12772e0fcec0a|fc528592c3858f90196fbfacc814f235,136,0.0068
pog,2,82462c11b65faedd60ec94210debc584|ecff24c1d93157b5c20fd73bb31faced,135,0.00675
pog,2,b5512b7b61119e0a76d1f6b3bd6d2b94|b608ccb44928992e75009892971acd46,135,0.00675
pog,2,3afab60a60abe737c6b12772e0fcec0a|3e600277f4bf92983bf6fcb0ac09e0d7,134,0.0067
pog,2,44187dfef4ed2dd3669957cc9592514e|664162d351ab59ea042546db288bbf7c,134,0.0067
pog,2,126c091a8ff171f694733a624089e68a|64fe11119537f0ea81cfb5e4d54b3c71,134,0.0067
pog,2,72b059d86956ec93bbe2ae5a6622f4bd|82462c11b65faedd60ec94210debc584,133,0.00665
pog,2,08734b0d499542a3a0ae060fb5597d09|46eacb79120159c0d446c08e1f671b0f,133,0.00665
pog,2,022ab423f035b47ac0af5046c51ed093|95c3a26ab13f3ec5cd28a281e3685e7b,132,0.0066
pog,2,03bfc1d4783966c69cc6aef8247e0103|12ba81fb3ad68ad5b21e4cec7be42666,132,0.0066
pog,2,0ab410a4baf435f5b6496cb061c11dc1|3afab60a60abe737c6b12772e0fcec0a,130,0.0065
pog,2,08734b0d499542a3a0ae060fb5597d09|de802e3a05e11e88ddd894aa58e0f4d9,129,0.00645
pog,2,3afab60a60abe737c6b12772e0fcec0a|841c8877534da01768696cd2375bab70,128,0.0064
pog,2,bc11aa63d5a69b1b0f90c34fd2c62102|de802e3a05e11e88ddd894aa58e0f4d9,127,0.00635
pog,2,03bfc1d4783966c69cc6aef8247e0103|c7d17d4d3b51ccfb89c4c0f40ae87262,126,0.0063
pog,2,0ab410a4baf435f5b6496cb061c11dc1|fc528592c3858f90196fbfacc814f235,126,0.0063
pog,2,6eb82f81b7105a1112fec1bb3c8dd62b|8476c833956c74092868c24514562b0b,125,0.00625
pog,2,83fb64f0af37f88a42f311549fb261cb|856a563554cc6f5b2bac63e3e8ff10b5,123,0.00615
pog,2,95c3a26ab13f3ec5cd28a281e3685e7b|c6ba1690407cbd175f036694488a914e,123,0.00615
pog,2,a6cd655d1645f38869be793d5fb194cb|fbf269b6cc339b080853c548156a1050,120,0.006
pog,2,3afab60a60abe737c6b12772e0fcec0a|bc11aa63d5a69b1b0f90c34fd2c62102,120,0.006
pog,2,03bfc1d4783966c69cc6aef8247e0103|2deec110140f47a0a9b9fddf744f956e,120,0.006
pog,2,3afab60a60abe737c6b12772e0fcec0a|a6cd655d1645f38869be793d5fb194cb,120,0.006
pog,2,1199c4654170f33208d7932d7d2587a5|fc528592c3858f90196fbfacc814f235,120,0.006
pog,2,0ab410a4baf435f5b6496cb061c11dc1|3e600277f4bf92983bf6fcb0ac09e0d7,119,0.00595
pog,2,72b059d86956ec93bbe2ae5a6622f4bd|9e3e1aff5fca5f418e5e3679ff932c05,117,0.00585
pog,2,8476c833956c74092868c24514562b0b|b5512b7b61119e0a76d1f6b3bd6d2b94,115,0.00575
pog,2,83fb64f0af37f88a42f311549fb261cb|c6342df4744ae61888fa993d281972d7,113,0.00565
pog,2,0ab410a4baf435f5b6496cb061c11dc1|852a581f78e4f4d7ecf9972a038e440c,111,0.00555
pog,2,0ab410a4baf435f5b6496cb061c11dc1|b608ccb44928992e75009892971acd46,111,0.00555
pog,2,126c091a8ff171f694733a624089e68a|b6f318187d9a7cf416a2e84fc24349aa,111,0.00555
pog,2,2b28f4772c30b8544c742f6a349a06b3|a6cd655d1645f38869be793d5fb194cb,109,0.00545
pog,2,6eb82f81b7105a1112fec1bb3c8dd62b|de802e3a05e11e88ddd894aa58e0f4d9,108,0.0054
pog,2,64fe11119537f0ea81cfb5e4d54b3c71|95c3a26ab13f3ec5cd28a281e3685e7b,107,0.00535
pog,2,8585a77eaebc91282b433359863cb569|fc528592c3858f90196fbfacc814f235,106,0.0053
pog,2,852a581f78e4f4d7ecf9972a038e440c|fbf269b6cc339b080853c548156a1050,104,0.0052
pog,2,022ab423f035b47ac0af5046c51ed093|de802e3a05e11e88ddd894aa58e0f4d9,104,0.0052
pog,2,19125833f147d19800e3aa39ecfc76c2|95c3a26ab13f3ec5cd28a281e3685e7b,103,0.00515
pog,2,9e3e1aff5fca5f418e5e3679ff932c05|ecff24c1d93157b5c20fd73bb31faced,103,0.00515
pog,2,19125833f147d19800e3aa39ecfc76c2|c6342df4744ae61888fa993d281972d7,102,0.0051
pog,2,1199c4654170f33208d7932d7d2587a5|95c3a26ab13f3ec5cd28a281e3685e7b,102,0.0051
pog,2,03bfc1d4783966c69cc6aef8247e0103|58f1ddb77bfc5576db30fa20e53111fa,101,0.00505
pog,2,2b28f4772c30b8544c742f6a349a06b3|fc528592c3858f90196fbfacc814f235,101,0.00505
pog,2,08734b0d499542a3a0ae060fb5597d09|95c3a26ab13f3ec5cd28a281e3685e7b,100,0.005
pog,2,664162d351ab59ea042546db288bbf7c|b6f318187d9a7cf416a2e84fc24349aa,98,0.0049
pog,2,83fb64f0af37f88a42f311549fb261cb|9e3e1aff5fca5f418e5e3679ff932c05,97,0.00485
pog,2,46eacb79120159c0d446c08e1f671b0f|852a581f78e4f4d7ecf9972a038e440c,97,0.00485
pog,2,19125833f147d19800e3aa39ecfc76c2|ecff24c1d93157b5c20fd73bb31faced,97,0.00485
pog,2,1199c4654170f33208d7932d7d2587a5|a6cd655d1645f38869be793d5fb194cb,96,0.0048
pog,2,852a581f78e4f4d7ecf9972a038e440c|bc11aa63d5a69b1b0f90c34fd2c62102,93,0.00465
pog,2,83fb64f0af37f88a42f311549fb261cb|dab681fd76ae76e9421f7378ed0ed11d,92,0.0046
pog,2,0ab410a4baf435f5b6496cb061c11dc1|bc11aa63d5a69b1b0f90c34fd2c62102,92,0.0046
pog,2,1199c4654170f33208d7932d7d2587a5|3e600277f4bf92983bf6fcb0ac09e0d7,91,0.00455
pog,2,23ee17885f87575534b44d099507a747|664162d351ab59ea042546db288bbf7c,91,0.00455
pog,2,12ba81fb3ad68ad5b21e4cec7be42666|72b059d86956ec93bbe2ae5a6622f4bd,90,0.0045
pog,2,2450d5bfc87a1f5b96e2837f5c87a70c|8476c833956c74092868c24514562b0b,89,0.00445
pog,2,83fb64f0af37f88a42f311549fb261cb|f38776a72637f9103f9229c5f2c92e41,88,0.0044
pog,2,0ab410a4baf435f5b6496cb061c11dc1|46eacb79120159c0d446c08e1f671b0f,88,0.0044
pog,2,126c091a8ff171f694733a624089e68a|44187dfef4ed2dd3669957cc9592514e,86,0.0043
pog,2,58f1ddb77bfc5576db30fa20e53111fa|72b059d86956ec93bbe2ae5a6622f4bd,85,0.00425
pog,2,2450d5bfc87a1f5b96e2837f5c87a70c|44187dfef4ed2dd3669957cc9592514e,85,0.00425
pog,2,82462c11b65faedd60ec94210debc584|856a563554cc6f5b2bac63e3e8ff10b5,84,0.0042
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|841c8877534da01768696cd2375bab70,83,0.00415
pog,2,3afab60a60abe737c6b12772e0fcec0a|64fe11119537f0ea81cfb5e4d54b3c71,82,0.0041
pog,2,b608ccb44928992e75009892971acd46|fbf269b6cc339b080853c548156a1050,79,0.00395
pog,2,19125833f147d19800e3aa39ecfc76c2|82462c11b65faedd60ec94210debc584,79,0.00395
pog,2,19125833f147d19800e3aa39ecfc76c2|b608ccb44928992e75009892971acd46,79,0.00395
pog,2,12ba81fb3ad68ad5b21e4cec7be42666|19125833f147d19800e3aa39ecfc76c2,78,0.0039
pog,2,814ed433f7b89cef654140214dfdaab5|f38776a72637f9103f9229c5f2c92e41,78,0.0039
pog,2,841c8877534da01768696cd2375bab70|b608ccb44928992e75009892971acd46,76,0.0038
pog,2,841c8877534da01768696cd2375bab70|a6cd655d1645f38869be793d5fb194cb,75,0.00375
pog,2,022ab423f035b47ac0af5046c51ed093|b5512b7b61119e0a76d1f6b3bd6d2b94,75,0.00375
pog,2,72b059d86956ec93bbe2ae5a6622f4bd|856a563554cc6f5b2bac63e3e8ff10b5,74,0.0037
pog,2,72b059d86956ec93bbe2ae5a6622f4bd|c7d17d4d3b51ccfb89c4c0f40ae87262,74,0.0037
pog,2,1199c4654170f33208d7932d7d2587a5|3afab60a60abe737c6b12772e0fcec0a,72,0.0036
pog,2,03bfc1d4783966c69cc6aef8247e0103|9fa5c6beaf93259bc3dcd4ead2b3397f,71,0.00355
pog,2,19125833f147d19800e3aa39ecfc76c2|c7d17d4d3b51ccfb89c4c0f40ae87262,71,0.00355
pog,2,2b28f4772c30b8544c742f6a349a06b3|46eacb79120159c0d446c08e1f671b0f,70,0.0035
pog,2,2deec110140f47a0a9b9fddf744f956e|ecff24c1d93157b5c20fd73bb31faced,70,0.0035
pog,2,0ab410a4baf435f5b6496cb061c11dc1|841c8877534da01768696cd2375bab70,69,0.00345
pog,2,6eb82f81b7105a1112fec1bb3c8dd62b|b5512b7b61119e0a76d1f6b3bd6d2b94,68,0.0034
pog,2,8585a77eaebc91282b433359863cb569|b5512b7b61119e0a76d1f6b3bd6d2b94,67,0.00335
pog,2,664162d351ab59ea042546db288bbf7c|77c9c3bb3736bf7ba3a3d36b532f6962,67,0.00335
pog,2,12ba81fb3ad68ad5b21e4cec7be42666|83fb64f0af37f88a42f311549fb261cb,66,0.0033
pog,2,72b059d86956ec93bbe2ae5a6622f4bd|c6342df4744ae61888fa993d281972d7,66,0.0033
pog,2,19125833f147d19800e3aa39ecfc76c2|3afab60a60abe737c6b12772e0fcec0a,66,0.0033
pog,2,2b28f4772c30b8544c742f6a349a06b3|bc11aa63d5a69b1b0f90c34fd2c62102,66,0.0033
pog,2,82462c11b65faedd60ec94210debc584|9e3e1aff5fca5f418e5e3679ff932c05,66,0.0033
pog,2,664162d351ab59ea042546db288bbf7c|a68b85f0e84cbac87f49f5483e16fb6d,66,0.0033
pog,2,19125833f147d19800e3aa39ecfc76c2|9e3e1aff5fca5f418e5e3679ff932c05,64,0.0032
pog,2,19125833f147d19800e3aa39ecfc76c2|58f1ddb77bfc5576db30fa20e53111fa,62,0.0031
pog,2,46eacb79120159c0d446c08e1f671b0f|841c8877534da01768696cd2375bab70,62,0.0031
pog,2,2deec110140f47a0a9b9fddf744f956e|dab681fd76ae76e9421f7378ed0ed11d,62,0.0031
pog,2,1199c4654170f33208d7932d7d2587a5|b608ccb44928992e75009892971acd46,61,0.00305
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|fbf269b6cc339b080853c548156a1050,60,0.003
pog,2,2deec110140f47a0a9b9fddf744f956e|83fb64f0af37f88a42f311549fb261cb,59,0.00295
pog,2,841c8877534da01768696cd2375bab70|852a581f78e4f4d7ecf9972a038e440c,59,0.00295
pog,2,0ab410a4baf435f5b6496cb061c11dc1|6eb82f81b7105a1112fec1bb3c8dd62b,59,0.00295
pog,2,95c3a26ab13f3ec5cd28a281e3685e7b|fbf269b6cc339b080853c548156a1050,58,0.0029
pog,2,b5512b7b61119e0a76d1f6b3bd6d2b94|c6ba1690407cbd175f036694488a914e,58,0.0029
pog,2,0ab410a4baf435f5b6496cb061c11dc1|2b28f4772c30b8544c742f6a349a06b3,57,0.00285
pog,2,8585a77eaebc91282b433359863cb569|de802e3a05e11e88ddd894aa58e0f4d9,56,0.0028
pog,2,3e600277f4bf92983bf6fcb0ac09e0d7|b6f318187d9a7cf416a2e84fc24349aa,56,0.0028
pog,2,8585a77eaebc91282b433359863cb569|95c3a26ab13f3ec5cd28a281e3685e7b,55,0.00275
