dataset,category_set,set_size,support,support_ratio
pog,126c091a8ff171f694733a624089e68a|a6cd655d1645f38869be793d5fb194cb|bc11aa63d5a69b1b0f90c34fd2c62102,3,67,0.00335
pog,3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c,3,67,0.00335
pog,2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|b608ccb44928992e75009892971acd46,3,64,0.0032
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|fc528592c3858f90196fbfacc814f235,3,63,0.00315
pog,022ab423f035b47ac0af5046c51ed093|126c091a8ff171f694733a624089e68a|a6cd655d1645f38869be793d5fb194cb,3,62,0.0031
pog,2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|b608ccb44928992e75009892971acd46,4,61,0.00305
pog,03bfc1d4783966c69cc6aef8247e0103|814ed433f7b89cef654140214dfdaab5|dab681fd76ae76e9421f7378ed0ed11d|ecff24c1d93157b5c20fd73bb31faced,4,60,0.003
pog,2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b,3,57,0.00285
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|bc11aa63d5a69b1b0f90c34fd2c62102,4,52,0.0026
pog,46eacb79120159c0d446c08e1f671b0f|a6cd655d1645f38869be793d5fb194cb|de802e3a05e11e88ddd894aa58e0f4d9,3,51,0.00255
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|8476c833956c74092868c24514562b0b,3,50,0.0025
pog,03bfc1d4783966c69cc6aef8247e0103|856a563554cc6f5b2bac63e3e8ff10b5|ecff24c1d93157b5c20fd73bb31faced,3,50,0.0025
pog,03bfc1d4783966c69cc6aef8247e0103|856a563554cc6f5b2bac63e3e8ff10b5|dab681fd76ae76e9421f7378ed0ed11d,3,49,0.00245
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|bc11aa63d5a69b1b0f90c34fd2c62102,3,49,0.00245
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|46eacb79120159c0d446c08e1f671b0f,3,49,0.00245
pog,8476c833956c74092868c24514562b0b|852a581f78e4f4d7ecf9972a038e440c|a6cd655d1645f38869be793d5fb194cb,3,48,0.0024
pog,022ab423f035b47ac0af5046c51ed093|126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c,4,47,0.00235
pog,08734b0d499542a3a0ae060fb5597d09|126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb,4,47,0.00235
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|8585a77eaebc91282b433359863cb569|a6cd655d1645f38869be793d5fb194cb,4,47,0.00235
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|6eb82f81b7105a1112fec1bb3c8dd62b,3,46,0.0023
pog,126c091a8ff171f694733a624089e68a|bc11aa63d5a69b1b0f90c34fd2c62102|fc528592c3858f90196fbfacc814f235,3,45,0.00225
pog,664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|95c3a26ab13f3ec5cd28a281e3685e7b,3,45,0.00225
pog,126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b|b608ccb44928992e75009892971acd46,5,45,0.00225
pog,0ab410a4baf435f5b6496cb061c11dc1|126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c,3,45,0.00225
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb|bc11aa63d5a69b1b0f90c34fd2c62102,4,44,0.0022
pog,022ab423f035b47ac0af5046c51ed093|126c091a8ff171f694733a624089e68a|fc528592c3858f90196fbfacc814f235,3,43,0.00215
pog,03bfc1d4783966c69cc6aef8247e0103|19125833f147d19800e3aa39ecfc76c2|72b059d86956ec93bbe2ae5a6622f4bd|814ed433f7b89cef654140214dfdaab5,4,43,0.00215
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|c6ba1690407cbd175f036694488a914e,3,43,0.00215
pog,2450d5bfc87a1f5b96e2837f5c87a70c|852a581f78e4f4d7ecf9972a038e440c|b608ccb44928992e75009892971acd46,3,42,0.0021
pog,126c091a8ff171f694733a624089e68a|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46,3,42,0.0021
pog,126c091a8ff171f694733a624089e68a|8476c833956c74092868c24514562b0b|a6cd655d1645f38869be793d5fb194cb,3,42,0.0021
pog,852a581f78e4f4d7ecf9972a038e440c|8585a77eaebc91282b433359863cb569|a6cd655d1645f38869be793d5fb194cb,3,42,0.0021
pog,2450d5bfc87a1f5b96e2837f5c87a70c|3afab60a60abe737c6b12772e0fcec0a|95c3a26ab13f3ec5cd28a281e3685e7b,3,42,0.0021
pog,126c091a8ff171f694733a624089e68a|46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb,4,41,0.00205
pog,03bfc1d4783966c69cc6aef8247e0103|814ed433f7b89cef654140214dfdaab5|82462c11b65faedd60ec94210debc584,3,41,0.00205
pog,3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|8476c833956c74092868c24514562b0b|852a581f78e4f4d7ecf9972a038e440c,4,41,0.00205
pog,022ab423f035b47ac0af5046c51ed093|126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c,3,41,0.00205
pog,022ab423f035b47ac0af5046c51ed093|126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|fc528592c3858f90196fbfacc814f235,4,40,0.002
pog,664162d351ab59ea042546db288bbf7c|8476c833956c74092868c24514562b0b|852a581f78e4f4d7ecf9972a038e440c|a6cd655d1645f38869be793d5fb194cb,4,40,0.002
pog,022ab423f035b47ac0af5046c51ed093|664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|a6cd655d1645f38869be793d5fb194cb,4,40,0.002
pog,03bfc1d4783966c69cc6aef8247e0103|72b059d86956ec93bbe2ae5a6622f4bd|9e3e1aff5fca5f418e5e3679ff932c05,3,39,0.00195
pog,08734b0d499542a3a0ae060fb5597d09|126c091a8ff171f694733a624089e68a|a6cd655d1645f38869be793d5fb194cb,3,39,0.00195
pog,a6cd655d1645f38869be793d5fb194cb|c6ba1690407cbd175f036694488a914e|de802e3a05e11e88ddd894aa58e0f4d9,3,39,0.00195
pog,664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|fc528592c3858f90196fbfacc814f235,3,39,0.00195
pog,126c091a8ff171f694733a624089e68a|6eb82f81b7105a1112fec1bb3c8dd62b|fc528592c3858f90196fbfacc814f235,3,39,0.00195
pog,2450d5bfc87a1f5b96e2837f5c87a70c|3afab60a60abe737c6b12772e0fcec0a|664162d351ab59ea042546db288bbf7c|b608ccb44928992e75009892971acd46,4,39,0.00195
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|6eb82f81b7105a1112fec1bb3c8dd62b|a6cd655d1645f38869be793d5fb194cb,4,38,0.0019
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46,4,38,0.0019
pog,72b059d86956ec93bbe2ae5a6622f4bd|814ed433f7b89cef654140214dfdaab5|83fb64f0af37f88a42f311549fb261cb,3,38,0.0019
pog,0ab410a4baf435f5b6496cb061c11dc1|126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c,3,38,0.0019
pog,664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46,4,38,0.0019
pog,0ab410a4baf435f5b6496cb061c11dc1|2450d5bfc87a1f5b96e2837f5c87a70c|3afab60a60abe737c6b12772e0fcec0a|664162d351ab59ea042546db288bbf7c,4,37,0.00185
pog,03bfc1d4783966c69cc6aef8247e0103|814ed433f7b89cef654140214dfdaab5|dab681fd76ae76e9421f7378ed0ed11d,3,37,0.00185
pog,08734b0d499542a3a0ae060fb5597d09|126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7,3,37,0.00185
pog,126c091a8ff171f694733a624089e68a|8585a77eaebc91282b433359863cb569|a6cd655d1645f38869be793d5fb194cb,3,37,0.00185
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|bc11aa63d5a69b1b0f90c34fd2c62102|fc528592c3858f90196fbfacc814f235,4,37,0.00185
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|8476c833956c74092868c24514562b0b|a6cd655d1645f38869be793d5fb194cb,4,36,0.0018
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|8476c833956c74092868c24514562b0b,3,36,0.0018
pog,022ab423f035b47ac0af5046c51ed093|664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c,3,36,0.0018
pog,2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|95c3a26ab13f3ec5cd28a281e3685e7b,4,36,0.0018
pog,126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|841c8877534da01768696cd2375bab70,4,35,0.00175
pog,03bfc1d4783966c69cc6aef8247e0103|19125833f147d19800e3aa39ecfc76c2|72b059d86956ec93bbe2ae5a6622f4bd,3,34,0.0017
pog,664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|b5512b7b61119e0a76d1f6b3bd6d2b94,3,33,0.00165
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|8476c833956c74092868c24514562b0b,4,33,0.00165
pog,2450d5bfc87a1f5b96e2837f5c87a70c|3afab60a60abe737c6b12772e0fcec0a|b608ccb44928992e75009892971acd46,3,33,0.00165
pog,022ab423f035b47ac0af5046c51ed093|852a581f78e4f4d7ecf9972a038e440c|fc528592c3858f90196fbfacc814f235,3,33,0.00165
pog,664162d351ab59ea042546db288bbf7c|8476c833956c74092868c24514562b0b|852a581f78e4f4d7ecf9972a038e440c|fc528592c3858f90196fbfacc814f235,4,32,0.0016
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|b608ccb44928992e75009892971acd46,3,32,0.0016
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|6eb82f81b7105a1112fec1bb3c8dd62b,3,32,0.0016
pog,3e600277f4bf92983bf6fcb0ac09e0d7|8476c833956c74092868c24514562b0b|852a581f78e4f4d7ecf9972a038e440c,3,32,0.0016
pog,126c091a8ff171f694733a624089e68a|46eacb79120159c0d446c08e1f671b0f|fc528592c3858f90196fbfacc814f235,3,32,0.0016
pog,03bfc1d4783966c69cc6aef8247e0103|814ed433f7b89cef654140214dfdaab5|82462c11b65faedd60ec94210debc584|ecff24c1d93157b5c20fd73bb31faced,4,31,0.00155
pog,022ab423f035b47ac0af5046c51ed093|126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7,3,31,0.00155
pog,126c091a8ff171f694733a624089e68a|b608ccb44928992e75009892971acd46|fc528592c3858f90196fbfacc814f235,3,31,0.00155
pog,126c091a8ff171f694733a624089e68a|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46|c6ba1690407cbd175f036694488a914e,4,31,0.00155
pog,664162d351ab59ea042546db288bbf7c|6eb82f81b7105a1112fec1bb3c8dd62b|852a581f78e4f4d7ecf9972a038e440c,3,31,0.00155
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|6eb82f81b7105a1112fec1bb3c8dd62b|fc528592c3858f90196fbfacc814f235,4,31,0.00155
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|c6ba1690407cbd175f036694488a914e,3,30,0.0015
pog,126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|841c8877534da01768696cd2375bab70|95c3a26ab13f3ec5cd28a281e3685e7b,5,30,0.0015
pog,852a581f78e4f4d7ecf9972a038e440c|8585a77eaebc91282b433359863cb569|b608ccb44928992e75009892971acd46,3,30,0.0015
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|8585a77eaebc91282b433359863cb569,3,30,0.0015
pog,2450d5bfc87a1f5b96e2837f5c87a70c|2b28f4772c30b8544c742f6a349a06b3|664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b,4,29,0.00145
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|c6ba1690407cbd175f036694488a914e,4,29,0.00145
pog,126c091a8ff171f694733a624089e68a|8476c833956c74092868c24514562b0b|b608ccb44928992e75009892971acd46,3,28,0.0014
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|b608ccb44928992e75009892971acd46,4,28,0.0014
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|6eb82f81b7105a1112fec1bb3c8dd62b,4,28,0.0014
pog,03bfc1d4783966c69cc6aef8247e0103|82462c11b65faedd60ec94210debc584|856a563554cc6f5b2bac63e3e8ff10b5|ecff24c1d93157b5c20fd73bb31faced,4,28,0.0014
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c,4,28,0.0014
pog,022ab423f035b47ac0af5046c51ed093|852a581f78e4f4d7ecf9972a038e440c|a6cd655d1645f38869be793d5fb194cb,3,27,0.00135
pog,022ab423f035b47ac0af5046c51ed093|852a581f78e4f4d7ecf9972a038e440c|b608ccb44928992e75009892971acd46,3,27,0.00135
pog,126c091a8ff171f694733a624089e68a|c6ba1690407cbd175f036694488a914e|fc528592c3858f90196fbfacc814f235,3,27,0.00135
pog,03bfc1d4783966c69cc6aef8247e0103|9e3e1aff5fca5f418e5e3679ff932c05|ecff24c1d93157b5c20fd73bb31faced,3,27,0.00135
pog,08734b0d499542a3a0ae060fb5597d09|664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|a6cd655d1645f38869be793d5fb194cb,4,27,0.00135
pog,03bfc1d4783966c69cc6aef8247e0103|9e3e1aff5fca5f418e5e3679ff932c05|dab681fd76ae76e9421f7378ed0ed11d|ecff24c1d93157b5c20fd73bb31faced,4,27,0.00135
pog,126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|8585a77eaebc91282b433359863cb569,4,27,0.00135
pog,08734b0d499542a3a0ae060fb5597d09|126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c,4,27,0.00135
pog,3afab60a60abe737c6b12772e0fcec0a|664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b,3,26,0.0013
pog,03bfc1d4783966c69cc6aef8247e0103|72b059d86956ec93bbe2ae5a6622f4bd|814ed433f7b89cef654140214dfdaab5|82462c11b65faedd60ec94210debc584,4,26,0.0013
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46|c6ba1690407cbd175f036694488a914e,5,26,0.0013
pog,2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|de802e3a05e11e88ddd894aa58e0f4d9,3,25,0.00125
pog,03bfc1d4783966c69cc6aef8247e0103|814ed433f7b89cef654140214dfdaab5|c6342df4744ae61888fa993d281972d7,3,25,0.00125
pog,126c091a8ff171f694733a624089e68a|46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c,3,25,0.00125
pog,664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb|c6ba1690407cbd175f036694488a914e|de802e3a05e11e88ddd894aa58e0f4d9,4,25,0.00125
pog,03bfc1d4783966c69cc6aef8247e0103|12ba81fb3ad68ad5b21e4cec7be42666|72b059d86956ec93bbe2ae5a6622f4bd,3,25,0.00125
pog,664162d351ab59ea042546db288bbf7c|6eb82f81b7105a1112fec1bb3c8dd62b|852a581f78e4f4d7ecf9972a038e440c|fc528592c3858f90196fbfacc814f235,4,25,0.00125
pog,664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|8585a77eaebc91282b433359863cb569|a6cd655d1645f38869be793d5fb194cb,4,25,0.00125
pog,46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb,3,25,0.00125
pog,08734b0d499542a3a0ae060fb5597d09|126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46,5,25,0.00125
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|b5512b7b61119e0a76d1f6b3bd6d2b94,3,25,0.00125
pog,03bfc1d4783966c69cc6aef8247e0103|2deec110140f47a0a9b9fddf744f956e|dab681fd76ae76e9421f7378ed0ed11d|ecff24c1d93157b5c20fd73bb31faced,4,24,0.0012
pog,814ed433f7b89cef654140214dfdaab5|83fb64f0af37f88a42f311549fb261cb|ecff24c1d93157b5c20fd73bb31faced,3,24,0.0012
pog,46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb|de802e3a05e11e88ddd894aa58e0f4d9,4,24,0.0012
pog,3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|bc11aa63d5a69b1b0f90c34fd2c62102,3,24,0.0012
pog,022ab423f035b47ac0af5046c51ed093|664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|fc528592c3858f90196fbfacc814f235,4,24,0.0012
pog,3afab60a60abe737c6b12772e0fcec0a|664162d351ab59ea042546db288bbf7c|b608ccb44928992e75009892971acd46,3,24,0.0012
pog,2450d5bfc87a1f5b96e2837f5c87a70c|b608ccb44928992e75009892971acd46|de802e3a05e11e88ddd894aa58e0f4d9,3,24,0.0012
pog,126c091a8ff171f694733a624089e68a|b608ccb44928992e75009892971acd46|c6ba1690407cbd175f036694488a914e,3,24,0.0012
pog,664162d351ab59ea042546db288bbf7c|852a581f78e4f4d7ecf9972a038e440c|8585a77eaebc91282b433359863cb569|a6cd655d1645f38869be793d5fb194cb|b608ccb44928992e75009892971acd46,5,23,0.00115
pog,126c091a8ff171f694733a624089e68a|2450d5bfc87a1f5b96e2837f5c87a70c|64fe11119537f0ea81cfb5e4d54b3c71|664162d351ab59ea042546db288bbf7c,4,23,0.00115
pog,022ab423f035b47ac0af5046c51ed093|126c091a8ff171f694733a624089e68a|3e600277f4bf92983bf6fcb0ac09e0d7|664162d351ab59ea042546db288bbf7c|b608ccb44928992e75009892971acd46,5,23,0.00115
pog,022ab423f035b47ac0af5046c51ed093|664162d351ab59ea042546db288bbf7c|a6cd655d1645f38869be793d5fb194cb,3,23,0.00115
pog,126c091a8ff171f694733a624089e68a|8476c833956c74092868c24514562b0b|fc528592c3858f90196fbfacc814f235,3,23,0.00115
pog,2450d5bfc87a1f5b96e2837f5c87a70c|2b28f4772c30b8544c742f6a349a06b3|b608ccb44928992e75009892971acd46,3,23,0.00115
pog,664162d351ab59ea042546db288bbf7c|b608ccb44928992e75009892971acd46|de802e3a05e11e88ddd894aa58e0f4d9,3,23,0.00115
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b|b608ccb44928992e75009892971acd46,4,22,0.0011
pog,3e600277f4bf92983bf6fcb0ac09e0d7|c6ba1690407cbd175f036694488a914e|de802e3a05e11e88ddd894aa58e0f4d9,3,22,0.0011
pog,08734b0d499542a3a0ae060fb5597d09|126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|fc528592c3858f90196fbfacc814f235,4,22,0.0011
pog,126c091a8ff171f694733a624089e68a|46eacb79120159c0d446c08e1f671b0f|664162d351ab59ea042546db288bbf7c|fc528592c3858f90196fbfacc814f235,4,22,0.0011
pog,664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b|b608ccb44928992e75009892971acd46,3,22,0.0011
pog,3e600277f4bf92983bf6fcb0ac09e0d7|852a581f78e4f4d7ecf9972a038e440c|b608ccb44928992e75009892971acd46,3,22,0.0011
pog,08734b0d499542a3a0ae060fb5597d09|126c091a8ff171f694733a624089e68a|fc528592c3858f90196fbfacc814f235,3,22,0.0011
pog,2450d5bfc87a1f5b96e2837f5c87a70c|2b28f4772c30b8544c742f6a349a06b3|664162d351ab59ea042546db288bbf7c,3,22,0.0011
pog,126c091a8ff171f694733a624089e68a|19125833f147d19800e3aa39ecfc76c2|2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c,4,22,0.0011
pog,0ab410a4baf435f5b6496cb061c11dc1|2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c,3,22,0.0011
pog,664162d351ab59ea042546db288bbf7c|6eb82f81b7105a1112fec1bb3c8dd62b|a6cd655d1645f38869be793d5fb194cb,3,22,0.0011
pog,03bfc1d4783966c69cc6aef8247e0103|dab681fd76ae76e9421f7378ed0ed11d|ecff24c1d93157b5c20fd73bb31faced,3,22,0.0011
pog,022ab423f035b47ac0af5046c51ed093|3e600277f4bf92983bf6fcb0ac09e0d7|852a581f78e4f4d7ecf9972a038e440c,3,22,0.0011
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|8476c833956c74092868c24514562b0b|b608ccb44928992e75009892971acd46,4,21,0.00105
pog,126c091a8ff171f694733a624089e68a|19125833f147d19800e3aa39ecfc76c2|664162d351ab59ea042546db288bbf7c,3,21,0.00105
pog,08734b0d499542a3a0ae060fb5597d09|852a581f78e4f4d7ecf9972a038e440c|a6cd655d1645f38869be793d5fb194cb,3,21,0.00105
pog,2450d5bfc87a1f5b96e2837f5c87a70c|664162d351ab59ea042546db288bbf7c|95c3a26ab13f3ec5cd28a281e3685e7b|b608ccb44928992e75009892971acd46,4,21,0.00105
pog,03bfc1d4783966c69cc6aef8247e0103|58f1ddb77bfc5576db30fa20e53111fa|72b059d86956ec93bbe2ae5a6622f4bd,3,21,0.00105
pog,126c091a8ff171f694733a624089e68a|664162d351ab59ea042546db288bbf7c|bc11aa63d5a69b1b0f90c34fd2c62102,3,21,0.00105
