dataset,antecedent_size,antecedent,consequent,joint_count,antecedent_count,consequent_count,support,confidence,lift,pmi
pog,1,8476c833956c74092868c24514562b0b,664162d351ab59ea042546db288bbf7c,951,1714,10107,0.04755,0.5548424737456242,1.097937021362668,0.1347953024545995
pog,1,664162d351ab59ea042546db288bbf7c,8476c833956c74092868c24514562b0b,951,10107,1714,0.04755,0.09409320273078065,1.097937021362668,0.1347953024545995
pog,1,a6cd655d1645f38869be793d5fb194cb,b608ccb44928992e75009892971acd46,891,3991,4689,0.04455,0.22325231771485843,0.9522385059281656,-0.07060512616072079
pog,1,b608ccb44928992e75009892971acd46,a6cd655d1645f38869be793d5fb194cb,891,4689,3991,0.04455,0.19001919385796545,0.9522385059281656,-0.07060512616072079
pog,1,022ab423f035b47ac0af5046c51ed093,664162d351ab59ea042546db288bbf7c,815,1505,10107,0.04075,0.5415282392026578,1.071590460478199,0.09975364317791145
pog,1,664162d351ab59ea042546db288bbf7c,022ab423f035b47ac0af5046c51ed093,815,10107,1505,0.04075,0.08063718215098446,1.071590460478199,0.09975364317791145
pog,1,3afab60a60abe737c6b12772e0fcec0a,664162d351ab59ea042546db288bbf7c,798,1258,10107,0.0399,0.6343402225755167,1.2552492778777415,0.32797389504959246
pog,1,664162d351ab59ea042546db288bbf7c,3afab60a60abe737c6b12772e0fcec0a,798,10107,1258,0.0399,0.07895517957850995,1.2552492778777418,0.3279738950495927
pog,1,852a581f78e4f4d7ecf9972a038e440c,a6cd655d1645f38869be793d5fb194cb,788,3520,3991,0.0394,0.22386363636363638,1.1218423270540534,0.16586992196989445
pog,1,a6cd655d1645f38869be793d5fb194cb,852a581f78e4f4d7ecf9972a038e440c,788,3991,3520,0.0394,0.1974442495615134,1.1218423270540536,0.16586992196989475
pog,1,8476c833956c74092868c24514562b0b,852a581f78e4f4d7ecf9972a038e440c,752,1714,3520,0.0376,0.4387397899649942,2.4928397157101942,1.3177901235899274
pog,1,852a581f78e4f4d7ecf9972a038e440c,8476c833956c74092868c24514562b0b,752,3520,1714,0.0376,0.21363636363636362,2.4928397157101942,1.3177901235899274
pog,1,6eb82f81b7105a1112fec1bb3c8dd62b,664162d351ab59ea042546db288bbf7c,715,1421,10107,0.03575,0.5031667839549613,0.9956797941129144,-0.006246241870492707
pog,1,664162d351ab59ea042546db288bbf7c,6eb82f81b7105a1112fec1bb3c8dd62b,715,10107,1421,0.03575,0.07074304937172257,0.9956797941129144,-0.006246241870492707
pog,1,46eacb79120159c0d446c08e1f671b0f,664162d351ab59ea042546db288bbf7c,691,1613,10107,0.03455,0.4283942963422195,0.8477180099776779,-0.23834365706084812
pog,1,664162d351ab59ea042546db288bbf7c,46eacb79120159c0d446c08e1f671b0f,691,10107,1613,0.03455,0.0683684575046997,0.8477180099776777,-0.23834365706084848
pog,1,3e600277f4bf92983bf6fcb0ac09e0d7,b608ccb44928992e75009892971acd46,687,2926,4689,0.03435,0.23479152426520847,1.0014567040529259,0.002100050508242016
pog,1,b608ccb44928992e75009892971acd46,3e600277f4bf92983bf6fcb0ac09e0d7,687,4689,2926,0.03435,0.14651311580294304,1.0014567040529256,0.002100050508241696
pog,1,bc11aa63d5a69b1b0f90c34fd2c62102,126c091a8ff171f694733a624089e68a,674,1372,7537,0.0337,0.4912536443148688,1.303578729772771,0.3824777172215689
pog,1,de802e3a05e11e88ddd894aa58e0f4d9,664162d351ab59ea042546db288bbf7c,674,1383,10107,0.0337,0.48734634851771513,0.9643738963445437,-0.052335494262099644
pog,1,126c091a8ff171f694733a624089e68a,bc11aa63d5a69b1b0f90c34fd2c62102,674,7537,1372,0.0337,0.0894255008624121,1.3035787297727712,0.3824777172215692
pog,1,664162d351ab59ea042546db288bbf7c,de802e3a05e11e88ddd894aa58e0f4d9,674,10107,1383,0.0337,0.06668645493222519,0.9643738963445436,-0.05233549426209981
pog,1,bc11aa63d5a69b1b0f90c34fd2c62102,664162d351ab59ea042546db288bbf7c,652,1372,10107,0.0326,0.4752186588921283,0.940375302052297,-0.08869144623519884
pog,1,664162d351ab59ea042546db288bbf7c,bc11aa63d5a69b1b0f90c34fd2c62102,652,10107,1372,0.0326,0.06450974572078758,0.9403753020522971,-0.08869144623519867
pog,1,46eacb79120159c0d446c08e1f671b0f,126c091a8ff171f694733a624089e68a,648,1613,7537,0.0324,0.40173589584624925,1.0660366083222748,0.09225698194150507
pog,1,126c091a8ff171f694733a624089e68a,46eacb79120159c0d446c08e1f671b0f,648,7537,1613,0.0324,0.08597585246119145,1.0660366083222748,0.09225698194150507
pog,1,814ed433f7b89cef654140214dfdaab5,03bfc1d4783966c69cc6aef8247e0103,640,1011,1957,0.032,0.6330365974282888,6.4694593503146525,2.693645151906993
pog,1,03bfc1d4783966c69cc6aef8247e0103,814ed433f7b89cef654140214dfdaab5,640,1957,1011,0.032,0.3270311701584057,6.469459350314653,2.6936451519069933
pog,1,ecff24c1d93157b5c20fd73bb31faced,03bfc1d4783966c69cc6aef8247e0103,638,884,1957,0.0319,0.7217194570135747,7.3757737047887035,2.8827943932960833
pog,1,3afab60a60abe737c6b12772e0fcec0a,2450d5bfc87a1f5b96e2837f5c87a70c,638,1258,3599,0.0319,0.5071542130365659,2.818306268611092,1.494828399510302
pog,1,03bfc1d4783966c69cc6aef8247e0103,ecff24c1d93157b5c20fd73bb31faced,638,1957,884,0.0319,0.3260091977516607,7.3757737047887035,2.8827943932960833
pog,1,2450d5bfc87a1f5b96e2837f5c87a70c,3afab60a60abe737c6b12772e0fcec0a,638,3599,1258,0.0319,0.17727146429563767,2.818306268611092,1.494828399510302
pog,1,022ab423f035b47ac0af5046c51ed093,126c091a8ff171f694733a624089e68a,632,1505,7537,0.0316,0.41993355481727573,1.1143254738417825,0.1561706787425614
pog,1,126c091a8ff171f694733a624089e68a,022ab423f035b47ac0af5046c51ed093,632,7537,1505,0.0316,0.08385299190659413,1.1143254738417825,0.1561706787425614
pog,1,6eb82f81b7105a1112fec1bb3c8dd62b,126c091a8ff171f694733a624089e68a,631,1421,7537,0.03155,0.44405348346235046,1.1783295302171963,0.23674305795229156
pog,1,126c091a8ff171f694733a624089e68a,6eb82f81b7105a1112fec1bb3c8dd62b,631,7537,1421,0.03155,0.0837203131219318,1.1783295302171963,0.23674305795229156
pog,1,0ab410a4baf435f5b6496cb061c11dc1,664162d351ab59ea042546db288bbf7c,628,1057,10107,0.0314,0.5941343424787133,1.1756888146407705,0.23350625321547988
pog,1,664162d351ab59ea042546db288bbf7c,0ab410a4baf435f5b6496cb061c11dc1,628,10107,1057,0.0314,0.06213515385376472,1.1756888146407705,0.23350625321547988
pog,1,fc528592c3858f90196fbfacc814f235,b608ccb44928992e75009892971acd46,604,2565,4689,0.0302,0.2354775828460039,1.004382950931985,0.006309444659291286
pog,1,b608ccb44928992e75009892971acd46,fc528592c3858f90196fbfacc814f235,604,4689,2565,0.0302,0.1288121134570271,1.004382950931985,0.006309444659291286
pog,1,c6ba1690407cbd175f036694488a914e,126c091a8ff171f694733a624089e68a,599,1256,7537,0.02995,0.4769108280254777,1.2655189810945406,0.3397291461096814
pog,1,126c091a8ff171f694733a624089e68a,c6ba1690407cbd175f036694488a914e,599,7537,1256,0.02995,0.07947459201273717,1.265518981094541,0.3397291461096819
pog,1,fc528592c3858f90196fbfacc814f235,852a581f78e4f4d7ecf9972a038e440c,598,2565,3520,0.0299,0.2331384015594542,1.3246500088605353,0.4056112297284786
pog,1,852a581f78e4f4d7ecf9972a038e440c,fc528592c3858f90196fbfacc814f235,598,3520,2565,0.0299,0.16988636363636364,1.324650008860535,0.40561122972847835
pog,1,72b059d86956ec93bbe2ae5a6622f4bd,03bfc1d4783966c69cc6aef8247e0103,597,947,1957,0.02985,0.6304118268215417,6.442634918973344,2.6876508447190655
pog,1,03bfc1d4783966c69cc6aef8247e0103,72b059d86956ec93bbe2ae5a6622f4bd,597,1957,947,0.02985,0.30505876341338783,6.442634918973344,2.6876508447190655
pog,1,46eacb79120159c0d446c08e1f671b0f,a6cd655d1645f38869be793d5fb194cb,594,1613,3991,0.0297,0.36825790452572843,1.8454417666035,0.8839662136833007
pog,1,a6cd655d1645f38869be793d5fb194cb,46eacb79120159c0d446c08e1f671b0f,594,3991,1613,0.0297,0.14883487847657229,1.8454417666035001,0.883966213683301
pog,1,8476c833956c74092868c24514562b0b,126c091a8ff171f694733a624089e68a,578,1714,7537,0.0289,0.3372228704784131,0.8948464123083802,-0.16028800939929796
pog,1,126c091a8ff171f694733a624089e68a,8476c833956c74092868c24514562b0b,578,7537,1714,0.0289,0.07668833753482818,0.8948464123083801,-0.16028800939929813
pog,1,c6ba1690407cbd175f036694488a914e,664162d351ab59ea042546db288bbf7c,568,1256,10107,0.0284,0.45222929936305734,0.8948833469141335,-0.16022846368040894
pog,1,664162d351ab59ea042546db288bbf7c,c6ba1690407cbd175f036694488a914e,568,10107,1256,0.0284,0.05619867418620758,0.8948833469141335,-0.16022846368040894
pog,1,08734b0d499542a3a0ae060fb5597d09,664162d351ab59ea042546db288bbf7c,542,1153,10107,0.0271,0.47007805724197743,0.93020294299392,-0.10438259059136432
pog,1,664162d351ab59ea042546db288bbf7c,08734b0d499542a3a0ae060fb5597d09,542,10107,1153,0.0271,0.05362619966359949,0.93020294299392,-0.10438259059136432
pog,1,3e600277f4bf92983bf6fcb0ac09e0d7,852a581f78e4f4d7ecf9972a038e440c,541,2926,3520,0.02705,0.18489405331510594,1.0505343938358294,0.07112339571311835
pog,1,852a581f78e4f4d7ecf9972a038e440c,3e600277f4bf92983bf6fcb0ac09e0d7,541,3520,2926,0.02705,0.1536931818181818,1.0505343938358291,0.07112339571311804
pog,1,de802e3a05e11e88ddd894aa58e0f4d9,a6cd655d1645f38869be793d5fb194cb,539,1383,3991,0.02695,0.3897324656543745,1.9530567058600576,0.9657338376401889
pog,1,a6cd655d1645f38869be793d5fb194cb,de802e3a05e11e88ddd894aa58e0f4d9,539,3991,1383,0.02695,0.135053871210223,1.9530567058600576,0.9657338376401889
pog,1,c6ba1690407cbd175f036694488a914e,a6cd655d1645f38869be793d5fb194cb,519,1256,3991,0.02595,0.41321656050955413,2.070741971984736,1.0501477955044316
pog,1,a6cd655d1645f38869be793d5fb194cb,c6ba1690407cbd175f036694488a914e,519,3991,1256,0.02595,0.13004259584064146,2.0707419719847366,1.0501477955044318
pog,1,08734b0d499542a3a0ae060fb5597d09,126c091a8ff171f694733a624089e68a,501,1153,7537,0.02505,0.43451864700780574,1.1530281199623345,0.20542769775595954
pog,1,126c091a8ff171f694733a624089e68a,08734b0d499542a3a0ae060fb5597d09,501,7537,1153,0.02505,0.06647207111582858,1.1530281199623345,0.20542769775595954
pog,1,0ab410a4baf435f5b6496cb061c11dc1,126c091a8ff171f694733a624089e68a,478,1057,7537,0.0239,0.4522232734153264,1.200008686255344,0.26304484881058854
pog,1,126c091a8ff171f694733a624089e68a,0ab410a4baf435f5b6496cb061c11dc1,478,7537,1057,0.0239,0.06342045906859493,1.200008686255344,0.26304484881058854
pog,1,8476c833956c74092868c24514562b0b,b608ccb44928992e75009892971acd46,473,1714,4689,0.02365,0.2759626604434072,1.1770640240708348,0.23519279505552404
pog,1,b608ccb44928992e75009892971acd46,8476c833956c74092868c24514562b0b,473,4689,1714,0.02365,0.10087438686287055,1.177064024070835,0.23519279505552432
pog,1,022ab423f035b47ac0af5046c51ed093,852a581f78e4f4d7ecf9972a038e440c,457,1505,3520,0.02285,0.3036544850498339,1.7253095741467837,0.7868552494357952
pog,1,852a581f78e4f4d7ecf9972a038e440c,022ab423f035b47ac0af5046c51ed093,457,3520,1505,0.02285,0.12982954545454545,1.7253095741467834,0.7868552494357951
pog,1,bc11aa63d5a69b1b0f90c34fd2c62102,a6cd655d1645f38869be793d5fb194cb,422,1372,3991,0.0211,0.3075801749271137,1.541368954783832,0.6242122385725506
pog,1,a6cd655d1645f38869be793d5fb194cb,bc11aa63d5a69b1b0f90c34fd2c62102,422,3991,1372,0.0211,0.10573791029817088,1.5413689547838323,0.6242122385725508
pog,1,8585a77eaebc91282b433359863cb569,664162d351ab59ea042546db288bbf7c,415,805,10107,0.02075,0.515527950310559,1.02014039835868,0.028767718938843573
pog,1,664162d351ab59ea042546db288bbf7c,8585a77eaebc91282b433359863cb569,415,10107,805,0.02075,0.04106065103393688,1.02014039835868,0.028767718938843573
pog,1,2b28f4772c30b8544c742f6a349a06b3,664162d351ab59ea042546db288bbf7c,414,724,10107,0.0207,0.5718232044198895,1.1315389421586812,0.17828623612265587
pog,1,664162d351ab59ea042546db288bbf7c,2b28f4772c30b8544c742f6a349a06b3,414,10107,724,0.0207,0.04096170970614425,1.131538942158681,0.1782862361226556
pog,1,3afab60a60abe737c6b12772e0fcec0a,95c3a26ab13f3ec5cd28a281e3685e7b,413,1258,3217,0.02065,0.32829888712241656,2.0410250986783747,1.0292939234368672
pog,1,95c3a26ab13f3ec5cd28a281e3685e7b,3afab60a60abe737c6b12772e0fcec0a,413,3217,1258,0.02065,0.12838047870686975,2.0410250986783747,1.0292939234368672
pog,1,95c3a26ab13f3ec5cd28a281e3685e7b,a6cd655d1645f38869be793d5fb194cb,411,3217,3991,0.02055,0.12775878147342246,0.6402344348455147,-0.6433278209328777
pog,1,a6cd655d1645f38869be793d5fb194cb,95c3a26ab13f3ec5cd28a281e3685e7b,411,3991,3217,0.02055,0.10298170884490103,0.6402344348455147,-0.6433278209328777
pog,1,19125833f147d19800e3aa39ecfc76c2,03bfc1d4783966c69cc6aef8247e0103,410,1150,1957,0.0205,0.3565217391304348,3.6435537979604984,1.865346292596354
pog,1,03bfc1d4783966c69cc6aef8247e0103,19125833f147d19800e3aa39ecfc76c2,410,1957,1150,0.0205,0.20950434338272866,3.6435537979604984,1.865346292596354
pog,1,022ab423f035b47ac0af5046c51ed093,a6cd655d1645f38869be793d5fb194cb,409,1505,3991,0.02045,0.2717607973421927,1.3618681901387757,0.44558707733286224
pog,1,a6cd655d1645f38869be793d5fb194cb,022ab423f035b47ac0af5046c51ed093,409,3991,1505,0.02045,0.10248058130794287,1.3618681901387757,0.44558707733286224
pog,1,dab681fd76ae76e9421f7378ed0ed11d,03bfc1d4783966c69cc6aef8247e0103,396,517,1957,0.0198,0.7659574468085106,7.827873753791626,2.9686204886873204
pog,1,03bfc1d4783966c69cc6aef8247e0103,dab681fd76ae76e9421f7378ed0ed11d,396,1957,517,0.0198,0.20235053653551355,7.827873753791626,2.9686204886873204
pog,1,841c8877534da01768696cd2375bab70,664162d351ab59ea042546db288bbf7c,389,739,10107,0.01945,0.5263870094722598,1.0416285929994258,0.058840956546576874
pog,1,664162d351ab59ea042546db288bbf7c,841c8877534da01768696cd2375bab70,389,10107,739,0.01945,0.038488176511328784,1.041628592999426,0.058840956546577186
pog,1,95c3a26ab13f3ec5cd28a281e3685e7b,b608ccb44928992e75009892971acd46,388,3217,4689,0.0194,0.12060926328877837,0.5144349041961116,-0.958939562636982
pog,1,852a581f78e4f4d7ecf9972a038e440c,2450d5bfc87a1f5b96e2837f5c87a70c,388,3520,3599,0.0194,0.11022727272727273,0.6125438884538634,-0.7071148787128101
pog,1,2450d5bfc87a1f5b96e2837f5c87a70c,852a581f78e4f4d7ecf9972a038e440c,388,3599,3520,0.0194,0.10780772436787997,0.6125438884538635,-0.7071148787128099
pog,1,b608ccb44928992e75009892971acd46,95c3a26ab13f3ec5cd28a281e3685e7b,388,4689,3217,0.0194,0.08274685433994455,0.5144349041961116,-0.958939562636982
pog,1,95c3a26ab13f3ec5cd28a281e3685e7b,852a581f78e4f4d7ecf9972a038e440c,387,3217,3520,0.01935,0.12029841467205471,0.6835137197275836,-0.5489577984835384
pog,1,852a581f78e4f4d7ecf9972a038e440c,95c3a26ab13f3ec5cd28a281e3685e7b,387,3520,3217,0.01935,0.10994318181818181,0.6835137197275836,-0.5489577984835384
pog,1,de802e3a05e11e88ddd894aa58e0f4d9,b608ccb44928992e75009892971acd46,378,1383,4689,0.0189,0.27331887201735355,1.1657874686174177,0.22130479889920726
pog,1,022ab423f035b47ac0af5046c51ed093,b608ccb44928992e75009892971acd46,378,1505,4689,0.0189,0.25116279069767444,1.0712850957461055,0.09934246840263719
pog,1,b608ccb44928992e75009892971acd46,de802e3a05e11e88ddd894aa58e0f4d9,378,4689,1383,0.0189,0.08061420345489444,1.1657874686174177,0.22130479889920726
pog,1,b608ccb44928992e75009892971acd46,022ab423f035b47ac0af5046c51ed093,378,4689,1505,0.0189,0.08061420345489444,1.0712850957461055,0.09934246840263719
pog,1,6eb82f81b7105a1112fec1bb3c8dd62b,a6cd655d1645f38869be793d5fb194cb,373,1421,3991,0.01865,0.2624912033779029,1.3154157022195083,0.3955187970506353
pog,1,a6cd655d1645f38869be793d5fb194cb,6eb82f81b7105a1112fec1bb3c8dd62b,373,3991,1421,0.01865,0.09346028564269607,1.3154157022195083,0.3955187970506353
pog,1,856a563554cc6f5b2bac63e3e8ff10b5,03bfc1d4783966c69cc6aef8247e0103,371,517,1957,0.01855,0.7176015473887815,7.333689804688619,2.8745392452285143
pog,1,08734b0d499542a3a0ae060fb5597d09,a6cd655d1645f38869be793d5fb194cb,371,1153,3991,0.01855,0.3217692974848222,1.6124745551732507,0.6892763950072092
pog,1,03bfc1d4783966c69cc6aef8247e0103,856a563554cc6f5b2bac63e3e8ff10b5,371,1957,517,0.01855,0.18957588145120083,7.333689804688619,2.8745392452285143
pog,1,a6cd655d1645f38869be793d5fb194cb,08734b0d499542a3a0ae060fb5597d09,371,3991,1153,0.01855,0.0929591581057379,1.6124745551732507,0.6892763950072092
pog,1,b5512b7b61119e0a76d1f6b3bd6d2b94,664162d351ab59ea042546db288bbf7c,369,628,10107,0.01845,0.5875796178343949,1.1627181514482932,0.21750142287530502
pog,1,664162d351ab59ea042546db288bbf7c,b5512b7b61119e0a76d1f6b3bd6d2b94,369,10107,628,0.01845,0.0365093499554764,1.1627181514482932,0.21750142287530502
pog,1,0ab410a4baf435f5b6496cb061c11dc1,2450d5bfc87a1f5b96e2837f5c87a70c,367,1057,3599,0.01835,0.34720908230842007,1.929475311522201,0.9482085840852517
pog,1,2450d5bfc87a1f5b96e2837f5c87a70c,0ab410a4baf435f5b6496cb061c11dc1,367,3599,1057,0.01835,0.10197277021394832,1.929475311522201,0.9482085840852517
pog,1,fc528592c3858f90196fbfacc814f235,95c3a26ab13f3ec5cd28a281e3685e7b,365,2565,3217,0.01825,0.14230019493177387,0.8846763750809691,-0.17677829783032595
pog,1,95c3a26ab13f3ec5cd28a281e3685e7b,fc528592c3858f90196fbfacc814f235,365,3217,2565,0.01825,0.11345974510413429,0.8846763750809691,-0.17677829783032595
pog,1,46eacb79120159c0d446c08e1f671b0f,b608ccb44928992e75009892971acd46,364,1613,4689,0.0182,0.22566646001239926,0.9625355513431404,-0.055088267128317533
pog,1,b608ccb44928992e75009892971acd46,46eacb79120159c0d446c08e1f671b0f,364,4689,1613,0.0182,0.07762849221582427,0.9625355513431404,-0.055088267128317533
pog,1,022ab423f035b47ac0af5046c51ed093,fc528592c3858f90196fbfacc814f235,362,1505,2565,0.0181,0.24053156146179402,1.875489757986698,0.907267384491174
pog,1,fc528592c3858f90196fbfacc814f235,022ab423f035b47ac0af5046c51ed093,362,2565,1505,0.0181,0.14113060428849902,1.875489757986698,0.907267384491174
pog,1,6eb82f81b7105a1112fec1bb3c8dd62b,fc528592c3858f90196fbfacc814f235,355,1421,2565,0.01775,0.2498240675580577,1.947945945871795,0.9619536442042971
pog,1,fc528592c3858f90196fbfacc814f235,6eb82f81b7105a1112fec1bb3c8dd62b,355,2565,1421,0.01775,0.13840155945419103,1.9479459458717947,0.9619536442042969
pog,1,bc11aa63d5a69b1b0f90c34fd2c62102,3e600277f4bf92983bf6fcb0ac09e0d7,352,1372,2926,0.0176,0.2565597667638484,1.7536552752142747,0.8103651778754474
pog,1,3e600277f4bf92983bf6fcb0ac09e0d7,bc11aa63d5a69b1b0f90c34fd2c62102,352,2926,1372,0.0176,0.12030075187969924,1.753655275214275,0.8103651778754476
pog,1,46eacb79120159c0d446c08e1f671b0f,3e600277f4bf92983bf6fcb0ac09e0d7,340,1613,2926,0.017,0.21078735275883448,1.44078846725109,0.5268585383930217
pog,1,3e600277f4bf92983bf6fcb0ac09e0d7,46eacb79120159c0d446c08e1f671b0f,340,2926,1613,0.017,0.11619958988380041,1.44078846725109,0.5268585383930217
pog,1,bc11aa63d5a69b1b0f90c34fd2c62102,fc528592c3858f90196fbfacc814f235,339,1372,2565,0.01695,0.24708454810495628,1.9265851704090158,0.9460459660185646
pog,1,fc528592c3858f90196fbfacc814f235,bc11aa63d5a69b1b0f90c34fd2c62102,339,2565,1372,0.01695,0.13216374269005848,1.926585170409016,0.9460459660185647
pog,1,c6ba1690407cbd175f036694488a914e,b608ccb44928992e75009892971acd46,337,1256,4689,0.01685,0.26831210191082805,1.1444320832195694,0.1946318481188603
pog,1,b608ccb44928992e75009892971acd46,c6ba1690407cbd175f036694488a914e,337,4689,1256,0.01685,0.07187033482618896,1.1444320832195696,0.19463184811886058
pog,1,82462c11b65faedd60ec94210debc584,03bfc1d4783966c69cc6aef8247e0103,336,524,1957,0.0168,0.6412213740458015,6.553105508899351,2.7121787601639555
pog,1,03bfc1d4783966c69cc6aef8247e0103,82462c11b65faedd60ec94210debc584,336,1957,524,0.0168,0.171691364333163,6.5531055088993515,2.7121787601639555
pog,1,72b059d86956ec93bbe2ae5a6622f4bd,814ed433f7b89cef654140214dfdaab5,334,947,1011,0.0167,0.3526927138331573,6.977106109459097,2.802628774652102
pog,1,814ed433f7b89cef654140214dfdaab5,72b059d86956ec93bbe2ae5a6622f4bd,334,1011,947,0.0167,0.3303659742828882,6.977106109459096,2.802628774652102
