dataset,bundle_id,sample_idx,gt_category,gt_cosine,gt_rank,gt_representative_items
pog_dense,49,10,126c091a8ff171f694733a624089e68a,-0.09522735179907792,29,"[""AJOY SAHU单鞋女温柔平底女鞋2019新款春夏方头浅口舒适真皮女鞋"", ""Belle/百丽单鞋春夏专柜同款羊皮低跟休闲乐福鞋女鞋R6B1DCM7"", ""五角星小脏鞋女2018春新款 百搭韩版做旧星星鞋 小白鞋内增高平底""]"
pog_dense,65,11,022ab423f035b47ac0af5046c51ed093,-0.36178072612089357,38,"[""roselingling 随性慵懒高领厚实灯笼落肩袖线条感保暖针织衫毛衣"", ""2018新款雪尼尔丝绒连帽大毛衣女韩版宽松学生上衣套头带帽衫秋冬"", ""MONA 新款针织连衣裙女中长款过膝毛衣修身加厚套头打底衫""]"
pog_dense,65,11,126c091a8ff171f694733a624089e68a,0.19584472214698523,30,"[""AJOY SAHU单鞋女温柔平底女鞋2019新款春夏方头浅口舒适真皮女鞋"", ""Belle/百丽单鞋春夏专柜同款羊皮低跟休闲乐福鞋女鞋R6B1DCM7"", ""五角星小脏鞋女2018春新款 百搭韩版做旧星星鞋 小白鞋内增高平底""]"
pog_dense,66,12,664162d351ab59ea042546db288bbf7c,0.963977823077631,11,"[""丹尼熊胸包女2019新款潮包包女简约斜挎包百搭时尚少女单肩运动包"", ""小ck2019春夏福袋金狐狸新款时尚女包手提斜挎包简约单肩包大包潮"", ""2019新款夏季泰国手工编织女包草编包沙滩包度假手提式藤编水桶包""]"
pog_dense,66,12,841c8877534da01768696cd2375bab70,0.9693640078760729,9,"[""AGATHA 925银字母V字项链女密镶闪石时尚优雅气质饰品锁骨链女"", ""日韩气质黑色项链女四叶草双吊坠锁骨链脖子颈带颈链项圈choker潮"", ""锁骨链女韩国短款网红脖链项链choker链项圈颈链饰品脖子上的绑带""]"
pog_dense,69,13,664162d351ab59ea042546db288bbf7c,0.34635238126358847,18,"[""丹尼熊胸包女2019新款潮包包女简约斜挎包百搭时尚少女单肩运动包"", ""小ck2019春夏福袋金狐狸新款时尚女包手提斜挎包简约单肩包大包潮"", ""2019新款夏季泰国手工编织女包草编包沙滩包度假手提式藤编水桶包""]"
pog_dense,79,14,95c3a26ab13f3ec5cd28a281e3685e7b,0.9562388520854176,3,"[""HEFANG Jewelry/何方珠宝花簇耳环 925纯银女超仙气质耳坠耳饰品"", ""ZEGL原宿风紫色耳环女气质韩国个性潮人网红耳钉长款耳坠百搭耳饰"", ""ZENGLIU个性火烈鸟耳环女长款耳坠气质韩国简约百搭网红爱心耳饰""]"
pog_dense,82,15,2450d5bfc87a1f5b96e2837f5c87a70c,0.9860878897634551,10,"[""20199秋冬季新款女装黑色修身长裙气质打底裙中长款毛呢连衣裙"", ""撒哈拉 华丽复古金线风琴褶宫廷袖小立领腰封连衣裙 时光机"", ""MOCO夏季半开襟贴布绣开衩七分袖牛仔连衣裙女MA172DRS401摩安珂""]"
pog_dense,82,15,664162d351ab59ea042546db288bbf7c,0.9223021741650355,19,"[""丹尼熊胸包女2019新款潮包包女简约斜挎包百搭时尚少女单肩运动包"", ""小ck2019春夏福袋金狐狸新款时尚女包手提斜挎包简约单肩包大包潮"", ""2019新款夏季泰国手工编织女包草编包沙滩包度假手提式藤编水桶包""]"
pog_dense,82,15,95c3a26ab13f3ec5cd28a281e3685e7b,0.9089976027445372,20,"[""HEFANG Jewelry/何方珠宝花簇耳环 925纯银女超仙气质耳坠耳饰品"", ""ZEGL原宿风紫色耳环女气质韩国个性潮人网红耳钉长款耳坠百搭耳饰"", ""ZENGLIU个性火烈鸟耳环女长款耳坠气质韩国简约百搭网红爱心耳饰""]"
pog_dense,89,16,19125833f147d19800e3aa39ecfc76c2,0.39585400412445504,30,"[""劳士顿专柜正品女士手表女防水钨钢女表潮流时尚款女2019新款手链"", ""新款手表女白色皮带防水玫瑰金小清新女表学生韩版简约女士石英表"", ""2018新款韩版陶瓷手表女表时尚潮流石英表防水简约手表女士休闲表""]"
pog_dense,89,16,664162d351ab59ea042546db288bbf7c,0.7735927232679085,3,"[""丹尼熊胸包女2019新款潮包包女简约斜挎包百搭时尚少女单肩运动包"", ""小ck2019春夏福袋金狐狸新款时尚女包手提斜挎包简约单肩包大包潮"", ""2019新款夏季泰国手工编织女包草编包沙滩包度假手提式藤编水桶包""]"
pog_dense,93,17,3e600277f4bf92983bf6fcb0ac09e0d7,0.880849624135243,3,"[""阿俪克斯高腰阔腿裤女春季2019新款刺绣街头条纹开叉运动裤子"", ""短裤女秋2018新款黑色PU裤子 韩版宽松时尚休闲百搭松紧高腰皮裤"", ""nini 复古风坠感阔腿裤女宽松大长腿高腰秋冬休闲裤长裤女秋""]"
pog_dense,110,18,46eacb79120159c0d446c08e1f671b0f,0.7130795277107911,13,"[""韩都衣舍2018新款女装春装韩版字母V领长袖T恤EJ9090玎"", ""【官方折扣】诗凡黎2018夏季新款韩版小清新喇叭袖女短袖时尚T恤"", ""红色条纹短袖T恤女韩版露肩夏季2018新款漏两肩短款怪味少女上衣""]"
pog_dense,110,18,852a581f78e4f4d7ecf9972a038e440c,-0.4039733576750989,39,"[""烫社交女鞋新款黑色小牛皮外V靴子时尚尖头三角粗高跟短靴秋冬"", ""动力足女鞋冬马丁靴女英伦风秋平底百搭系带机车马靴女士真皮短靴"", ""欧洲站2018秋冬新款时尚方头高跟短靴女 细跟真皮短筒加绒靴子潮""]"
pog_dense,110,18,b5512b7b61119e0a76d1f6b3bd6d2b94,-0.15414083231645956,35,"[""光泽裤秋冬新款黑色打底裤加绒女外穿小脚裤紧身弹力大码铅笔裤子"", ""queenhot 拯救小短腿 基本款弹力显瘦大长腿黑色打底裤"", ""LIN CHAO ZHANG 丰盈挺阔有型显瘦百搭脚口装饰畔紧身小脚裤女""]"
pog_dense,113,19,126c091a8ff171f694733a624089e68a,-0.12232845115331605,30,"[""AJOY SAHU单鞋女温柔平底女鞋2019新款春夏方头浅口舒适真皮女鞋"", ""Belle/百丽单鞋春夏专柜同款羊皮低跟休闲乐福鞋女鞋R6B1DCM7"", ""五角星小脏鞋女2018春新款 百搭韩版做旧星星鞋 小白鞋内增高平底""]"
pog_dense,114,20,08734b0d499542a3a0ae060fb5597d09,0.15092920251237454,32,"[""白色棒球服短款可爱外套女学生夹克衫萌少女初春2018新款春秋酷潮"", ""梦梦家冬季新款皮毛一体羊羔毛外套女短款小个子麂皮绒加厚夹克潮"", ""红人馆羊羔毛短外套女装2018冬季新款韩版宽松牛角扣翻领加绒大衣""]"
pog_dense,114,20,664162d351ab59ea042546db288bbf7c,0.7565509816112915,4,"[""丹尼熊胸包女2019新款潮包包女简约斜挎包百搭时尚少女单肩运动包"", ""小ck2019春夏福袋金狐狸新款时尚女包手提斜挎包简约单肩包大包潮"", ""2019新款夏季泰国手工编织女包草编包沙滩包度假手提式藤编水桶包""]"
pog_dense,114,20,a6cd655d1645f38869be793d5fb194cb,0.7393377645100658,7,"[""海晨酱 2018夏季新款韩版复古港味chic高腰宽松阔腿牛仔短裤子女"", ""韩都衣舍2019新款女夏韩版高腰弹力修身小脚九分裤牛仔裤GQ9693耒"", ""2018秋季新款韩版黑色破洞牛仔裤女乞丐裤宽松显瘦毛边小脚裤裤子""]"
pog_dense,121,21,126c091a8ff171f694733a624089e68a,0.44197374983681753,27,"[""AJOY SAHU单鞋女温柔平底女鞋2019新款春夏方头浅口舒适真皮女鞋"", ""Belle/百丽单鞋春夏专柜同款羊皮低跟休闲乐福鞋女鞋R6B1DCM7"", ""五角星小脏鞋女2018春新款 百搭韩版做旧星星鞋 小白鞋内增高平底""]"
pog_dense,121,21,664162d351ab59ea042546db288bbf7c,0.7930440348679886,4,"[""丹尼熊胸包女2019新款潮包包女简约斜挎包百搭时尚少女单肩运动包"", ""小ck2019春夏福袋金狐狸新款时尚女包手提斜挎包简约单肩包大包潮"", ""2019新款夏季泰国手工编织女包草编包沙滩包度假手提式藤编水桶包""]"
pog_dense,122,22,c6ba1690407cbd175f036694488a914e,0.41746169583306636,14,"[""小宜定制 2018秋冬新款韩版毛绒休闲卫衣女宽松加绒连帽厚外套"", ""韩都衣舍2018新款女装春装卫衣OU9675堯"", ""roselingling 春秋季宫廷风荷叶边压褶灯芯绒宽松长袖上衣女女""]"
pog_dense,138,23,664162d351ab59ea042546db288bbf7c,-0.27512491453108234,19,"[""丹尼熊胸包女2019新款潮包包女简约斜挎包百搭时尚少女单肩运动包"", ""小ck2019春夏福袋金狐狸新款时尚女包手提斜挎包简约单肩包大包潮"", ""2019新款夏季泰国手工编织女包草编包沙滩包度假手提式藤编水桶包""]"
pog_dense,139,24,95c3a26ab13f3ec5cd28a281e3685e7b,0.5054743477549007,10,"[""HEFANG Jewelry/何方珠宝花簇耳环 925纯银女超仙气质耳坠耳饰品"", ""ZEGL原宿风紫色耳环女气质韩国个性潮人网红耳钉长款耳坠百搭耳饰"", ""ZENGLIU个性火烈鸟耳环女长款耳坠气质韩国简约百搭网红爱心耳饰""]"
pog_dense,148,25,b608ccb44928992e75009892971acd46,0.893609163298444,22,"[""帽子男女韩版潮百搭水洗棒球帽春夏休闲软顶时尚鸭舌帽青年情侣帽"", ""百搭帽子女夏季新款海滩遮阳帽可折叠沙滩出游度假草帽时尚大沿帽"", ""CACUSS帽子女休闲出游嘻哈帽韩版潮牌大头围夏季棒球帽鸭舌帽男士""]"
pog_dense,154,26,2450d5bfc87a1f5b96e2837f5c87a70c,0.5520191462756732,7,"[""20199秋冬季新款女装黑色修身长裙气质打底裙中长款毛呢连衣裙"", ""撒哈拉 华丽复古金线风琴褶宫廷袖小立领腰封连衣裙 时光机"", ""MOCO夏季半开襟贴布绣开衩七分袖牛仔连衣裙女MA172DRS401摩安珂""]"
pog_dense,154,26,95c3a26ab13f3ec5cd28a281e3685e7b,0.5054743477549007,10,"[""HEFANG Jewelry/何方珠宝花簇耳环 925纯银女超仙气质耳坠耳饰品"", ""ZEGL原宿风紫色耳环女气质韩国个性潮人网红耳钉长款耳坠百搭耳饰"", ""ZENGLIU个性火烈鸟耳环女长款耳坠气质韩国简约百搭网红爱心耳饰""]"
pog_dense,160,27,2450d5bfc87a1f5b96e2837f5c87a70c,0.9912306840169721,1,"[""20199秋冬季新款女装黑色修身长裙气质打底裙中长款毛呢连衣裙"", ""撒哈拉 华丽复古金线风琴褶宫廷袖小立领腰封连衣裙 时光机"", ""MOCO夏季半开襟贴布绣开衩七分袖牛仔连衣裙女MA172DRS401摩安珂""]"
pog_dense,160,27,95c3a26ab13f3ec5cd28a281e3685e7b,0.9234746019852562,18,"[""HEFANG Jewelry/何方珠宝花簇耳环 925纯银女超仙气质耳坠耳饰品"", ""ZEGL原宿风紫色耳环女气质韩国个性潮人网红耳钉长款耳坠百搭耳饰"", ""ZENGLIU个性火烈鸟耳环女长款耳坠气质韩国简约百搭网红爱心耳饰""]"
pog_dense,160,27,b608ccb44928992e75009892971acd46,0.934205320205221,15,"[""帽子男女韩版潮百搭水洗棒球帽春夏休闲软顶时尚鸭舌帽青年情侣帽"", ""百搭帽子女夏季新款海滩遮阳帽可折叠沙滩出游度假草帽时尚大沿帽"", ""CACUSS帽子女休闲出游嘻哈帽韩版潮牌大头围夏季棒球帽鸭舌帽男士""]"
pog_dense,168,28,6d399e81b6d56cdf82bed9c5b35a1885,0.5003922554112875,11,"[""巧魂原创无毛猫斯芬克斯脖子饰品925纯银吊坠锁骨情侣项链圣诞礼"", ""顺庆银楼s925纯银灯泡吊坠简约镶嵌仿锆石银项链锁骨链银饰品首饰"", ""鑫蕊开光冰彩虹眼黑曜石狐狸吊坠狐仙招桃花防小人小三女灵狐项链""]"
pog_dense,168,28,95c3a26ab13f3ec5cd28a281e3685e7b,0.5054743477549007,10,"[""HEFANG Jewelry/何方珠宝花簇耳环 925纯银女超仙气质耳坠耳饰品"", ""ZEGL原宿风紫色耳环女气质韩国个性潮人网红耳钉长款耳坠百搭耳饰"", ""ZENGLIU个性火烈鸟耳环女长款耳坠气质韩国简约百搭网红爱心耳饰""]"
pog_dense,186,29,126c091a8ff171f694733a624089e68a,0.6610066623555657,5,"[""AJOY SAHU单鞋女温柔平底女鞋2019新款春夏方头浅口舒适真皮女鞋"", ""Belle/百丽单鞋春夏专柜同款羊皮低跟休闲乐福鞋女鞋R6B1DCM7"", ""五角星小脏鞋女2018春新款 百搭韩版做旧星星鞋 小白鞋内增高平底""]"
pog_dense,190,30,7c3f3d05228e2ee51736f64757cfb385,0.6177487162883136,11,"[""GENANX闪电潮牌连帽风衣男薄款新款宽松舒适男生潮流街头防晒衣"", ""GENANX闪电潮牌风衣男中长款韩版阴阳拼接帅气过膝风衣男外套潮流"", ""GENANX闪电潮牌风衣男外套潮流韩版秋季薄款中长款休闲学生帅气男""]"
pog_dense,190,30,814ed433f7b89cef654140214dfdaab5,0.6047188687460845,17,"[""男鞋夏季透气鞋子潮一脚蹬懒人男士休闲鞋镂空黑色网面运动鞋网鞋"", ""Mr．ing春夏新品潮流简约擦色休闲皮鞋舒适复古男鞋H674"", ""小白鞋男韩版百搭潮流春季男鞋子潮内增高白色板鞋男休闲运动白鞋""]"
pog_dense,190,30,83fb64f0af37f88a42f311549fb261cb,0.6315076488235597,6,"[""唐狮秋冬新款黑色牛仔裤男修身小脚裤牛仔长裤男士韩版潮流"", ""肥仔胖人加肥加大码松紧腰弹力牛仔裤男胖子超大号肥佬拼接长裤潮"", ""夏季浅色水洗破洞牛仔裤男潮牌九分裤韩版潮流修身小脚裤直筒裤子""]"
pog_dense,192,31,126c091a8ff171f694733a624089e68a,-0.20141867166248906,30,"[""AJOY SAHU单鞋女温柔平底女鞋2019新款春夏方头浅口舒适真皮女鞋"", ""Belle/百丽单鞋春夏专柜同款羊皮低跟休闲乐福鞋女鞋R6B1DCM7"", ""五角星小脏鞋女2018春新款 百搭韩版做旧星星鞋 小白鞋内增高平底""]"
pog_dense,192,31,664162d351ab59ea042546db288bbf7c,0.9445763119363133,9,"[""丹尼熊胸包女2019新款潮包包女简约斜挎包百搭时尚少女单肩运动包"", ""小ck2019春夏福袋金狐狸新款时尚女包手提斜挎包简约单肩包大包潮"", ""2019新款夏季泰国手工编织女包草编包沙滩包度假手提式藤编水桶包""]"
pog_dense,195,32,b608ccb44928992e75009892971acd46,-0.694093837735306,42,"[""帽子男女韩版潮百搭水洗棒球帽春夏休闲软顶时尚鸭舌帽青年情侣帽"", ""百搭帽子女夏季新款海滩遮阳帽可折叠沙滩出游度假草帽时尚大沿帽"", ""CACUSS帽子女休闲出游嘻哈帽韩版潮牌大头围夏季棒球帽鸭舌帽男士""]"
pog_dense,196,33,95c3a26ab13f3ec5cd28a281e3685e7b,0.5054743477549007,10,"[""HEFANG Jewelry/何方珠宝花簇耳环 925纯银女超仙气质耳坠耳饰品"", ""ZEGL原宿风紫色耳环女气质韩国个性潮人网红耳钉长款耳坠百搭耳饰"", ""ZENGLIU个性火烈鸟耳环女长款耳坠气质韩国简约百搭网红爱心耳饰""]"
pog_dense,200,34,c7d17d4d3b51ccfb89c4c0f40ae87262,-0.6444457907056629,46,"[""鸿星尔克男鞋跑步鞋2019春季新品透气跑鞋休闲网面鞋运动鞋男学生"", ""Skechers斯凯奇男鞋复古休闲鞋 厚底增高轻质潮鞋老爹鞋 666028"", ""Nike 耐克官方FLEX EXPERIENCE RN 7/8男子跑步鞋 AJ5900 908985""]"
pog_dense,201,35,b608ccb44928992e75009892971acd46,0.6506077028824939,5,"[""帽子男女韩版潮百搭水洗棒球帽春夏休闲软顶时尚鸭舌帽青年情侣帽"", ""百搭帽子女夏季新款海滩遮阳帽可折叠沙滩出游度假草帽时尚大沿帽"", ""CACUSS帽子女休闲出游嘻哈帽韩版潮牌大头围夏季棒球帽鸭舌帽男士""]"
pog_dense,208,36,8585a77eaebc91282b433359863cb569,-0.09005518240588231,41,"[""MG小象大毛领棉衣女中长款连帽休闲加厚学生棉服新款冬季棉袄外套"", ""午睡自制日系 仿兔绒毛毛短外套女 棉衣2018秋冬新款宽松加厚外套"", ""安小落冬季新款自制纯色加厚宽松情侣棉衣女大码外套保暖连帽棉服""]"
pog_dense,208,36,95c3a26ab13f3ec5cd28a281e3685e7b,0.5054743477549007,10,"[""HEFANG Jewelry/何方珠宝花簇耳环 925纯银女超仙气质耳坠耳饰品"", ""ZEGL原宿风紫色耳环女气质韩国个性潮人网红耳钉长款耳坠百搭耳饰"", ""ZENGLIU个性火烈鸟耳环女长款耳坠气质韩国简约百搭网红爱心耳饰""]"
pog_dense,212,37,95c3a26ab13f3ec5cd28a281e3685e7b,0.8767335418413285,4,"[""HEFANG Jewelry/何方珠宝花簇耳环 925纯银女超仙气质耳坠耳饰品"", ""ZEGL原宿风紫色耳环女气质韩国个性潮人网红耳钉长款耳坠百搭耳饰"", ""ZENGLIU个性火烈鸟耳环女长款耳坠气质韩国简约百搭网红爱心耳饰""]"
pog_dense,217,38,bc11aa63d5a69b1b0f90c34fd2c62102,-0.1948269678412647,35,"[""商场同款MM麦檬娃娃领衬衫女纯棉大袖口宽松衬衣5160814223011"", ""春装宽松日系甜美刺绣纯棉长袖打底衬衫女"", ""2018秋季新款港味复古灯笼袖蓝色格子衬衫女衬衣长袖中长款bf上衣""]"
pog_dense,219,39,b608ccb44928992e75009892971acd46,0.6935388001743801,6,"[""帽子男女韩版潮百搭水洗棒球帽春夏休闲软顶时尚鸭舌帽青年情侣帽"", ""百搭帽子女夏季新款海滩遮阳帽可折叠沙滩出游度假草帽时尚大沿帽"", ""CACUSS帽子女休闲出游嘻哈帽韩版潮牌大头围夏季棒球帽鸭舌帽男士""]"
pog_dense,220,40,77c9c3bb3736bf7ba3a3d36b532f6962,0.9066563041681768,15,"[""梅子熟了文艺内搭针织吊带背心港味复古chic修身上衣女2019夏新款"", ""【芥末JEMO】2019真丝V领拼色桑蚕丝纯色白色性感吊带背心上衣女"", ""韩国代购弹力修身时尚圆领光板无袖T恤背心 韩裳良品EXD19特""]"
pog_dense,227,41,95c3a26ab13f3ec5cd28a281e3685e7b,0.5733283243596439,9,"[""HEFANG Jewelry/何方珠宝花簇耳环 925纯银女超仙气质耳坠耳饰品"", ""ZEGL原宿风紫色耳环女气质韩国个性潮人网红耳钉长款耳坠百搭耳饰"", ""ZENGLIU个性火烈鸟耳环女长款耳坠气质韩国简约百搭网红爱心耳饰""]"
pog_dense,233,42,8476c833956c74092868c24514562b0b,0.37309158100790274,16,"[""焦糖色水波纹双面绒羊毛大衣女手工2017秋冬装新款双排扣毛呢外套"", ""双面羊绒大衣女新款2018秋冬高端韩版赫本风呢子中长款&zwnj;毛呢外套"", ""红色千鸟格羊毛呢外套复古中长款呢子大衣秋冬季女装20199新款""]"
pog_dense,233,42,b608ccb44928992e75009892971acd46,0.3595623786587205,17,"[""帽子男女韩版潮百搭水洗棒球帽春夏休闲软顶时尚鸭舌帽青年情侣帽"", ""百搭帽子女夏季新款海滩遮阳帽可折叠沙滩出游度假草帽时尚大沿帽"", ""CACUSS帽子女休闲出游嘻哈帽韩版潮牌大头围夏季棒球帽鸭舌帽男士""]"
pog_dense,236,43,8476c833956c74092868c24514562b0b,-0.06582931062385503,40,"[""焦糖色水波纹双面绒羊毛大衣女手工2017秋冬装新款双排扣毛呢外套"", ""双面羊绒大衣女新款2018秋冬高端韩版赫本风呢子中长款&zwnj;毛呢外套"", ""红色千鸟格羊毛呢外套复古中长款呢子大衣秋冬季女装20199新款""]"
pog_dense,236,43,b608ccb44928992e75009892971acd46,0.6506077028824939,5,"[""帽子男女韩版潮百搭水洗棒球帽春夏休闲软顶时尚鸭舌帽青年情侣帽"", ""百搭帽子女夏季新款海滩遮阳帽可折叠沙滩出游度假草帽时尚大沿帽"", ""CACUSS帽子女休闲出游嘻哈帽韩版潮牌大头围夏季棒球帽鸭舌帽男士""]"
pog_dense,243,44,126c091a8ff171f694733a624089e68a,-0.19720517848249647,29,"[""AJOY SAHU单鞋女温柔平底女鞋2019新款春夏方头浅口舒适真皮女鞋"", ""Belle/百丽单鞋春夏专柜同款羊皮低跟休闲乐福鞋女鞋R6B1DCM7"", ""五角星小脏鞋女2018春新款 百搭韩版做旧星星鞋 小白鞋内增高平底""]"
pog_dense,244,45,6eb82f81b7105a1112fec1bb3c8dd62b,0.0066464697835226655,29,"[""米雪绒2018鄂尔多斯100%纯山羊绒毛衣短款套头羊绒衫女高领打底衫"", ""deessesicile2019早春简约慵懒风一字肩上衣薄款长袖露肩针织衫女"", ""复古气质 雕刻身型 单穿打底都很美！显瘦撞色V领羊毛衫针织衫""]"
pog_dense,244,45,852a581f78e4f4d7ecf9972a038e440c,-0.7154282493310454,61,"[""烫社交女鞋新款黑色小牛皮外V靴子时尚尖头三角粗高跟短靴秋冬"", ""动力足女鞋冬马丁靴女英伦风秋平底百搭系带机车马靴女士真皮短靴"", ""欧洲站2018秋冬新款时尚方头高跟短靴女 细跟真皮短筒加绒靴子潮""]"
pog_dense,244,45,fc528592c3858f90196fbfacc814f235,0.37636304773618956,28,"[""秋冬中长款针织裙纯色松紧腰高腰百褶裙显瘦大码A字半身裙"", ""RIMLESS无边原创复古植绒网纱半身裙女性感半透明修身包臀半裙女"", ""叙旧夏装文艺新款牛仔半身裙时尚短裙a字裙/是彼此/Q5866""]"
pog_dense,250,46,8476c833956c74092868c24514562b0b,0.394917219688805,17,"[""焦糖色水波纹双面绒羊毛大衣女手工2017秋冬装新款双排扣毛呢外套"", ""双面羊绒大衣女新款2018秋冬高端韩版赫本风呢子中长款&zwnj;毛呢外套"", ""红色千鸟格羊毛呢外套复古中长款呢子大衣秋冬季女装20199新款""]"
pog_dense,253,47,3e600277f4bf92983bf6fcb0ac09e0d7,0.8118523885720117,24,"[""阿俪克斯高腰阔腿裤女春季2019新款刺绣街头条纹开叉运动裤子"", ""短裤女秋2018新款黑色PU裤子 韩版宽松时尚休闲百搭松紧高腰皮裤"", ""nini 复古风坠感阔腿裤女宽松大长腿高腰秋冬休闲裤长裤女秋""]"
pog_dense,253,47,8476c833956c74092868c24514562b0b,-0.7131561261348187,60,"[""焦糖色水波纹双面绒羊毛大衣女手工2017秋冬装新款双排扣毛呢外套"", ""双面羊绒大衣女新款2018秋冬高端韩版赫本风呢子中长款&zwnj;毛呢外套"", ""红色千鸟格羊毛呢外套复古中长款呢子大衣秋冬季女装20199新款""]"
