dataset,focal_view,bundle_id,true_option,input,true_item,true_added_context,rank_IBxBI,rank_IUxUI,rank_BIxIB,candidate_indices,IBxBI_top_wrong_option,IBxBI_top_wrong_item,IBxBI_top_wrong_context,BIxIB_top_wrong_option,BIxIB_top_wrong_item,BIxIB_top_wrong_context
pog,IUxUI,19995,F,1. St&amp;Sat/星期六春秋新款原宿平底休闲运动女单鞋小白鞋2558,三彩2018春装新款不规则毛边裤微喇叭裤子修身显瘦牛仔长裤子女,,4,1,2,"[36761, 21389, 23431, 2308, 30637, 37008, 1798, 27654, 47986, 41911]",H,ins同款半圆草编包黄草镂空编织包月亮包度假拍照沙滩包手提女包,,A,GUIJIANG 初秋上衣韩版2018新款长袖宽松蝙蝠袖百搭t恤打底衫女潮,
pog,IUxUI,10578,D,1. 森系温暖针织小包包少女2019新款韩版潮时尚单肩包文艺百搭斜挎包 [Additional context: This item is frequently co-purchased with: 【西木汀】小众设计师品牌包水桶包包女2019新款牛皮单肩斜挎手提; 平底单鞋浅口百搭低跟瓢鞋2019春季乐福鞋女蝴蝶结学生复古晚晚鞋; 梅子熟了很仙的法国小众桔梗裙复古仙女吊带裙子山本连衣裙过膝夏.]; 2. MG小象格子衬衫女2019新款潮心机小清新娃娃衫上衣设计感短袖衬衣 [Additional context: This item is frequently co-purchased with: 2019早春新款宽松套头蓝色马海毛毛衣女羊毛针织衫; MG小象雪纺防晒衣女中长款韩版2019新款夏季开衫防晒服薄款外套潮; MG小象牛仔外套女韩版宽松bf风2019春季新款渐变色休闲夹克上衣潮.],可卡依真皮小白鞋百搭休闲鞋女单鞋2019春款韩国做旧星星脏脏板鞋,This item is frequently co-purchased with: 可妮家手袋原创chic宽肩带水桶包大容量韩版单肩简约百搭手提袋女; 鮀品心跳粉帆布鞋韩版ins女鞋子2019潮鞋春季新款韩版ulzzang板鞋; 小白鞋女真皮2019新款韩版透气单鞋平底休闲板鞋潮流做旧星星鞋女.,3,1,2,"[16090, 39304, 11706, 31932, 39955, 7871, 13733, 23993, 10891, 197]",G,CM国货Feiyue飞跃经典男女帆布鞋运动休闲小白鞋8108情侣鞋酷动城,,E,丢丢网红chic直筒加厚加绒牛仔裤女秋冬高腰裤子百搭宽松阔腿长裤,
pog,IUxUI,1168,H,1. 毛线帽子女潮韩国百搭保暖日系堆堆针织帽秋冬韩版男纯色套头冷帽; 2. 原创森女部落可爱棉服短款面包服chic冬季女棉衣学生韩版ulzzang,原创森女部落加绒牛仔裤高腰短裤靴裤潮2018新款女裤秋冬韩版显瘦,,3,1,2,"[34482, 27623, 6681, 27659, 32930, 5385, 35301, 18281, 16460, 2813]",J,ins街拍老爹鞋女冬季韩版百搭2018新款加绒超火港味鞋子女运动鞋,,D,ACSENSE 黑色加绒加厚女运动裤2017冬季新款宽松百搭显瘦休闲裤潮,
pog,IUxUI,14562,J,1. 麦渔人2019春夏新款水桶包女包流苏单肩斜挎包牛皮复古简约小迷你 [Additional context: This item is frequently co-purchased with: 小ck女包2019新款时尚夏季小包包女斜挎包真皮水桶包百搭单肩包潮; 树小姐定制 气质牛皮包 包包女包新款2019时尚女包百搭斜挎链条包; 【南风X世界非遗合作限定款】侗族手工刺绣马鞍包2019新款包包女.]; 2. 方头女凉鞋平底低跟交叉带罗马鞋女一字带扣学生罗马凉鞋女夏夹趾 [Additional context: This item is frequently co-purchased with: 真皮百搭小白鞋女2019春款洋气潮鞋休闲网红平底透气板鞋夏款夏季; 拖地阔腿牛仔裤女2019新款春夏薄款宽松高腰直筒复古裤泫雅老爹裤; ins超火网红智熏鞋2019春季新款网面透气小白鞋厚底松糕老爹鞋女.],【阿一】小袖口不走光无袖背心娃娃裙 宽松显瘦A字吊带连衣裙中裙,This item is frequently co-purchased with: 小镇姗姗吊带裙法国复古裙山本超仙女裙chic温柔初恋裙子夏连衣裙; 帆布鞋女2019潮鞋春季学生韩版ulzzang板鞋复古港味布鞋小黑鞋子; 麦渔人2019春夏新款水桶包女包流苏单肩斜挎包牛皮复古简约小迷你.,7,1,3,"[2231, 2137, 30411, 15885, 19587, 9897, 1881, 31535, 35776, 35875]",C,2F1S309 2018幸福地素雅致刺绣仙女网纱裙高腰A字半身裙女长裙,,C,2F1S309 2018幸福地素雅致刺绣仙女网纱裙高腰A字半身裙女长裙,
pog_dense,IUxUI,9388,J,1. 限时7.5折 所有外套都配 百褶抽绳半高领打底针织连衣裙 [Additional context: This item is frequently co-purchased with: 花栗鼠小姐半身裙长裙女2017白色超仙公主裙蓬蓬裙蕾丝纱蛋糕裙; 欧可芮100%羊毛粉色双面呢大衣中长款宽松毛呢赫本风羊绒外套女冬; 女鞋春季2019新款百搭韩版粗跟单鞋中跟懒人乐福鞋女一脚蹬小皮鞋.]; 2. 小跟短靴女2018新款网红百搭方头粗跟冬季加绒及裸靴短筒高跟靴子 [Additional context: This item is frequently co-purchased with: 项链女纯银 潮 网红锁骨链 简约气质百搭吊坠设计小众短款颈链; 防晒衣女2019新款中长款韩版字母宽松bf港风原宿外套薄款防晒服; 丽哥潮牌黑色裤子女2019春秋新款高腰老爹裤宽松显瘦哈伦牛仔裤女.],ins网红贝雷帽女春秋韩版日系百搭画家帽黑色英伦八角帽女帽子夏,This item is frequently co-purchased with: 流浪包女2019新款渐变链条小香风菱格水桶包小包包斜挎包百搭ins; 特气质出众薄款收腰开叉中长过膝风衣外套春2019春天家Y053; 红色婚鞋女2019新款新娘鞋浅口方扣水钻高跟鞋女细跟亮片尖头单鞋.,2,1,2,"[9877, 21880, 26773, 14120, 1368, 2179, 9204, 30353, 2839, 27985]",B,小包包女2018新款潮韩版夏天夏季百搭迷你小香风菱格链条斜挎小包,This item is frequently co-purchased with: PIGMISS2019春夏新款极简风clasp夹子包复古手提包女真皮单肩女包; DMON 泫雅同款阔腿牛仔裤女春秋高腰微喇宽松显瘦复古直筒喇叭裤; 小包包女2019新款夏季夏天小ck法国小众时尚百搭小香风链条斜挎包.,B,小包包女2018新款潮韩版夏天夏季百搭迷你小香风菱格链条斜挎小包,This item is frequently co-purchased with: PIGMISS2019春夏新款极简风clasp夹子包复古手提包女真皮单肩女包; DMON 泫雅同款阔腿牛仔裤女春秋高腰微喇宽松显瘦复古直筒喇叭裤; 小包包女2019新款夏季夏天小ck法国小众时尚百搭小香风链条斜挎包.
pog_dense,IUxUI,23312,C,1. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包 [Additional context: This item is frequently co-purchased with: ZOWZOW呛口小辣椒 法国小众赫本风气质开挂垂感束腰优雅连衣裙; PROD春秋季韩版宽松卫衣女可爱趣味软妹草莓蛋糕卡通 宽松外套; 【南风】黑色菱格小香包链条包2019时尚包包女包单肩包小方包挎包.]; 2. 妙侣2018秋冬款复古平跟chic短靴女平底棉鞋学生后系带弹力马丁靴 [Additional context: This item is frequently co-purchased with: 【南风】车缝线链条包包女2019新款夏季时尚休闲女包单肩包斜挎包; 原创森女部落格子毛呢外套2018新款流行呢子大衣冬季中长款学生系; 卡农自制毛衣女长袖韩版2019春装新款趣味双面毛线针织衫宽松上衣.],文文婷2019新款秋冬高腰显瘦金丝绒裤黑色坠垂感阔腿直筒拖地裤子,This item is frequently co-purchased with: 初语春秋季显瘦宽松bf风磨白浅色小脚铅笔裤百搭牛仔裤女ins潮; Danielwellington 丹尼尔惠灵顿dw手表36mm女表进口石英女表; 女人双面羊绒大衣赫本风过膝中长款韩版2018秋冬季新款毛呢子外套.,2,1,3,"[9229, 3670, 17404, 30656, 17868, 2304, 15888, 13704, 238, 23020]",I,霓霓家 秋冬新款竖条纹针织阔腿裤女 松紧腰宽松休闲裤长裤子女,This item is frequently co-purchased with: 韩国设计师包包宽肩带水桶包女2019新款牛皮单肩斜挎真皮女包; cheeseY法国小众连衣裙两件套2019春新款宽松雪纺温柔长款仙女裙; 恩家汇 毛呢阔腿裤女九分裤2018秋冬新款宽松垂直感高腰休闲裤子.,I,霓霓家 秋冬新款竖条纹针织阔腿裤女 松紧腰宽松休闲裤长裤子女,This item is frequently co-purchased with: 韩国设计师包包宽肩带水桶包女2019新款牛皮单肩斜挎真皮女包; cheeseY法国小众连衣裙两件套2019春新款宽松雪纺温柔长款仙女裙; 恩家汇 毛呢阔腿裤女九分裤2018秋冬新款宽松垂直感高腰休闲裤子.
pog_dense,IUxUI,11363,C,1. 小瑞靓包拼色菱格包包女2019新款简约百搭斜挎包单肩包小包包女包 [Additional context: This item is frequently co-purchased with: 人本厚底小白鞋女春 网面透气运动鞋女 韩版松糕底百搭学生跑步鞋; MG小象皮卡丘联名很仙的法国小众连衣裙2019新款夏流行网纱长裙子; HFresh 真皮手提女包包 女包 新款2019 时尚简约单肩斜挎小方包女.]; 2. JHXC 圆领条纹套头卫衣女薄款显瘦2019春季新款长袖韩版宽松上衣 [Additional context: This item is frequently co-purchased with: ins短款面包服女2018冬季新款韩版宽松bf棒球棉衣外套拼色小棉袄; 老爹鞋女春鞋子2019春季新款网红百搭春款网面透气小熊潮鞋小白鞋; 梅子熟了法式气质吊带连衣裙夏复古过膝仙女长裙chic温柔2019新款.],英伦风小皮鞋女粗跟黑色2018新款秋季学院风复古百搭软妹女鞋单鞋,This item is frequently co-purchased with: ins小皮鞋女复古2018秋冬新款网红毛毛鞋女百搭方头粗跟中跟单鞋; 2018新款棉马甲女韩版学生百搭bf宽松立领无袖棉衣马夹外套秋冬; 2018春季新款韩版棒球服女短款宽松bf风开学季外套百搭学生夹克.,4,1,4,"[19334, 26240, 12577, 26636, 12086, 6146, 8314, 27542, 28558, 945]",G,毛呢灯笼裤女式2018秋冬新款宽松高腰初恋阔腿裤束脚九分休闲裤子,This item is frequently co-purchased with: A7seven 短款工装PU皮衣女秋季2019新款宽松显瘦休闲皮夹克短外套; 2019春季新款中长款碎花百褶黑色吊带连衣裙女海边渡假无袖背心裙; 金大班踏歌2018秋冬季新款复古chic港味A字半身中长高腰伞裙子女.,D,九月陌墨 2019秋季新款女装修身松紧腰牛仔裤 黑色百搭紧身,This item is frequently co-purchased with: 衣品乐原创大码中长款毛衣开衫女装外套2019春季新款宽松针织衫; 素木原创大码 套头T恤背心裙两件套女春秋半高领韩范套装裙LF3288; 素木春装2019款女外套毛绒宽松韩版短款上衣高贵优雅必入的小外套.
pog_dense,IUxUI,16090,H,1. 施华洛世奇GIRLFRIEND手链女款 时尚简约可调手镯首饰配饰; 2. 热风春新款小清新小白鞋女平底原宿鞋系带时尚女休闲鞋潮H14W7110 [Additional context: This item is frequently co-purchased with: 九月陌墨 2019春季新款女装气质收腰风衣外套女 韩版休闲宽松上衣; 仿羊羔绒皮毛一体外套女2018新款冬季新年撞色翻领毛茸茸短款外套; 阔腿裤女秋冬新款卷边加厚针织宽松高腰坠感直筒休闲九分裤子#.],晚安系列温柔少女星星月亮耳钉软妹日常百搭微镶锆石耳环耳饰R877,This item is frequently co-purchased with: 2019春装新款很仙的法国小众连衣裙女打底裙宽松娃娃裙chic裙子; Mell 马蒂斯人像 小众法式不对称耳环夹女无耳洞高级设计感简约; 夏天气质耳环女长款高级感小众耳饰2019新款潮法式清新百搭耳钉.,2,1,8,"[27939, 10491, 21225, 3068, 3241, 5936, 21514, 8394, 5593, 25892]",E,欧美复古个性网红超仙耳饰女长款气质简约几何长方形钻球耳坠耳环,This item is frequently co-purchased with: 2019新款百搭帆布鞋女饼干鞋潮鞋学生韩版ulzzang小脏橘港风板鞋; 法式法国复古山本气质桔梗2019早春女春秋赫本裙子过膝红色连衣裙; 19春季新款中跟高跟鞋女网红鞋尖头性感单鞋女细跟中空亮片宴会鞋.,G,衣服2018新款chic上衣女春 韩版宽松百搭bf原宿风白色ins同款t恤,
pog_dense,IUxUI,1700,G,1. 一字带中空单鞋女粗跟凉鞋2019春夏新款百搭显瘦仙女高跟鞋休闲鞋 [Additional context: This item is frequently co-purchased with: 英伦粗跟小短靴女2018秋冬季新款瘦瘦靴中跟平底马丁靴子加绒女鞋; 法式法国复古山本气质桔梗2019早春女春秋赫本裙子过膝红色连衣裙; 2019春款网红单鞋女中跟伴娘鞋尖头小码高跟鞋女31 32 33新款婚鞋.]; 2. 芭蕾舞女孩显脸瘦的耳环女长款适合圆脸耳坠韩国气质耳钉夸张耳饰 [Additional context: This item is frequently co-purchased with: ccvv女鞋板鞋2019春季新款真皮百搭学生厚底运动休闲老爹小白鞋女; 小瑞靓包小香风菱格链条小方包包女包新款2019时尚百搭单肩斜挎包; 瘦竹竿自制碎花连衣裙女秋冬季红色打底春秋女装2019新款雪纺裙子.],Mexican/稻草人女包手提包包女2019新款时尚百搭女式单肩斜挎包潮,This item is frequently co-purchased with: 小ck新加坡限定包包女2018新款潮真皮女包时尚潮2019限量包斜挎包; 小优家包包 马鞍包菱格迷你小包包女包新款2019斜挎包百搭链条包; 风衣女中长款2019春新款木香屋韩版端庄大气宽松百搭chic流行外套.,2,1,9,"[26774, 27236, 29292, 2536, 1586, 29469, 7254, 20718, 2088, 21513]",F,夏装2019新款女雪纺连衣裙时尚中长款荷叶袖小清新条纹印花裙子仙,,F,夏装2019新款女雪纺连衣裙时尚中长款荷叶袖小清新条纹印花裙子仙,
pog_dense,IUxUI,3941,G,1. doodoo包包女2019新款潮时尚女士百搭斜挎单肩手提包简约大气女包 [Additional context: This item is frequently co-purchased with: Michael KorsMK女包杨幂同款Mercer单肩手提包小号锁头方包; 秋天短款刺绣牛仔长袖外套女装春秋季2018新款学生港风上衣秋装女; 洒满日光/自制 复古中长款连帽羊毛开衫女 宽松显瘦针织外套 春新.]; 2. 热风春新款小清新小白鞋女平底原宿鞋系带时尚女休闲鞋潮H14W7110 [Additional context: This item is frequently co-purchased with: 九月陌墨 2019春季新款女装气质收腰风衣外套女 韩版休闲宽松上衣; 仿羊羔绒皮毛一体外套女2018新款冬季新年撞色翻领毛茸茸短款外套; 阔腿裤女秋冬新款卷边加厚针织宽松高腰坠感直筒休闲九分裤子#.],原创春夏新款娃娃领小香风显瘦黑色a字赫本小黑裙复古短袖连衣裙,This item is frequently co-purchased with: MUZI定制包包女2019夏季新款韩版百搭时尚磨砂单肩斜跨撞色小方包; 【悦大人】宽肩带徽章牛皮包包女2019新款单肩斜跨小方包真皮女包; 【sheii苏茵茵】超级回馈！新款SW方头方跟弹力短靴女袜子靴.,7,1,4,"[893, 214, 15213, 28156, 17053, 2092, 18922, 22038, 15597, 29333]",D,线下-韩都衣舍2018韩版女装夏装新款高腰宽松女牛仔裤OPC8657晽,,C,皱皱zhou高腰牛仔短裤夏2019新款chic韩版百搭显瘦破洞阔腿热裤,This item is frequently co-purchased with: 包头凉鞋女性感防水台一字扣高跟鞋女细跟夏2019新款百搭漆皮女鞋; 金大班路过2018冬季新款韩版加绒高腰休闲直筒学生显瘦牛仔裤子女; KUBERAS法式初恋百褶裙 春夏季复古飘带很仙的长袖连衣裙女小清新.
pog_dense,IUxUI,21923,C,1. 一力米灰尖头高跟粗跟短靴女2018新款秋冬季真皮百搭马丁靴女英伦; 2. AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子 [Additional context: This item is frequently co-purchased with: 2019春秋季新款黑色铅笔裤女装网红超高腰小脚牛仔裤加厚收腹显瘦; 聚利时钢带防水女表韩版女士手表女学生简约时尚潮流休闲大气腕表; 夏季蓝白条纹衬衫男长袖韩版宽松很仙的潮流网红薄款衬衣外套ins.],破洞牛仔裤女春夏季2019新款黑色高腰紧身九分裤乞丐显瘦小脚裤子,This item is frequently co-purchased with: 重工网纱很仙的半身裙子2019夏季新款垂感夏天高腰大摆仙女裙长裙; 2019韩版春季新款粉色流行oversize港风休闲宽松连帽工装外套女潮; 2019春秋新款白色衬衫小清新女灯笼袖蕾丝中长款泡泡袖设计感上衣.,3,1,4,"[14663, 23386, 23702, 17583, 30025, 23752, 22265, 7662, 3402, 18440]",J,小鹿要飞 秋季新款ins超火的拼接高腰半身裙女中长款不规则网纱裙,This item is frequently co-purchased with: 牛仔裤女高腰弹力九分裤浅色新款修身显瘦直筒裤韩版毛边百搭必备; 梅子熟了很仙的法国小众桔梗裙复古仙女吊带裙子山本连衣裙过膝夏; MG小象雪纺防晒衣女中长款韩版2019新款春季开衫防晒服薄款外套潮.,B,Artmi售空下架包包2017新款时尚简约手拎包个性手提包女包小,
